GEO_ID,B25093_001E,B25093_001M,B25093_002E,B25093_002M,B25093_003E,B25093_003M,B25093_004E,B25093_004M,B25093_005E,B25093_005M,B25093_006E,B25093_006M,B25093_007E,B25093_007M,B25093_008E,B25093_008M,B25093_009E,B25093_009M,B25093_010E,B25093_010M,B25093_011E,B25093_011M,B25093_012E,B25093_012M,B25093_013E,B25093_013M,B25093_014E,B25093_014M,B25093_015E,B25093_015M,B25093_016E,B25093_016M,B25093_017E,B25093_017M,B25093_018E,B25093_018M,B25093_019E,B25093_019M,B25093_020E,B25093_020M,B25093_021E,B25093_021M,B25093_022E,B25093_022M,B25093_023E,B25093_023M,B25093_024E,B25093_024M,B25093_025E,B25093_025M,B25093_026E,B25093_026M,B25093_027E,B25093_027M,B25093_028E,B25093_028M,B25093_029E,B25093_029M,NAME,B25093_001MA,B25093_001EA,B25093_002EA,B25093_002MA,B25093_003MA,B25093_003EA,B25093_004MA,B25093_004EA,B25093_005MA,B25093_005EA,B25093_006MA,B25093_006EA,B25093_007MA,B25093_007EA,B25093_008MA,B25093_008EA,B25093_009MA,B25093_009EA,B25093_010MA,B25093_010EA,B25093_011MA,B25093_011EA,B25093_012MA,B25093_012EA,B25093_013MA,B25093_013EA,B25093_014MA,B25093_014EA,B25093_015MA,B25093_015EA,B25093_016MA,B25093_016EA,B25093_017MA,B25093_017EA,B25093_018MA,B25093_018EA,B25093_019MA,B25093_019EA,B25093_020MA,B25093_020EA,B25093_021MA,B25093_021EA,B25093_022MA,B25093_022EA,B25093_023MA,B25093_023EA,B25093_024MA,B25093_024EA,B25093_025MA,B25093_025EA,B25093_026MA,B25093_026EA,B25093_027MA,B25093_027EA,B25093_028EA,B25093_028MA,B25093_029MA,B25093_029EA,state
0400000US01,1253595,13117,12647,1719,5526,1081,1287,685,887,401,1185,593,2812,960,950,441,108550,4428,62712,3721,15440,1924,9551,1583,5905,1285,13170,1838,1772,600,729792,9201,453154,8744,80955,4684,54653,3462,32135,2828,98852,4246,10043,1589,402606,5857,250254,5707,37597,2583,26996,2227,20781,1956,62612,3509,4366,1158,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,159922,3409,2098,736,689,429,158,159,224,254,341,344,686,415,0,149,18771,1719,7877,1227,3627,806,2496,689,1759,583,2979,824,33,53,105156,3233,58359,2479,13926,1566,10753,1581,6213,1294,15646,1852,259,202,33897,1762,20923,1541,3425,825,2151,621,1648,472,5750,1079,0,149,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1524828,12566,13349,1831,5676,1124,1126,461,1155,526,539,239,4136,1193,717,377,131836,5676,67063,3591,20399,2351,11479,1781,9207,1624,22102,2359,1586,796,840471,9605,467499,8036,107845,4867,67417,3654,46147,3180,137325,6440,14238,2155,539172,6541,315682,5757,51477,3280,35436,2963,26486,2507,103998,4396,6093,1089,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,746000,10027,8493,1766,3997,1151,1230,663,672,438,888,619,1580,680,126,124,72109,3654,41142,2854,9881,1597,6383,1262,3978,1101,10091,1747,634,407,421228,7830,270989,6707,44314,2750,30061,2656,16858,1865,54251,3887,4755,1193,244170,3965,157670,4256,20895,2000,16019,1560,10792,1408,36140,2487,2654,677,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6910823,27840,35867,3009,11294,1560,3664,1005,3390,1019,2230,778,13360,1671,1929,626,510373,10935,183220,6032,80619,4376,69374,3904,49865,3795,123214,5555,4081,1168,4234837,24242,1776078,15999,594804,11747,472814,9194,322322,8811,1035355,15125,33464,2587,2129746,15220,1067201,10675,209852,6152,155250,4938,123940,5561,559460,9775,14043,1586,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1322618,9565,12937,1883,5850,1430,1603,624,1123,464,750,394,3575,1051,36,65,139434,5138,66627,3731,25091,2398,16502,2243,10699,1762,19630,2167,885,397,821791,7481,452914,7704,112226,4532,72644,3503,48664,3583,130624,4642,4719,1036,348456,4831,200708,4664,34088,2239,23863,1877,18623,2057,69354,3491,1820,602,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,889035,8413,3189,955,876,567,411,264,473,316,111,99,1281,582,37,61,64042,3520,24248,2082,12709,1699,8477,1197,6504,1280,11638,1774,466,480,562947,7214,266682,5858,84819,3914,57961,3329,38027,3094,112114,4889,3344,996,258857,4319,106963,3671,28718,2047,24626,2079,18064,1809,78911,3617,1575,547,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,249681,4261,2139,772,1093,604,155,146,45,76,69,92,777,504,0,190,20422,2058,7864,1331,4342,1177,2404,766,1799,592,4013,1030,0,190,146469,3424,78129,3144,21195,2101,10259,1598,8634,1653,26938,2546,1314,663,80651,2210,47599,2174,8155,1017,4539,884,3307,851,16234,1606,817,330,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,112555,3556,141,120,65,77,30,51,0,200,0,200,46,76,0,200,15038,1920,8360,1378,2173,608,1880,637,1026,477,1599,726,0,200,66671,2606,35137,2148,9175,1357,7049,1079,3577,810,11641,1752,92,117,30705,1621,17759,1419,2766,648,1535,489,1242,452,7090,1064,313,200,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4760071,23483,26827,2753,9986,1863,3352,1163,2470,952,1211,658,8049,1677,1759,646,301144,8784,142406,5906,49237,3721,29706,2812,20056,2308,55946,4436,3793,1051,2556221,19119,1286111,15423,328780,9063,222793,8062,162589,6502,519909,11003,36039,3217,1875879,13142,1023899,12550,184346,6392,131698,5110,102428,4285,405036,8678,28472,2557,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
