GEO_ID,C08501_001E,C08501_001M,C08501_002E,C08501_002M,C08501_003E,C08501_003M,C08501_004E,C08501_004M,C08501_005E,C08501_005M,C08501_006E,C08501_006M,C08501_007E,C08501_007M,C08501_008E,C08501_008M,C08501_009E,C08501_009M,C08501_010E,C08501_010M,C08501_011E,C08501_011M,C08501_012E,C08501_012M,C08501_013E,C08501_013M,C08501_014E,C08501_014M,C08501_015E,C08501_015M,C08501_016E,C08501_016M,C08501_017E,C08501_017M,C08501_018E,C08501_018M,C08501_019E,C08501_019M,C08501_020E,C08501_020M,C08501_021E,C08501_021M,C08501_022E,C08501_022M,C08501_023E,C08501_023M,C08501_024E,C08501_024M,C08501_025E,C08501_025M,C08501_026E,C08501_026M,C08501_027E,C08501_027M,C08501_028E,C08501_028M,C08501_029E,C08501_029M,C08501_030E,C08501_030M,C08501_031E,C08501_031M,C08501_032E,C08501_032M,C08501_033E,C08501_033M,C08501_034E,C08501_034M,C08501_035E,C08501_035M,C08501_036E,C08501_036M,C08501_037E,C08501_037M,C08501_038E,C08501_038M,C08501_039E,C08501_039M,C08501_040E,C08501_040M,C08501_041E,C08501_041M,C08501_042E,C08501_042M,NAME,C08501_001MA,C08501_001EA,C08501_002MA,C08501_002EA,C08501_003EA,C08501_003MA,C08501_004EA,C08501_004MA,C08501_005MA,C08501_005EA,C08501_006MA,C08501_006EA,C08501_007EA,C08501_007MA,C08501_008EA,C08501_008MA,C08501_009EA,C08501_009MA,C08501_010EA,C08501_010MA,C08501_011MA,C08501_011EA,C08501_012MA,C08501_012EA,C08501_013MA,C08501_013EA,C08501_014EA,C08501_014MA,C08501_015EA,C08501_015MA,C08501_016MA,C08501_016EA,C08501_017MA,C08501_017EA,C08501_018MA,C08501_018EA,C08501_019MA,C08501_019EA,C08501_020EA,C08501_020MA,C08501_021EA,C08501_021MA,C08501_022EA,C08501_022MA,C08501_023MA,C08501_023EA,C08501_024MA,C08501_024EA,C08501_025MA,C08501_025EA,C08501_026EA,C08501_026MA,C08501_027MA,C08501_027EA,C08501_028MA,C08501_028EA,C08501_029MA,C08501_029EA,C08501_030MA,C08501_030EA,C08501_031EA,C08501_031MA,C08501_032EA,C08501_032MA,C08501_033EA,C08501_033MA,C08501_034MA,C08501_034EA,C08501_035MA,C08501_035EA,C08501_036EA,C08501_036MA,C08501_037EA,C08501_037MA,C08501_038MA,C08501_038EA,C08501_039MA,C08501_039EA,C08501_040MA,C08501_040EA,C08501_041EA,C08501_041MA,C08501_042EA,C08501_042MA,state
0400000US01,1964105,15947,65102,4185,195768,6533,852098,11214,425704,7713,194128,6999,231305,6557,1677578,18087,51155,3377,160769,6599,726011,12258,372994,7967,169888,6247,196761,6428,176571,8805,9274,1937,23229,3002,82925,4936,33730,3333,12497,1972,14916,1867,5882,1434,408,346,1446,814,1631,775,1428,623,467,270,502,231,40317,3745,3274,805,6205,1365,15033,2028,5572,1158,5090,1392,5143,1188,63757,4204,991,571,4119,1022,26498,3265,11980,1765,6186,1121,13983,1797,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,371382,5372,13734,1379,46042,2593,163259,3319,70432,2490,36942,1970,40973,2683,249521,5701,7485,1218,30039,2623,111334,3887,48441,2785,24852,1977,27370,2434,46229,3668,3120,782,6393,1413,21562,2446,8582,1314,3520,937,3052,665,5676,1240,708,510,956,607,2269,790,495,299,413,243,835,444,53861,3148,1887,471,7881,1494,22698,2118,9761,1121,5461,997,6173,967,16095,2050,534,379,773,457,5396,1174,3153,807,2696,916,3543,822,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2872284,18674,106945,5019,307621,6652,1265547,10908,607124,7455,256043,7660,329004,7509,2214950,18622,70648,3741,226532,6970,985805,11791,474351,8464,201701,6359,255913,6617,304761,9793,16865,1869,41955,3862,146986,6726,57117,3637,21397,2356,20441,2113,58998,4747,4037,1184,9921,2161,25393,2802,10753,1690,4254,1008,4640,900,133894,6032,12866,1917,23049,3002,51675,3804,24411,2668,8413,1467,13480,1569,159681,5505,2529,809,6164,1316,55688,3628,40492,3071,20278,2654,34530,2773,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1249200,11927,47208,3623,127426,4833,542601,8792,265773,4875,117787,5455,148405,4709,1034815,13127,36044,2986,101704,4440,449237,9506,222565,5404,100424,5163,124841,4907,133098,6612,6980,1505,16574,2405,63436,4133,26332,2739,8786,1426,10990,1541,5537,1325,247,283,705,427,2580,1024,1184,556,296,223,525,308,37380,3531,2916,768,6970,1320,13435,2077,6853,1365,2659,767,4547,1131,38370,2875,1021,464,1473,530,13913,2054,8839,1495,5622,1243,7502,1090,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,17630992,45581,445447,10241,1748032,15372,8080703,25965,3809275,18163,1607846,16178,1939689,18650,13031458,44167,262945,8883,1242521,16418,6044184,26743,2843399,16278,1216396,15122,1422013,16213,1770645,23375,72106,4878,194795,7403,822296,16090,387920,8834,140694,6312,152834,6508,923092,17850,31970,3185,111629,5571,451516,9865,174304,7121,68463,4208,85210,5285,935758,16903,63832,3629,156118,6849,412044,10988,155034,6799,67412,3460,81318,5095,970039,14583,14594,1926,42969,3595,350663,8820,248618,8508,114881,6176,198314,6979,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2731235,18274,98118,4012,272081,6324,1237594,10279,561208,6082,248936,6149,313298,7451,2089507,15608,67776,3434,196120,6336,952541,10161,437464,6836,195608,5619,239998,6767,230890,9577,12924,1699,26594,2909,114788,6564,43735,3341,15391,1936,17458,2084,80556,5086,4115,1143,12868,2146,35612,3214,13093,2045,6650,1185,8218,1376,135378,5469,10104,1744,28318,2966,58107,3500,19045,2386,8076,1260,11728,1423,194904,7005,3199,919,8181,1655,76546,4600,47871,3098,23211,2308,35896,2677,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1741224,12778,62290,2994,161019,4778,670496,8386,402449,6310,195894,5893,249076,6703,1389816,14284,38021,2581,113750,4235,538322,8501,331254,6657,162499,5154,205970,5715,136424,8492,10573,1834,17014,2766,55972,5000,27073,3121,12337,1697,13455,1705,60388,4654,2610,839,10907,1992,27231,3120,10114,1760,5110,1094,4416,944,69717,4494,8664,1500,15586,2212,23416,2295,10057,1666,4680,1314,7314,1331,84879,4806,2422,550,3762,1015,25555,2869,23951,2397,11268,1545,17921,2051,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,440156,7251,14512,1587,41805,2124,181758,5490,99622,3554,45982,2710,56477,3310,359048,8389,9893,1478,32548,2246,150130,5279,81643,3340,39190,2600,45644,3013,36013,3538,3034,1077,4466,1315,16339,2089,6706,1371,2087,583,3381,779,9432,1593,324,217,1378,555,3788,977,2529,829,535,279,878,442,14785,1936,1139,410,2787,845,5852,1415,2325,824,1179,542,1503,500,20878,2186,122,127,626,336,5649,1414,6419,1402,2991,812,5071,761,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,839206,12936,10433,1698,52887,3557,414465,8123,189621,6108,80057,3862,91743,4695,350625,9708,1315,626,15287,2270,163121,6636,87790,4594,38020,3094,45092,2934,73586,4271,1316,595,3676,859,33716,3134,19570,2356,6762,1296,8546,1470,319153,8187,3753,984,23332,2435,164845,6207,67541,3970,28705,2765,30977,2418,74313,5118,3115,974,9034,1834,43068,3575,10805,1872,4455,864,3836,830,21529,2463,934,417,1558,622,9715,1475,3915,1085,2115,928,3292,884,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8827805,36427,236082,9525,808383,11040,3771433,20506,2003144,12985,861020,14573,1147743,14326,7042650,36939,163334,7549,623755,11195,3026899,24748,1616301,14345,708987,12459,903374,12609,792524,18247,34207,3347,91347,6348,369913,13211,164020,7980,60085,4163,72952,3866,192889,8964,9853,1898,31567,3975,82574,6246,35184,3834,14449,2382,19262,2797,306435,10125,20802,2578,43757,4268,125377,7580,57049,3338,21633,2252,37817,3016,493307,15108,7886,1713,17957,2845,166670,8664,130590,6458,55866,4063,114338,5845,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
