GEO_ID,B28009I_001E,B28009I_001M,B28009I_002E,B28009I_002M,B28009I_003E,B28009I_003M,B28009I_004E,B28009I_004M,B28009I_005E,B28009I_005M,B28009I_006E,B28009I_006M,NAME,B28009I_001MA,B28009I_001EA,B28009I_002MA,B28009I_002EA,B28009I_003MA,B28009I_003EA,B28009I_004MA,B28009I_004EA,B28009I_005MA,B28009I_005EA,B28009I_006EA,B28009I_006MA,state
0400000US01,189543,2177,150957,6652,411,500,117016,7757,33530,5665,38586,7055,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,49028,705,46649,1319,4,10,41287,2290,5358,1674,2379,1164,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2052014,2709,1769378,15101,6303,1708,1509763,18396,253312,16283,282636,14786,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,204396,2240,177212,6789,389,405,121162,7084,55661,7338,27184,5979,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14941818,6163,13357694,36863,75187,8932,11531990,53237,1750517,43527,1584124,36493,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1141943,1897,1032812,10416,8126,2464,876134,13108,148552,12118,109131,10453,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,541203,1486,492432,5201,707,571,430147,8747,61578,6806,48771,5081,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,83891,442,71974,3322,461,380,54661,4402,16852,3647,11917,3251,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,68323,847,62661,2675,71,124,51001,4564,11589,4047,5662,2653,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4889405,4738,4380255,23967,21465,5177,3832689,33315,526101,25161,509150,22789,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,930117,2652,812408,11612,4566,2812,646245,14445,161597,13182,117709,11954,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,142682,1114,134401,2732,853,794,123008,3821,10540,3519,8281,2674,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,194859,1630,176478,5199,1657,1597,138864,8042,35957,6040,18381,4798,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2143487,2094,1928474,13265,6349,2422,1645905,18152,276220,16352,215013,12877,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,429787,2155,382659,5902,5113,1954,307061,9213,70485,7515,47128,5430,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,170637,1132,149872,3853,897,708,125298,5846,23677,4019,20765,3768,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,328716,1378,288482,6413,1283,1159,241170,7858,46029,5835,40234,6166,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,142013,2878,125041,4156,820,860,93055,5933,31166,4610,16972,3472,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,223259,1783,193342,4604,1126,1090,160539,6635,31677,5290,29917,4722,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,19006,694,18403,790,82,96,16970,987,1351,689,603,419,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,564555,1264,510575,8635,657,595,431462,13342,78456,9561,53980,8387,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,728943,2499,653994,7847,2677,1535,567106,10404,84211,8479,74949,7791,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,474126,1446,425595,5749,1241,947,358482,7874,65872,7883,48531,5402,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,275322,1304,254073,4734,608,429,211729,7212,41736,5853,21249,4475,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,78235,2564,63724,4174,203,354,48054,4774,15467,3765,14511,3120,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,233897,2599,208737,5302,539,432,172700,6082,35498,4805,25160,4540,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,35701,735,31641,1471,16,31,27062,1959,4563,1419,4060,1337,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,192338,827,170146,4414,170,217,149776,5505,20200,3577,22192,4066,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,805572,898,737685,7335,2754,1886,611805,13488,123126,10939,67887,7403,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,41988,936,40161,1217,0,184,37637,1519,2524,948,1827,845,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
