GEO_ID,B15002A_001E,B15002A_001M,B15002A_002E,B15002A_002M,B15002A_003E,B15002A_003M,B15002A_004E,B15002A_004M,B15002A_005E,B15002A_005M,B15002A_006E,B15002A_006M,B15002A_007E,B15002A_007M,B15002A_008E,B15002A_008M,B15002A_009E,B15002A_009M,B15002A_010E,B15002A_010M,B15002A_011E,B15002A_011M,B15002A_012E,B15002A_012M,B15002A_013E,B15002A_013M,B15002A_014E,B15002A_014M,B15002A_015E,B15002A_015M,B15002A_016E,B15002A_016M,B15002A_017E,B15002A_017M,B15002A_018E,B15002A_018M,B15002A_019E,B15002A_019M,NAME,B15002A_001EA,B15002A_001MA,B15002A_002EA,B15002A_002MA,B15002A_003MA,B15002A_003EA,B15002A_004MA,B15002A_004EA,B15002A_005MA,B15002A_005EA,B15002A_006EA,B15002A_006MA,B15002A_007EA,B15002A_007MA,B15002A_008EA,B15002A_008MA,B15002A_009MA,B15002A_009EA,B15002A_010MA,B15002A_010EA,B15002A_011MA,B15002A_011EA,B15002A_012EA,B15002A_012MA,B15002A_013EA,B15002A_013MA,B15002A_014MA,B15002A_014EA,B15002A_015MA,B15002A_015EA,B15002A_016MA,B15002A_016EA,B15002A_017EA,B15002A_017MA,B15002A_018MA,B15002A_018EA,B15002A_019EA,B15002A_019MA,state
0400000US01,2342482,3582,1127952,2605,58119,4033,100311,5389,275708,7292,78758,4298,238066,7206,77025,4171,193225,6556,106740,4903,1214530,2294,48580,3133,107731,5695,288076,7182,71703,4529,260580,7881,113203,4756,206382,6733,118275,4953,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,332742,2055,176839,1396,2199,636,5507,1085,37881,2662,9469,1294,47009,3268,15179,1875,36875,2869,22720,1829,155903,1209,1830,613,4831,1066,27075,2597,5255,1008,43311,2429,14281,1960,35649,2394,23671,2228,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3663151,14295,1789250,7837,86095,5348,134464,6878,350000,9776,85240,5202,462759,10669,139974,5689,333249,7605,197469,5142,1873901,7343,90056,5227,122717,6013,393504,8382,63886,4268,496338,9411,171819,6309,338425,7197,197156,6463,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1602976,3594,775232,2442,38435,2923,70021,3779,217623,5737,57735,3816,176367,5580,42917,3036,112024,4874,60110,3326,827744,2555,37301,2581,62488,3821,226853,5666,50026,3112,186003,5888,67991,4231,127285,5156,69797,4161,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,16391723,39243,8082516,22256,662216,14783,621849,12773,1470918,18234,229232,7618,1794320,18287,585126,11856,1668536,17832,1050319,13746,8309207,19980,683192,14709,556872,14425,1554255,15510,164541,6161,1938422,20602,720206,12508,1661735,19168,1029984,13025,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3176001,7976,1572202,5102,50419,4032,76119,4589,274061,7440,67310,4362,346961,8974,120236,5074,402927,8322,234169,6261,1603799,4360,46639,3544,63996,4578,286156,8244,49585,4147,352332,7427,139304,5623,420674,7439,245113,6294,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1972537,7786,940979,4814,32252,3463,45653,3276,229887,7488,34893,2778,156742,5622,60109,3559,221147,6495,160296,4511,1031558,4166,31388,2287,43578,3141,242449,6279,27396,2526,168882,4863,95412,5060,233032,5538,189421,5037,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,475992,2685,227575,1689,9516,1711,17562,2286,60472,3151,10116,1518,43044,2833,16049,1682,42805,3090,28011,2169,248417,1510,8220,1138,13700,1686,67390,3539,6804,1101,48300,3082,25159,2412,45922,2686,32922,2451,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,202478,2346,102288,1477,800,484,1025,769,1919,622,459,327,6078,1195,1466,543,36613,2128,53928,2092,100190,1388,587,312,677,471,2119,650,404,301,3481,914,1822,565,34992,2434,56108,2469,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11372215,16864,5484084,9835,257210,9785,383423,10851,1294016,20084,273865,9334,1110592,14847,476807,11973,1072048,17881,616123,11725,5888131,10296,260830,10038,338065,9265,1507641,17652,213959,7687,1243042,14065,621086,11442,1110954,13643,592554,11613,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4193472,8611,2038132,6325,102082,5679,167610,6801,438843,11055,120794,6628,408155,11110,130822,5744,429432,10108,240394,6900,2155340,5320,86134,5343,160853,7432,494618,11037,102469,4361,438492,9478,180853,7408,430174,9710,261747,7771,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
