GEO_ID,C27001A_001E,C27001A_001M,C27001A_002E,C27001A_002M,C27001A_003E,C27001A_003M,C27001A_004E,C27001A_004M,C27001A_005E,C27001A_005M,C27001A_006E,C27001A_006M,C27001A_007E,C27001A_007M,C27001A_008E,C27001A_008M,C27001A_009E,C27001A_009M,C27001A_010E,C27001A_010M,NAME,C27001A_001MA,C27001A_001EA,C27001A_002EA,C27001A_002MA,C27001A_003EA,C27001A_003MA,C27001A_004EA,C27001A_004MA,C27001A_005MA,C27001A_005EA,C27001A_006EA,C27001A_006MA,C27001A_007MA,C27001A_007EA,C27001A_008MA,C27001A_008EA,C27001A_009MA,C27001A_009EA,C27001A_010MA,C27001A_010EA,state
0400000US01,3285127,5938,691677,3372,675700,3615,15977,2339,2002582,4280,1731599,10365,270983,10551,590868,1695,589486,1641,1382,617,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,464147,3635,100116,1425,91767,2174,8349,1979,309074,2887,268615,4294,40459,3382,54957,598,54821,606,136,99,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5206903,23503,1142191,10567,1058058,12529,84133,7769,3067661,15520,2658904,16493,408757,13370,997051,3233,989890,3490,7161,1842,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2271224,6628,500030,3637,477818,4886,22212,3545,1367109,4402,1192045,9482,175064,9720,404085,1278,402246,1316,1839,778,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23535253,64115,5172965,28538,5002786,30006,170179,9663,14719921,40838,13027646,42195,1692275,23577,3642367,10500,3611243,10409,31124,3099,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4537597,14076,999733,6529,959220,8156,40513,4685,2899630,8922,2602749,13331,296881,11231,638234,2431,634937,2662,3297,1147,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2713152,13199,524609,5610,508187,6350,16422,2915,1705532,9302,1602068,10018,103464,8222,483011,1628,481126,1773,1885,789,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,645731,4780,124300,2388,120048,2674,4252,1647,392379,3128,360957,4881,31422,3683,129052,706,128474,870,578,448,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,264710,3543,30855,1536,30542,1587,313,305,207152,2683,201480,2871,5672,1381,26703,615,26626,617,77,127,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15161839,28519,2763879,12990,2577150,16345,186729,10394,8991523,18143,7349629,33075,1641894,29923,3406437,6419,3371576,6760,34861,3582,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5982700,15736,1334149,8572,1249258,10016,84891,6696,3706811,10208,3061563,17497,645248,16220,941740,2552,937256,2474,4484,1420,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,339667,4399,57158,2911,56762,2914,396,364,218279,2985,203360,3697,14919,2549,64230,636,64039,614,191,184,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1494243,5763,383506,2754,363138,3940,20368,3527,881259,4208,746011,8468,135248,7635,229478,1177,229208,1133,270,186,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,9126301,23397,1956302,10909,1909350,10715,46952,4823,5731168,15562,5263868,17754,467300,13709,1438831,3577,1431470,3578,7361,1375,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5487510,9810,1238927,5584,1150763,8441,88164,6573,3394297,6233,2993386,13564,400911,13984,854286,2075,851587,2000,2699,928,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2789633,5944,622722,3060,604643,3841,18079,2746,1701569,4029,1600809,6656,100760,5787,465342,1060,464479,1126,863,458,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2418071,7848,576236,4157,549045,5213,27191,4397,1464415,4838,1297916,7970,166499,7904,377420,1288,376334,1385,1086,474,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3803786,5681,838173,3133,803260,5747,34913,4606,2359727,3737,2183170,7887,176557,7058,605886,1307,604159,1580,1727,878,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2868776,7775,619185,4235,596706,5008,22479,3417,1783783,5144,1512484,10664,271299,10331,465808,1730,464742,1869,1066,516,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1244499,1487,232263,1111,220156,2094,12107,2027,774086,1256,685068,6104,89018,6010,238150,678,237860,722,290,192,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3342741,10506,673340,4831,651338,5274,22002,3708,2098742,7453,1968453,7656,130289,6522,570659,1869,568064,2035,2595,922,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,5314915,12498,1006369,6871,995680,7388,10689,2345,3408999,8752,3295719,10196,113280,6028,899547,2450,897782,2560,1765,867,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,7735793,8640,1600879,4547,1550268,6064,50611,4555,4802855,5948,4426708,10048,376147,9572,1332059,2014,1329119,2215,2940,950,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,4570440,7075,974144,3332,950572,4509,23572,2937,2862294,4673,2724532,9108,137762,8095,734002,1320,732887,1499,1115,463,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1723845,4502,375421,2704,355566,3656,19855,3060,1037239,2825,858017,8440,179222,8766,311185,1457,310160,1471,1025,523,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4931654,7559,1072234,3808,1010508,6542,61726,5582,3034826,4739,2652675,12608,382151,12774,824594,1745,821322,1971,3272,1066,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,906416,2391,186025,1082,175634,2089,10391,1878,554606,1812,476935,5223,77671,5033,165785,907,165508,939,277,162,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1648302,6579,390348,3185,370574,3953,19774,2985,1004024,3878,898990,6435,105034,5680,253930,1115,253193,1217,737,383,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1931827,14867,409044,6781,379436,7443,29608,3605,1189358,9393,1007784,9770,181574,9842,333425,2242,328677,2442,4748,1332,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
