GEO_ID,B16005_001E,B16005_001M,B16005_002E,B16005_002M,B16005_003E,B16005_003M,B16005_004E,B16005_004M,B16005_005E,B16005_005M,B16005_006E,B16005_006M,B16005_007E,B16005_007M,B16005_008E,B16005_008M,B16005_009E,B16005_009M,B16005_010E,B16005_010M,B16005_011E,B16005_011M,B16005_012E,B16005_012M,B16005_013E,B16005_013M,B16005_014E,B16005_014M,B16005_015E,B16005_015M,B16005_016E,B16005_016M,B16005_017E,B16005_017M,B16005_018E,B16005_018M,B16005_019E,B16005_019M,B16005_020E,B16005_020M,B16005_021E,B16005_021M,B16005_022E,B16005_022M,B16005_023E,B16005_023M,B16005_024E,B16005_024M,B16005_025E,B16005_025M,B16005_026E,B16005_026M,B16005_027E,B16005_027M,B16005_028E,B16005_028M,B16005_029E,B16005_029M,B16005_030E,B16005_030M,B16005_031E,B16005_031M,B16005_032E,B16005_032M,B16005_033E,B16005_033M,B16005_034E,B16005_034M,B16005_035E,B16005_035M,B16005_036E,B16005_036M,B16005_037E,B16005_037M,B16005_038E,B16005_038M,B16005_039E,B16005_039M,B16005_040E,B16005_040M,B16005_041E,B16005_041M,B16005_042E,B16005_042M,B16005_043E,B16005_043M,B16005_044E,B16005_044M,B16005_045E,B16005_045M,NAME,B16005_001MA,B16005_001EA,B16005_002EA,B16005_002MA,B16005_003EA,B16005_003MA,B16005_004EA,B16005_004MA,B16005_005MA,B16005_005EA,B16005_006MA,B16005_006EA,B16005_007EA,B16005_007MA,B16005_008EA,B16005_008MA,B16005_009EA,B16005_009MA,B16005_010MA,B16005_010EA,B16005_011MA,B16005_011EA,B16005_012MA,B16005_012EA,B16005_013EA,B16005_013MA,B16005_014EA,B16005_014MA,B16005_015MA,B16005_015EA,B16005_016MA,B16005_016EA,B16005_017MA,B16005_017EA,B16005_018EA,B16005_018MA,B16005_019EA,B16005_019MA,B16005_020MA,B16005_020EA,B16005_021MA,B16005_021EA,B16005_022MA,B16005_022EA,B16005_023MA,B16005_023EA,B16005_024EA,B16005_024MA,B16005_025EA,B16005_025MA,B16005_026MA,B16005_026EA,B16005_027MA,B16005_027EA,B16005_028MA,B16005_028EA,B16005_029EA,B16005_029MA,B16005_030EA,B16005_030MA,B16005_031MA,B16005_031EA,B16005_032MA,B16005_032EA,B16005_033MA,B16005_033EA,B16005_034MA,B16005_034EA,B16005_035EA,B16005_035MA,B16005_036EA,B16005_036MA,B16005_037MA,B16005_037EA,B16005_038EA,B16005_038MA,B16005_039MA,B16005_039EA,B16005_040EA,B16005_040MA,B16005_041EA,B16005_041MA,B16005_042EA,B16005_042MA,B16005_043EA,B16005_043MA,B16005_044EA,B16005_044MA,B16005_045MA,B16005_045EA,state
0400000US13,9565500,4170,8550563,16157,8027886,20503,370207,12201,297874,11123,50545,4463,18041,2571,3747,1510,80917,7204,70857,6923,6667,1363,2922,969,471,597,51108,4907,40891,4001,7360,1662,2857,1064,0,214,20445,3931,18430,3552,1728,1211,151,160,136,221,1014937,16240,199907,10283,399003,11168,123567,8162,95936,5872,125464,7830,54036,5339,179501,10714,115474,7323,39864,4281,17795,3406,6368,2215,166651,7244,69800,5422,54662,4006,33687,3152,8502,2226,69875,7502,45120,5985,16237,3473,6962,1619,1556,1769,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1339510,710,1087128,8806,948410,11195,22217,3390,17490,2859,4368,1513,359,251,0,182,8194,1559,6294,1285,1712,1034,188,153,0,182,106199,7208,81875,6790,19684,2714,4220,983,420,346,2108,942,1736,757,372,398,0,182,0,182,252382,8810,41702,3392,9797,1686,4693,1336,2911,1231,1701,675,492,405,9562,2053,5462,1348,3109,1206,923,497,68,114,189974,8039,64193,4300,71666,4944,46811,4346,7304,1184,1347,633,957,557,241,267,149,165,0,182,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1543083,1127,1449591,5649,1368154,8294,67310,4985,57873,4721,7115,1612,2287,1066,35,72,7920,1685,7280,1686,491,305,149,120,0,193,3337,1075,3131,1040,113,111,93,179,0,193,2870,759,2590,762,174,175,106,140,0,193,93492,5469,16841,2266,49926,4436,16114,2589,10567,1761,15150,2287,8095,2102,10225,2317,6386,1929,2907,1003,932,643,0,193,10701,1823,5398,1238,4205,1442,902,492,196,230,5799,1883,2757,1261,2525,1165,448,420,69,75,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12080329,2724,10263395,22351,9094908,23326,856054,14395,728824,13385,84112,4837,35812,3286,7306,1691,209253,8198,185495,8099,16479,2123,6706,1245,573,457,63344,4666,52981,4413,7382,1183,2774,1056,207,216,39836,5140,34974,4680,3047,1100,1469,701,346,438,1816934,21922,205235,7582,777590,14464,246092,8711,203582,7117,232996,8304,94920,6293,454505,14702,239123,9885,125942,6438,73950,5692,15490,1986,293852,9833,156700,6892,80569,5368,42896,3656,13687,2440,85752,7915,50581,5187,21390,3098,10370,2429,3411,1699,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6200471,2345,5880949,8228,5625834,12791,153532,6768,124804,6234,18170,2903,8947,1712,1611,981,76867,6388,57338,5196,15721,2783,3095,840,713,326,16393,2601,13745,2649,1889,704,696,392,63,115,8323,2369,7364,2279,560,352,399,353,0,189,319522,8002,52750,3915,129179,5614,40362,3691,33251,3134,42255,3455,13311,2682,52884,4978,35272,3901,12182,1856,4386,1311,1044,579,66428,4720,28221,2946,22285,2541,11824,2252,4098,1043,18281,3667,12027,2447,4783,1592,1260,697,211,212,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2928815,2196,2781436,6169,2679730,8060,63634,3682,51032,3083,6483,1374,5029,1327,1090,555,24604,3620,20127,2992,3504,1212,859,419,114,134,8667,1566,6854,1338,1373,708,325,225,115,143,4801,1538,3633,1428,500,321,668,562,0,155,147379,5953,23854,2680,53573,3562,16153,2321,12851,1559,15028,2072,9541,1774,21206,3795,13068,2755,4039,1132,3207,1393,892,734,37665,2873,11793,2049,14571,1964,7902,1323,3399,1352,11081,2087,5447,1431,3176,1183,1936,717,522,438,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2714575,2159,2510223,8047,2368394,8918,106678,5822,91163,5696,10853,1582,4041,1049,621,409,19207,2717,16979,2631,1466,601,726,331,36,61,12497,1571,9479,1499,2323,768,561,430,134,147,3447,1206,2937,973,42,76,468,698,0,168,204352,7751,27093,2867,101013,5316,32999,3444,30909,3122,26318,2295,10787,2191,20701,2811,13968,1907,4021,1037,1791,845,921,579,41650,3330,17636,2126,13551,1916,7546,1313,2917,908,13895,2511,8657,2011,2640,911,2450,989,148,225,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,4151726,2323,3996427,8023,3902134,9693,56010,4358,45953,4117,6431,1441,3327,886,299,290,29165,3929,24342,3482,3284,983,1359,641,180,156,5750,1309,4779,1204,872,490,74,115,25,43,3368,936,3183,906,113,191,0,187,72,127,155299,7800,29800,3376,52973,3548,18199,2200,14334,1935,15814,2401,4626,1195,27786,3669,17117,2260,7446,1754,2204,879,1019,550,27952,3184,12465,2230,8881,1394,5057,1361,1549,810,16788,4809,8013,2631,5253,1899,2574,1587,948,715,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4365879,3118,4181487,8236,3980844,11504,70536,5516,57630,4676,7567,1973,4851,1511,488,403,106768,5824,91528,4900,11920,1857,3270,854,50,79,19074,3084,16040,2990,2111,735,486,276,437,430,4265,1510,3973,1487,184,171,108,135,0,204,184392,7788,28829,3010,83841,5387,31340,3410,22328,2933,21597,3175,8576,2003,22088,3231,15437,2716,4824,1236,1513,621,314,280,41145,3261,14168,2070,11007,1817,11770,1838,4200,944,8489,2449,4299,1188,2918,1383,954,579,318,426,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1265476,1097,1221061,4077,1170430,5977,8247,1349,7439,1318,411,213,397,277,0,163,37675,3053,32110,2944,4453,894,1112,429,0,163,2349,1060,1831,995,272,245,188,212,58,105,2360,661,2220,642,105,86,35,54,0,163,44415,3929,18046,2067,2458,846,1525,507,815,563,44,46,74,125,12618,2290,7291,1367,4155,1381,1100,526,72,97,5743,1088,2371,958,1680,762,1420,610,272,224,5550,3238,1882,766,3017,2311,456,357,195,213,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
