GEO_ID,C24060_001E,C24060_001M,C24060_002E,C24060_002M,C24060_003E,C24060_003M,C24060_004E,C24060_004M,C24060_005E,C24060_005M,C24060_006E,C24060_006M,C24060_007E,C24060_007M,C24060_008E,C24060_008M,C24060_009E,C24060_009M,C24060_010E,C24060_010M,C24060_011E,C24060_011M,C24060_012E,C24060_012M,C24060_013E,C24060_013M,C24060_014E,C24060_014M,C24060_015E,C24060_015M,C24060_016E,C24060_016M,C24060_017E,C24060_017M,C24060_018E,C24060_018M,C24060_019E,C24060_019M,C24060_020E,C24060_020M,C24060_021E,C24060_021M,C24060_022E,C24060_022M,C24060_023E,C24060_023M,C24060_024E,C24060_024M,C24060_025E,C24060_025M,C24060_026E,C24060_026M,C24060_027E,C24060_027M,C24060_028E,C24060_028M,C24060_029E,C24060_029M,C24060_030E,C24060_030M,C24060_031E,C24060_031M,C24060_032E,C24060_032M,C24060_033E,C24060_033M,C24060_034E,C24060_034M,C24060_035E,C24060_035M,C24060_036E,C24060_036M,NAME,C24060_001EA,C24060_001MA,C24060_002EA,C24060_002MA,C24060_003MA,C24060_003EA,C24060_004MA,C24060_004EA,C24060_005MA,C24060_005EA,C24060_006MA,C24060_006EA,C24060_007MA,C24060_007EA,C24060_008MA,C24060_008EA,C24060_009MA,C24060_009EA,C24060_010MA,C24060_010EA,C24060_011MA,C24060_011EA,C24060_012MA,C24060_012EA,C24060_013EA,C24060_013MA,C24060_014EA,C24060_014MA,C24060_015MA,C24060_015EA,C24060_016MA,C24060_016EA,C24060_017MA,C24060_017EA,C24060_018MA,C24060_018EA,C24060_019EA,C24060_019MA,C24060_020MA,C24060_020EA,C24060_021MA,C24060_021EA,C24060_022MA,C24060_022EA,C24060_023MA,C24060_023EA,C24060_024EA,C24060_024MA,C24060_025MA,C24060_025EA,C24060_026MA,C24060_026EA,C24060_027MA,C24060_027EA,C24060_028MA,C24060_028EA,C24060_029MA,C24060_029EA,C24060_030MA,C24060_030EA,C24060_031MA,C24060_031EA,C24060_032MA,C24060_032EA,C24060_033MA,C24060_033EA,C24060_034MA,C24060_034EA,C24060_035EA,C24060_035MA,C24060_036MA,C24060_036EA,state
0400000US01,2040118,14488,692610,14429,331724,10082,483264,10240,198139,7231,334381,8754,1442681,13731,386460,11018,226961,8623,378878,9036,153914,6497,296468,8054,55781,3574,27942,2579,5162,1175,13077,1738,5330,1188,4270,1248,134472,6836,82899,4408,18908,2882,23716,2836,3023,1283,5926,1467,303022,8558,167080,6971,50936,3918,52027,3902,14390,1937,18589,2116,104162,4373,28229,2196,29757,2890,15566,1898,21482,2374,9128,1557,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,354766,5022,129291,4827,62930,4124,80331,5364,42889,3368,39325,3353,196887,6149,47490,3247,37286,3431,52186,4365,29471,2745,30454,3025,11790,1573,5968,1227,1498,594,2183,631,1624,543,517,299,35807,2687,19636,2159,6287,1138,7772,1302,1330,671,782,313,87096,4015,46862,3305,13361,1684,14993,1674,5617,1064,6263,1335,23186,2206,9335,1523,4498,1125,3197,758,4847,940,1309,450,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2937510,17885,1016283,15035,582609,13795,770287,13718,267750,9548,300581,9250,2073252,19448,598050,12852,401118,11004,613138,13233,203030,8257,257916,9117,104152,6368,53023,4250,11952,1680,23646,2452,10798,1910,4733,1022,179523,6677,113068,6317,27740,3352,27470,2652,4930,1307,6315,1035,405313,11004,203835,7623,89325,5247,74851,4355,19089,2319,18213,2029,175270,7392,48307,3688,52474,5052,31182,2737,29903,3193,13404,1886,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1271063,11142,408507,9041,212278,7627,301090,8633,139324,5597,209864,7843,861443,12042,211095,7491,130141,6876,232636,8093,103379,4956,184192,6864,36177,2674,17374,2062,3704,992,7799,1287,4716,1128,2584,804,92128,5478,54157,5013,16183,2036,14164,1910,2102,613,5522,1218,198542,7337,103360,5064,40643,3298,35004,3272,9314,1406,10221,1834,82773,5138,22521,2564,21607,2336,11487,1744,19813,2313,7345,1535,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,18045450,43228,6812073,40106,3377528,33257,4140175,34120,1687321,21109,2028353,20278,12360327,50058,3868301,28766,2215385,28749,3207520,28536,1317007,18640,1752114,20675,599966,10807,344143,7849,57144,3830,126157,5502,42721,2670,29801,2910,1178814,16568,750026,15873,153987,6802,190175,6653,33777,3486,50849,3556,2402109,26861,1294559,18234,555309,13506,378459,9653,84767,4812,89015,5175,1504234,21230,555044,12799,395703,10443,237864,8190,209049,8254,106574,5500,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2765115,18056,1138465,13299,465588,10981,655674,14046,259092,8970,246296,7405,1877058,18730,642681,11499,318332,9576,508371,12554,198144,8552,209530,6823,132570,5694,72043,3690,11983,1733,28988,2571,13199,1948,6357,1100,216255,7618,144554,6120,27236,3289,33019,2751,6158,1342,5288,1159,360575,9612,209573,6414,67256,3890,52546,3561,16135,2100,15065,2085,178657,8245,69614,4500,40781,3366,32750,2879,25456,2694,10056,1380,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1807098,10291,766642,11230,308013,8864,425896,10122,137403,7352,169144,6635,1220926,11385,436063,9436,204909,7544,337893,9156,94192,6199,147869,5679,61527,4047,31148,2889,8025,1485,11334,1583,8094,1430,2926,1288,170515,6092,115693,4708,23587,2814,23454,2522,3062,912,4719,1077,238301,8538,140819,6317,43653,4035,37083,2987,8445,1592,8301,1310,115829,5433,42919,3279,27839,2544,16132,1775,23610,2967,5329,1200,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,447516,5855,178788,5764,84731,4530,104483,4392,38720,3403,40794,3196,312049,6851,101678,5049,63184,3929,83565,3926,28746,2947,34876,3297,16596,1891,9027,1843,885,371,2963,705,2614,693,1107,512,36823,3182,24632,2468,4407,973,5322,1232,837,418,1625,725,63324,4183,36841,3004,11339,1779,10160,1305,2926,1048,2058,802,18724,2526,6610,1552,4916,1141,2473,767,3597,1133,1128,545,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,361179,4836,223262,5507,56545,3594,61396,4267,7533,2003,12443,1892,178451,5437,84979,3861,40602,3183,40273,3777,4883,1587,7714,1511,9446,1419,6357,1229,1365,751,1160,610,369,396,195,166,67838,4261,53628,3375,4937,1486,8328,1462,428,338,517,447,87984,4601,67416,3931,6906,1237,10046,1278,532,279,3084,798,17460,2147,10882,1558,2735,842,1589,643,1321,958,933,435,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8990221,32668,3097672,27050,1811206,25529,2423765,28343,824719,20767,832859,17311,6332977,39164,1819059,24258,1301386,22867,1924168,24996,601603,18781,686761,16152,525234,11962,239976,8509,58719,3811,124335,5981,75287,4829,26917,2599,548928,13849,331866,9737,80226,6607,101771,5111,16315,2748,18750,2578,1030522,17814,552427,13572,205647,8384,175792,8032,40765,3556,55891,5308,552560,14327,154344,8412,165228,7019,97699,5425,90749,6017,44540,3716,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
