GEO_ID,C15002H_001E,C15002H_001M,C15002H_002E,C15002H_002M,C15002H_003E,C15002H_003M,C15002H_004E,C15002H_004M,C15002H_005E,C15002H_005M,C15002H_006E,C15002H_006M,C15002H_007E,C15002H_007M,C15002H_008E,C15002H_008M,C15002H_009E,C15002H_009M,C15002H_010E,C15002H_010M,C15002H_011E,C15002H_011M,NAME,C15002H_001MA,C15002H_001EA,C15002H_002MA,C15002H_002EA,C15002H_003EA,C15002H_003MA,C15002H_004EA,C15002H_004MA,C15002H_005MA,C15002H_005EA,C15002H_006MA,C15002H_006EA,C15002H_007MA,C15002H_007EA,C15002H_008MA,C15002H_008EA,C15002H_009EA,C15002H_009MA,C15002H_010MA,C15002H_010EA,C15002H_011MA,C15002H_011EA,state
0400000US01,2279702,1666,1092757,1178,144574,6291,343531,7379,309148,7110,295504,7377,1186945,1068,145939,5837,353343,6778,368003,7275,319660,6822,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,316043,616,168627,472,7009,1232,45320,2749,58389,3201,57909,2713,147416,502,6098,1162,30655,2434,53023,2864,57640,2724,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2862388,1664,1395735,1021,89166,5115,321367,8515,497146,10093,488056,8401,1466653,1120,85821,5179,347349,7563,550757,9055,482726,8523,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1538245,1778,741705,1235,93344,4322,264147,6186,215327,5706,168887,5516,796540,1286,86244,4174,268504,5987,248456,6454,193336,5089,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,11281942,4401,5572882,2508,314908,8354,1042698,12836,1802280,17536,2412996,18611,5709060,2532,297468,8680,1092224,12854,1987855,16671,2331513,17062,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2704318,3248,1336381,2354,51867,3482,267939,5960,409951,8971,606624,8486,1367937,1622,45192,3333,269684,7011,426187,7985,626874,7911,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1793942,1495,856593,927,54906,3632,237143,6969,196395,5700,368149,7425,937349,899,52982,3674,243669,5869,239811,5659,400887,6259,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,445757,790,212140,335,20189,2270,66040,3113,56338,2903,69573,3168,233617,507,15563,1644,71184,3251,70455,3521,76415,3407,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,184676,426,93659,236,397,366,1890,677,6453,1279,84919,1567,91017,354,391,263,1931,595,4408,942,84287,1225,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8606703,4777,4160031,3015,337831,11071,1171740,16647,1255523,15661,1394937,19425,4446672,2976,294331,9356,1325064,16274,1478150,15323,1349127,16197,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3880273,3634,1875502,2423,207513,7334,518916,11421,508606,11674,640467,9558,2004771,2501,193334,7542,559442,12089,589721,10864,662274,10774,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
