GEO_ID,B12002G_001E,B12002G_001M,B12002G_002E,B12002G_002M,B12002G_003E,B12002G_003M,B12002G_004E,B12002G_004M,B12002G_005E,B12002G_005M,B12002G_006E,B12002G_006M,B12002G_007E,B12002G_007M,B12002G_008E,B12002G_008M,B12002G_009E,B12002G_009M,B12002G_010E,B12002G_010M,B12002G_011E,B12002G_011M,B12002G_012E,B12002G_012M,B12002G_013E,B12002G_013M,NAME,B12002G_001EA,B12002G_001MA,B12002G_002EA,B12002G_002MA,B12002G_003MA,B12002G_003EA,B12002G_004MA,B12002G_004EA,B12002G_005EA,B12002G_005MA,B12002G_006EA,B12002G_006MA,B12002G_007EA,B12002G_007MA,B12002G_008MA,B12002G_008EA,B12002G_009MA,B12002G_009EA,B12002G_010EA,B12002G_010MA,B12002G_011EA,B12002G_011MA,B12002G_012EA,B12002G_012MA,B12002G_013MA,B12002G_013EA,state
0400000US01,56065,4546,28124,2974,14684,2517,9088,1368,422,431,759,511,3171,1106,27941,2612,10711,2065,9482,1388,1556,664,2418,674,3774,914,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,38646,2942,19755,1970,11901,1498,4685,976,578,409,155,117,2436,897,18891,1796,9273,1313,5826,974,493,294,877,445,2422,884,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,130212,7553,64217,4529,34937,3320,19135,1864,1130,553,930,569,8085,1632,65995,4397,32236,3116,20021,2013,1777,653,3470,982,8491,1510,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,36676,4060,19158,2488,8617,1628,7258,1346,318,348,567,440,2398,878,17518,2579,6145,1463,5776,1106,479,334,1709,613,3409,1155,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1106223,22436,541994,14258,301560,9112,181310,7981,9686,1535,6157,1016,43281,2719,564229,12616,273330,9327,190138,6149,11809,1864,25735,2254,63217,4452,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,119007,6625,61160,4664,33490,3390,20265,2279,921,509,949,495,5535,1477,57847,3908,27619,3091,22024,2099,1231,582,1942,684,5031,1086,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,67763,5488,32729,3422,20241,2403,9642,1743,512,423,318,341,2016,947,35034,3481,21735,2979,8480,1423,874,497,888,452,3057,761,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,14743,2347,7961,1596,5195,1407,2223,740,0,190,102,145,441,424,6782,1317,3118,951,2407,632,152,181,101,112,1004,520,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,15494,2155,6988,1452,4492,1277,1894,727,218,193,135,172,249,195,8506,1205,4887,1085,1569,535,122,151,672,464,1256,475,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,316635,13001,158314,8306,82035,5825,56531,4132,2700,887,1987,644,15061,2010,158321,7875,71017,5490,53212,4008,4739,1173,8799,1641,20554,2796,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,134299,10257,63731,5818,32962,4309,23402,2888,891,431,683,377,5793,1297,70568,5901,33555,3989,23108,2923,908,435,3466,775,9531,1632,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
