GEO_ID,C07008_001E,C07008_001M,C07008_002E,C07008_002M,C07008_003E,C07008_003M,C07008_004E,C07008_004M,C07008_005E,C07008_005M,C07008_006E,C07008_006M,C07008_007E,C07008_007M,C07008_008E,C07008_008M,C07008_009E,C07008_009M,C07008_010E,C07008_010M,C07008_011E,C07008_011M,C07008_012E,C07008_012M,C07008_013E,C07008_013M,C07008_014E,C07008_014M,C07008_015E,C07008_015M,C07008_016E,C07008_016M,C07008_017E,C07008_017M,C07008_018E,C07008_018M,C07008_019E,C07008_019M,C07008_020E,C07008_020M,C07008_021E,C07008_021M,C07008_022E,C07008_022M,C07008_023E,C07008_023M,C07008_024E,C07008_024M,C07008_025E,C07008_025M,C07008_026E,C07008_026M,C07008_027E,C07008_027M,C07008_028E,C07008_028M,C07008_029E,C07008_029M,C07008_030E,C07008_030M,NAME,C07008_001MA,C07008_001EA,C07008_002MA,C07008_002EA,C07008_003MA,C07008_003EA,C07008_004MA,C07008_004EA,C07008_005MA,C07008_005EA,C07008_006MA,C07008_006EA,C07008_007EA,C07008_007MA,C07008_008MA,C07008_008EA,C07008_009EA,C07008_009MA,C07008_010MA,C07008_010EA,C07008_011MA,C07008_011EA,C07008_012MA,C07008_012EA,C07008_013MA,C07008_013EA,C07008_014MA,C07008_014EA,C07008_015MA,C07008_015EA,C07008_016EA,C07008_016MA,C07008_017MA,C07008_017EA,C07008_018EA,C07008_018MA,C07008_019MA,C07008_019EA,C07008_020EA,C07008_020MA,C07008_021EA,C07008_021MA,C07008_022MA,C07008_022EA,C07008_023MA,C07008_023EA,C07008_024MA,C07008_024EA,C07008_025MA,C07008_025EA,C07008_026EA,C07008_026MA,C07008_027EA,C07008_027MA,C07008_028MA,C07008_028EA,C07008_029EA,C07008_029MA,C07008_030MA,C07008_030EA,state
0400000US01,3947204,3082,1231259,14604,1839686,21790,596867,13860,279392,6636,3400549,17405,972240,13556,1670776,21049,501716,12287,255817,6538,318645,13014,146052,8445,96754,7006,61061,4725,14778,1812,124579,7383,66674,5252,34038,3918,20250,2756,3617,904,93383,6743,42327,3871,33047,4383,13057,1926,4952,1135,10048,1842,3966,1203,5071,1183,783,427,228,180,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,582619,876,208095,5019,274708,6013,78523,4652,21293,2050,468717,6717,152999,5301,235507,6059,61291,4011,18920,1936,65858,5740,33056,3540,20490,3021,11198,1932,1114,470,15884,1685,8127,1233,5089,1255,2381,639,287,191,28103,3240,12159,2046,11634,2138,3498,1117,812,439,4057,1117,1754,609,1988,923,155,196,160,141,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5481996,1114,1837146,17559,2541103,25070,796324,15896,307423,8096,4497643,21046,1379376,20351,2204488,22328,644670,13130,269109,7741,630475,18397,307962,11367,194982,10316,104569,5735,22962,2150,96937,5988,49669,3950,29566,3569,14175,1764,3527,950,215345,9733,83839,5616,91572,6261,29720,3238,10214,1964,41596,4758,16300,2872,20495,2949,3190,971,1611,924,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2390981,2948,655919,12039,1198525,16704,366119,9379,170418,6351,2004012,13546,487314,13107,1066933,15752,297743,8738,152022,5807,218773,11335,89086,6482,75331,6222,43294,3886,11062,1768,95952,6852,49380,4357,26924,3342,15216,2162,4432,871,65095,4959,28166,3306,25387,3398,8884,1692,2658,701,7149,1461,1973,728,3950,1137,982,620,244,237,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,31576740,3429,11708669,39381,14589965,51198,3698270,29573,1579836,18431,27282907,37257,9609405,41749,13073664,50672,3157153,28084,1442685,18191,2647242,33242,1272676,21838,931654,19887,358582,11228,84330,4109,920938,19258,487767,12297,286299,10225,117974,6307,28898,2732,440086,14283,217242,9379,160163,9333,49243,3776,13438,1910,285567,13181,121579,7606,138185,8319,15318,1970,10485,2002,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4406120,2262,1396534,15555,2227684,18085,593702,10822,188200,5740,3581228,17775,1000277,15345,1932347,18384,480680,10020,167924,5936,380686,13020,179284,8812,135007,7403,57694,4413,8701,1543,225391,9414,116347,6402,71027,6178,32324,2967,5693,1096,189392,9867,89124,5899,75327,6098,20369,2495,4572,1212,29423,3035,11502,2301,13976,2164,2635,930,1310,644,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2971949,1156,1050166,12166,1395980,15660,356276,9803,169527,6124,2600513,13430,858130,13436,1282941,16330,304129,8647,155313,5782,212034,9627,101343,6265,66645,5792,34648,3605,9398,1400,68946,6344,42060,4328,14486,2783,9478,2072,2922,1024,67236,5366,37172,3229,22046,3237,6398,1656,1620,521,23220,3693,11461,2871,9862,1686,1623,901,274,264,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,776531,657,262738,6140,364874,9175,99723,5593,49196,2514,665752,7119,205047,6854,330500,8979,85844,5232,44361,2572,58251,4997,31108,3109,17019,3152,7959,1536,2165,1025,10503,1968,5829,1317,2334,889,1773,746,567,360,38230,4680,19358,3416,13077,2385,3985,933,1810,664,3795,1254,1396,845,1944,693,162,156,293,272,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,569946,266,315642,5783,165132,6852,62867,3996,26305,2091,441912,6340,221512,6703,141761,6842,54050,3645,24589,2044,60606,5345,43206,4778,12049,1879,4481,959,870,426,0,200,0,200,0,200,0,200,0,200,57191,4167,44591,3580,8041,1861,3713,1129,846,511,10237,2907,6333,2149,3281,1212,623,433,0,200,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16889179,3724,5377198,30017,7680472,45958,2644215,29242,1187294,17495,14218199,36043,4252229,32668,6715005,44757,2184272,26376,1066693,17255,1440784,31137,626453,19195,481432,16794,270226,11778,62673,4343,543505,16385,262340,9465,168312,10964,92676,5960,20177,2254,505779,16889,170816,8861,224246,10530,80116,6284,30601,3895,180912,10755,65360,5342,91477,7626,16925,2679,7150,1494,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
