B21007_013E,B21007_013M,B21007_014E,B21007_014M,B21007_015E,B21007_015M,B21007_016E,B21007_016M,B21007_017E,B21007_017M,B21007_018E,B21007_018M,B21007_019E,B21007_019M,B21007_020E,B21007_020M,B21007_021E,B21007_021M,B21007_022E,B21007_022M,B21007_023E,B21007_023M,B21007_024E,B21007_024M,B21007_025E,B21007_025M,B21007_026E,B21007_026M,B21007_027E,B21007_027M,B21007_028E,B21007_028M,B21007_029E,B21007_029M,B21007_030E,B21007_030M,B21007_031E,B21007_031M,B21007_032E,B21007_032M,B21007_033E,B21007_033M,B21007_034E,B21007_034M,B21007_035E,B21007_035M,B21007_036E,B21007_036M,B21007_037E,B21007_037M,B21007_038E,B21007_038M,B21007_039E,B21007_039M,B21007_040E,B21007_040M,B21007_041E,B21007_041M,B21007_042E,B21007_042M,B21007_043E,B21007_043M,B21007_044E,B21007_044M,B21007_045E,B21007_045M,B21007_046E,B21007_046M,B21007_047E,B21007_047M,B21007_048E,B21007_048M,B21007_049E,B21007_049M,B21007_050E,B21007_050M,B21007_051E,B21007_051M,B21007_052E,B21007_052M,B21007_053E,B21007_053M,B21007_054E,B21007_054M,B21007_055E,B21007_055M,B21007_056E,B21007_056M,B21007_057E,B21007_057M,B21007_058E,B21007_058M,B21007_059E,B21007_059M,B21007_060E,B21007_060M,B21007_061E,B21007_061M,GEO_ID,B21007_001E,B21007_001M,B21007_002E,B21007_002M,B21007_003E,B21007_003M,B21007_004E,B21007_004M,B21007_005E,B21007_005M,B21007_006E,B21007_006M,B21007_007E,B21007_007M,B21007_008E,B21007_008M,B21007_009E,B21007_009M,B21007_010E,B21007_010M,B21007_011E,B21007_011M,B21007_012E,B21007_012M,B21007_013MA,B21007_013EA,B21007_014EA,B21007_014MA,B21007_015EA,B21007_015MA,B21007_016MA,B21007_016EA,B21007_017MA,B21007_017EA,B21007_018MA,B21007_018EA,B21007_019EA,B21007_019MA,B21007_020EA,B21007_020MA,B21007_021EA,B21007_021MA,B21007_022MA,B21007_022EA,B21007_023MA,B21007_023EA,B21007_024MA,B21007_024EA,B21007_025EA,B21007_025MA,B21007_026EA,B21007_026MA,B21007_027MA,B21007_027EA,B21007_028MA,B21007_028EA,B21007_029MA,B21007_029EA,B21007_030EA,B21007_030MA,B21007_031EA,B21007_031MA,B21007_032EA,B21007_032MA,B21007_033MA,B21007_033EA,B21007_034MA,B21007_034EA,B21007_035MA,B21007_035EA,B21007_036EA,B21007_036MA,B21007_037EA,B21007_037MA,B21007_038MA,B21007_038EA,B21007_039MA,B21007_039EA,B21007_040MA,B21007_040EA,B21007_041EA,B21007_041MA,B21007_042EA,B21007_042MA,B21007_043EA,B21007_043MA,B21007_044MA,B21007_044EA,B21007_045MA,B21007_045EA,B21007_046EA,B21007_046MA,B21007_047EA,B21007_047MA,B21007_048EA,B21007_048MA,B21007_049MA,B21007_049EA,B21007_050MA,B21007_050EA,B21007_051EA,B21007_051MA,B21007_052MA,B21007_052EA,B21007_053EA,B21007_053MA,B21007_054MA,B21007_054EA,B21007_055EA,B21007_055MA,B21007_056MA,B21007_056EA,B21007_057MA,B21007_057EA,B21007_058EA,B21007_058MA,B21007_059EA,B21007_059MA,B21007_060EA,B21007_060MA,B21007_061MA,B21007_061EA,NAME,B21007_001MA,B21007_001EA,B21007_002EA,B21007_002MA,B21007_003MA,B21007_003EA,B21007_004EA,B21007_004MA,B21007_005MA,B21007_005EA,B21007_006MA,B21007_006EA,B21007_007MA,B21007_007EA,B21007_008EA,B21007_008MA,B21007_009EA,B21007_009MA,B21007_010EA,B21007_010MA,B21007_011MA,B21007_011EA,B21007_012MA,B21007_012EA,state
214802,8479,761696,10436,51069,3337,710627,10474,1231392,5393,79970,4715,6880,1581,2552,938,4328,1269,73090,4292,12297,2010,60793,4006,1151422,7488,172471,8006,53182,4397,119289,6675,978951,9852,116170,6078,862781,10227,633472,2777,69304,3930,6094,1215,2810,747,3284,996,63210,3794,18134,1763,45076,3452,564168,4862,80872,4709,38506,3359,42366,3496,483296,6607,108148,4742,375148,7198,743274,2863,153217,4346,7053,1156,3887,895,3166,877,146164,4460,64024,3455,82140,3528,590057,4784,66527,4093,36576,3255,29951,2836,523530,5805,203210,6034,320320,6504,0400000US01,3636160,3528,1028022,5891,24169,2375,3001,974,615,405,2386,814,21168,2140,3004,1008,18164,2285,1003853,6166,242157,8781,27355,2566,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
18765,2034,148418,3070,8800,1515,139618,3128,179905,1725,20958,2214,779,470,225,173,554,452,20179,2138,2178,768,18001,1890,158947,2851,13869,1693,2597,568,11272,1606,145078,3116,11572,1644,133506,3041,93741,1225,13590,1561,1180,503,676,444,504,294,12410,1557,2927,781,9483,1382,80151,1909,6228,1017,2240,613,3988,860,73923,2000,11910,1608,62013,2221,70086,1161,19297,1397,756,448,601,416,155,113,18541,1390,7182,1199,11359,1182,50789,1521,2382,588,952,355,1430,447,48407,1602,19027,1615,29380,1801,0400000US02,525200,1857,181468,2517,11939,1904,213,299,26,34,187,297,11726,1861,1542,826,10184,1864,169529,2762,21111,2084,2346,772,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
290887,9756,1139882,10533,56291,3900,1083591,11137,1651198,3632,104915,5831,7693,1576,2379,865,5314,1232,97222,5371,11686,2033,85536,5113,1546283,6347,231336,9917,49794,3624,181542,9488,1314947,11078,104846,6201,1210101,11403,806304,2122,81025,3596,9298,1657,3947,1047,5351,1275,71727,3424,18036,1842,53691,3245,725279,3942,95094,5731,33015,3114,62079,4638,630185,6856,103569,5392,526616,7898,1107887,1814,256185,5087,12879,1554,5848,1017,7031,1233,243306,4821,96989,4188,146317,4493,851702,5320,86337,3957,37404,2896,48933,3526,765365,6581,246737,6169,518628,7724,0400000US04,5062742,2070,1497353,3346,39929,3775,4361,1276,819,542,3542,1209,35568,3675,3415,1044,32153,3438,1457424,4789,317542,10142,26655,3149,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
129800,6415,462564,7401,30339,3234,432225,6853,735492,4837,47178,3320,6458,1363,1412,536,5046,1280,40720,3364,9087,1656,31633,2840,688314,5584,104518,5625,35755,3539,68763,4470,583796,7297,68577,5044,515219,8304,369457,2039,38426,2667,5360,1153,2597,717,2763,960,33066,2481,10336,1643,22730,2012,331031,3175,50101,3476,23153,2313,26948,3013,280930,4514,64480,3540,216450,4818,461223,1744,97563,3389,5390,1025,2041,513,3349,857,92173,3403,41606,2875,50567,2917,363660,3710,41893,3191,23414,2207,18479,2214,321767,4825,128093,4319,193674,4217,0400000US05,2193286,2189,627114,4856,18263,2490,2658,1006,583,494,2075,857,15605,2348,639,361,14966,2370,608851,4878,146287,6772,16487,2476,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
1526360,26729,7565159,28315,329964,9717,7235195,28722,10295577,6200,348304,9208,27630,2709,8494,1560,19136,2270,320674,8579,37807,3489,282867,7705,9947273,10408,1265932,22527,217846,8843,1048086,20410,8681341,23853,530821,12460,8150520,24752,4591535,3326,275064,8771,27888,2570,11313,2027,16575,1781,247176,8665,56303,4399,190873,6810,4316471,8677,502545,11173,168810,8104,333735,8365,3813926,13852,514222,10099,3299704,15804,5094631,3307,835311,10733,44886,3185,20130,1856,24756,2404,790425,10957,310172,7510,480253,8964,4259320,11601,461073,10922,217315,6999,243758,8736,3798247,16614,1251552,14540,2546695,17802,0400000US06,29348443,5331,9366700,6907,159577,7191,16754,2198,3282,857,13472,1933,142823,6658,15427,2616,127396,5993,9207123,9908,1641964,27758,115604,6697,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
186514,7886,1034009,10384,45072,3783,988937,10585,1422904,4491,99454,4436,5257,1055,1207,498,4050,960,94197,4280,11910,1791,82287,4042,1323450,5427,108823,5819,26181,2247,82642,5623,1214627,7005,75181,4016,1139446,7341,679301,2640,65926,3961,6836,1303,3328,985,3508,979,59090,3833,11622,1196,47468,3519,613375,4096,53991,3709,19138,2192,34853,2752,559384,5290,69519,4054,489865,6507,696097,2574,160328,4190,7245,1112,3201,764,4044,864,153083,4236,59520,2832,93563,3348,535769,4924,41733,2957,18206,2023,23527,2249,494036,4784,146834,4958,347202,5430,0400000US08,4078605,3463,1280303,4426,43783,3508,3960,1122,699,643,3261,921,39823,3605,5231,1467,34592,3550,1236520,6168,202511,8697,15997,2186,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
90124,5500,618219,6422,29904,2894,588315,6605,959997,2443,31611,3095,1713,662,308,238,1405,597,29898,3020,2498,929,27400,2651,928386,3680,79983,5605,23397,2575,56586,4751,848403,6249,54118,4076,794285,6805,493367,1272,27126,2335,1845,608,503,245,1342,544,25281,2350,4848,980,20433,2154,466241,2424,34799,2970,11587,1705,23212,2642,431442,4039,51491,3473,379951,5030,543412,1341,101241,3372,3910,790,1837,588,2073,541,97331,3318,33516,2080,63815,2841,442171,3288,35462,3702,16821,1988,18641,2577,406709,4385,116239,4651,290470,5268,0400000US09,2724622,1427,727846,2835,10890,1959,1119,596,372,374,747,608,9771,1871,945,705,8826,1584,716956,3249,98737,5538,8613,1555,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
26519,3581,163669,4205,8779,1723,154890,4363,236457,1220,12807,1708,543,308,153,117,390,284,12264,1647,1325,665,10939,1481,223650,2199,23968,2888,5188,1105,18780,2828,199682,3173,14974,1863,184708,3255,126409,714,11097,1628,788,342,219,145,569,300,10309,1583,2346,741,7963,1313,115312,1838,10635,1753,4066,945,6569,1460,104677,2186,14404,1656,90273,2565,156750,724,35632,1938,1278,513,993,441,285,200,34354,1967,13058,1322,21296,1622,121118,2130,8488,1291,3351,811,5137,978,112630,2446,31973,2533,80657,2451,0400000US10,716664,895,197048,1398,3818,1026,127,155,44,81,83,129,3691,1009,259,224,3432,972,193230,1795,29561,3767,3042,963,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
33000,3284,167223,3586,5003,1390,162220,3699,171135,679,6852,1229,524,396,384,353,140,170,6328,1254,248,190,6080,1231,164283,1466,20311,2431,7432,1380,12879,1941,143972,2873,11503,1673,132469,3413,69235,924,5347,1128,992,472,484,327,508,343,4355,971,873,385,3482,868,63888,1282,11626,1708,6058,1266,5568,1275,52262,1828,8457,1215,43805,1769,73677,900,10433,1131,1106,542,735,500,371,253,9327,1102,3161,751,6166,914,63244,1293,10061,1577,5075,1010,4986,1083,53183,1807,16491,1541,36692,1775,0400000US11,519624,718,205577,934,2304,780,101,127,0,200,101,127,2203,770,80,134,2123,748,203273,1190,36050,3601,3050,905,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
709883,17339,3277303,20906,153780,8894,3123523,21270,5112093,6919,297241,9220,22856,2309,6661,1322,16195,1793,274385,8871,36551,3954,237834,8886,4814852,10000,646053,15158,127018,7111,519035,14014,4168799,17360,313576,10764,3855223,18255,2626514,4425,248733,7703,29639,3227,11741,1882,17898,2724,219094,6810,53333,3756,165761,6147,2377781,9103,303981,9189,98690,5973,205291,8224,2073800,13232,312078,8982,1761722,14064,3878581,4401,782875,8686,41128,3033,16846,2283,24282,2688,741747,9257,296272,7338,445475,9518,3095706,9474,358028,10318,145363,6224,212665,7870,2737678,13433,842771,13169,1894907,15551,0400000US12,15776018,4239,4158830,7925,110411,7242,11803,2162,1719,792,10084,2039,98608,7019,8376,2087,90232,6700,4048419,11027,771116,17513,61233,5151,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
