GEO_ID,C18105_001E,C18105_001M,C18105_002E,C18105_002M,C18105_003E,C18105_003M,C18105_004E,C18105_004M,C18105_005E,C18105_005M,C18105_006E,C18105_006M,C18105_007E,C18105_007M,C18105_008E,C18105_008M,C18105_009E,C18105_009M,C18105_010E,C18105_010M,C18105_011E,C18105_011M,C18105_012E,C18105_012M,C18105_013E,C18105_013M,C18105_014E,C18105_014M,C18105_015E,C18105_015M,C18105_016E,C18105_016M,C18105_017E,C18105_017M,C18105_018E,C18105_018M,C18105_019E,C18105_019M,C18105_020E,C18105_020M,C18105_021E,C18105_021M,NAME,C18105_001EA,C18105_001MA,C18105_002EA,C18105_002MA,C18105_003MA,C18105_003EA,C18105_004MA,C18105_004EA,C18105_005MA,C18105_005EA,C18105_006EA,C18105_006MA,C18105_007EA,C18105_007MA,C18105_008EA,C18105_008MA,C18105_009MA,C18105_009EA,C18105_010MA,C18105_010EA,C18105_011MA,C18105_011EA,C18105_012EA,C18105_012MA,C18105_013EA,C18105_013MA,C18105_014MA,C18105_014EA,C18105_015MA,C18105_015EA,C18105_016MA,C18105_016EA,C18105_017EA,C18105_017MA,C18105_018EA,C18105_018MA,C18105_019EA,C18105_019MA,C18105_020MA,C18105_020EA,C18105_021MA,C18105_021EA,state
0400000US01,4495948,3557,2152607,5515,418130,3643,3557,901,414573,3563,1411387,4760,107612,4691,1303775,5808,323090,2063,75599,3502,247491,3701,2343341,4958,403464,3923,2943,1176,400521,4067,1519693,3777,133827,5538,1385866,6679,420184,1772,131158,4447,289026,4839,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,658381,1915,339453,2432,67990,1393,279,182,67711,1396,236718,2124,9739,1705,226979,2639,34745,726,7295,1127,27450,1287,318928,1641,63226,1063,331,268,62895,1089,220361,1423,10906,1276,209455,1991,35341,944,10045,1123,25296,1273,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6289916,2305,3075040,3271,605373,1673,3572,1156,601801,1908,1959748,2694,94834,5527,1864914,6151,509919,1267,93489,4341,416430,4403,3214876,2877,584582,1505,3337,902,581245,1681,2032326,2198,110346,5334,1921980,5797,597968,1577,140974,4714,456994,5188,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2735603,2743,1331525,4224,268330,3427,1684,722,266646,3450,856738,2663,63941,3746,792797,4391,206457,1612,49990,2307,156467,2512,1404078,4102,246667,3315,1643,678,245024,3269,902645,2905,82623,4044,820022,5635,254766,1684,80720,2858,174046,3246,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36142088,5223,17770748,7284,3360700,3749,20604,2544,3340096,4648,12148870,6721,456331,10507,11692539,12771,2261178,3359,431555,8868,1829623,8996,18371340,5663,3234906,2810,16802,2452,3218104,4359,12302981,4246,506335,11821,11796646,12361,2833453,3341,728800,10156,2104653,11123,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5033796,3293,2503714,4760,469564,3019,3342,1005,466222,3296,1715975,4027,58217,3561,1657758,5274,318175,1683,48369,3049,269806,3586,2530082,4461,451697,2405,1748,690,449949,2530,1700463,4150,66576,3769,1633887,4946,377922,1653,82861,3074,295061,3098,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3351455,1440,1624178,2865,294947,1520,2209,814,292738,1802,1091394,2190,38594,3190,1052800,3627,237837,1275,36514,2621,201323,2703,1727277,2263,280446,1346,1369,633,279077,1516,1141256,1700,46468,3354,1094788,3753,305575,1441,68285,2883,237290,3126,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,875758,810,419233,1316,75401,777,450,290,74951,826,273176,1016,12100,1866,261076,2062,70656,647,13734,1335,56922,1456,456525,1157,72925,761,578,347,72347,850,297506,819,14749,1681,282757,1910,86094,634,18583,1669,67511,1661,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,617452,667,289021,1068,37705,418,494,413,37211,498,221903,1297,10059,1624,211844,1957,29413,869,5207,834,24206,1177,328431,986,36480,424,308,244,36172,501,247687,722,13517,1581,234170,1747,44264,548,12101,1273,32163,1256,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18862358,4761,9091970,7750,1519907,5200,9227,2136,1510680,5754,5826380,5787,278359,9918,5548021,10139,1745683,3300,321714,7362,1423969,8593,9770388,6736,1475683,4010,8663,1987,1467020,4905,6161807,5652,329945,10302,5831862,11340,2132898,3781,504790,9840,1628108,10575,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
