GEO_ID,B25116_001E,B25116_001M,B25116_002E,B25116_002M,B25116_003E,B25116_003M,B25116_004E,B25116_004M,B25116_005E,B25116_005M,B25116_006E,B25116_006M,B25116_007E,B25116_007M,B25116_008E,B25116_008M,B25116_009E,B25116_009M,B25116_010E,B25116_010M,B25116_011E,B25116_011M,B25116_012E,B25116_012M,B25116_013E,B25116_013M,B25116_014E,B25116_014M,B25116_015E,B25116_015M,B25116_016E,B25116_016M,B25116_017E,B25116_017M,B25116_018E,B25116_018M,B25116_019E,B25116_019M,B25116_020E,B25116_020M,B25116_021E,B25116_021M,B25116_022E,B25116_022M,B25116_023E,B25116_023M,NAME,B25116_001MA,B25116_001EA,B25116_002EA,B25116_002MA,B25116_003MA,B25116_003EA,B25116_004MA,B25116_004EA,B25116_005EA,B25116_005MA,B25116_006MA,B25116_006EA,B25116_007EA,B25116_007MA,B25116_008MA,B25116_008EA,B25116_009MA,B25116_009EA,B25116_010MA,B25116_010EA,B25116_011EA,B25116_011MA,B25116_012MA,B25116_012EA,B25116_013MA,B25116_013EA,B25116_014MA,B25116_014EA,B25116_015MA,B25116_015EA,B25116_016EA,B25116_016MA,B25116_017MA,B25116_017EA,B25116_018EA,B25116_018MA,B25116_019MA,B25116_019EA,B25116_020MA,B25116_020EA,B25116_021MA,B25116_021EA,B25116_022EA,B25116_022MA,B25116_023EA,B25116_023MA,state
0400000US01,1846390,11341,1253595,13117,322537,6871,88446,4644,79236,3807,74904,3687,79951,2894,931058,12336,472647,9769,210660,5013,157061,3913,90690,2545,592795,11428,230135,8523,129608,6692,43288,3291,31412,2870,25827,2366,362660,9292,303125,7924,34046,2946,16988,1902,8501,1060,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,250185,2685,159922,3409,36811,2668,15314,1929,10533,1372,6358,1011,4606,900,123111,3341,69279,3033,30899,1599,16511,1085,6422,1010,90263,3323,29952,2669,18652,1937,6116,1286,3589,810,1595,380,60311,3166,53182,2906,5048,1047,1367,406,714,327,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2463008,12455,1524828,12566,362231,8408,97706,4638,86163,4605,91599,3826,86763,4455,1162597,11673,555235,8880,246552,5969,223009,4940,137801,3727,938180,12431,317107,9111,178509,7799,59415,3434,40113,2702,39070,2353,621073,11755,514163,10164,60719,3592,28697,2154,17494,1891,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1144663,8300,746000,10027,179368,6460,46368,3448,40167,2958,45652,2954,47181,2720,566632,9185,292721,7423,122574,3399,96766,3081,54571,2342,398663,8123,145540,5837,78378,4724,27161,2775,18601,2243,21400,1873,253123,6778,210768,6468,24241,2224,11702,1612,6412,989,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12896357,19487,6910823,27840,1380937,17303,349082,8241,325164,8330,333259,8017,373432,8521,5529886,26698,2794643,21465,1312188,14140,884194,10069,538861,8389,5985534,26745,1718829,20581,942602,16846,312392,8201,230832,7740,233003,6954,4266705,29324,3434349,25227,486776,11707,220270,7039,125310,6509,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2074735,7548,1322618,9565,289481,7786,95557,4413,74942,3631,63618,2965,55364,3298,1033137,9560,572191,7794,231472,4342,153309,3349,76165,2900,752117,9473,275276,6759,163863,5122,47436,3847,31826,2726,32151,2326,476841,9927,410552,8947,40152,3280,15164,1881,10973,1301,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1343703,6712,889035,8413,197608,6679,56301,3778,47052,3287,44226,3031,50029,3194,691427,8982,353728,6458,173097,4339,105865,3362,58737,2521,454668,8901,184793,6881,92314,5220,33931,3468,26281,2360,32267,2186,269875,6676,218204,5975,29325,2442,12632,1397,9714,1411,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,352595,3920,249681,4261,59425,3303,17465,2183,14344,1759,13227,1533,14389,1301,190256,4123,93007,3451,44214,1682,35553,1938,17482,1202,102914,4301,34399,3038,17811,2158,5608,1139,5041,1235,5939,1018,68515,3634,55090,3231,8093,1510,3452,767,1880,608,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,281787,3030,112555,3556,40485,2575,18972,1968,8425,980,7385,1009,5703,1121,72070,3118,41593,2375,12860,1262,9873,1055,7744,746,169232,4150,77862,4300,49038,3783,13063,1680,9120,1330,6641,1112,91370,3817,76215,3317,9854,1529,3969,997,1332,442,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7463184,23147,4760071,23483,1238090,15591,277875,9148,269520,7012,326693,8372,364002,8459,3521981,22648,1543832,16965,792965,10059,713242,9132,471942,8113,2703113,22882,915591,16178,504731,13733,163102,6589,118041,6109,129717,5409,1787522,20626,1416675,17534,203034,6607,100360,5724,67453,4454,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
