GEO_ID,B17026_001E,B17026_001M,B17026_002E,B17026_002M,B17026_003E,B17026_003M,B17026_004E,B17026_004M,B17026_005E,B17026_005M,B17026_006E,B17026_006M,B17026_007E,B17026_007M,B17026_008E,B17026_008M,B17026_009E,B17026_009M,B17026_010E,B17026_010M,B17026_011E,B17026_011M,B17026_012E,B17026_012M,B17026_013E,B17026_013M,NAME,B17026_001MA,B17026_001EA,B17026_002EA,B17026_002MA,B17026_003EA,B17026_003MA,B17026_004MA,B17026_004EA,B17026_005MA,B17026_005EA,B17026_006MA,B17026_006EA,B17026_007EA,B17026_007MA,B17026_008EA,B17026_008MA,B17026_009MA,B17026_009EA,B17026_010MA,B17026_010EA,B17026_011MA,B17026_011EA,B17026_012MA,B17026_012EA,B17026_013EA,B17026_013MA,state
0400000US01,1213540,13821,70731,4435,45595,3303,50429,3568,52553,4651,50748,3573,58428,4145,22373,2046,34714,2554,201347,7037,179813,6039,129773,5231,317036,7344,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,163800,3113,3995,904,3092,764,4443,1024,4020,862,5275,1122,4233,790,2912,909,3199,833,23646,2261,19948,1966,18547,1813,70490,2484,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1598414,13914,87565,5124,48636,3534,62900,3810,63086,4046,71594,4170,70041,4245,28926,2972,41592,2940,268231,7134,229284,7161,169025,5915,457534,8569,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,761494,10038,40211,3311,29463,2769,34883,2863,37998,3101,39616,3147,39209,3450,16217,1894,21387,2553,140403,5526,111408,4658,78838,4470,171861,5909,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8835906,26617,386412,10243,280239,8465,332667,9340,367791,9376,392359,10271,380839,9658,148687,5807,207081,7627,1278022,14837,1044249,14994,844958,13732,3172602,23095,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1331861,11075,40222,2975,27704,2788,33350,2737,38108,3198,41758,2799,45174,3320,20215,2162,28711,2879,190735,6415,184583,6386,163637,5564,517664,7680,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,876188,9056,27916,2534,16961,2213,20277,2610,20199,2368,22263,2195,21287,2489,12111,1990,13357,1905,102214,4496,102315,4541,97595,4288,419693,7691,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,235385,4062,8929,1559,5896,1393,5599,1165,6382,1171,9247,1694,7163,1168,2907,1027,4504,975,34151,2844,34010,2790,32114,2495,84483,3302,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,125178,3853,7717,1415,4040,1087,5737,1274,4692,1038,4187,1119,3212,933,1965,844,2143,708,10043,1660,11503,1487,8239,1504,61700,2967,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4806611,27227,210073,8550,153627,6804,177642,7244,214388,9115,220687,7927,226667,7909,99053,5052,129513,6236,830939,15680,675073,13739,505552,11555,1363397,17534,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2466415,18717,135685,7467,90242,4640,95637,5670,107868,6148,107255,5705,110218,5190,51969,3807,63874,4768,414829,10712,330467,8713,249978,7804,708393,12034,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,309386,5548,9035,1501,5788,1303,6396,1111,6431,1049,6970,1105,8953,1157,4396,912,6038,1082,45961,2750,46676,3420,40065,2784,122677,4115,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
