GEO_ID,B16002_001E,B16002_001M,B16002_002E,B16002_002M,B16002_003E,B16002_003M,B16002_004E,B16002_004M,B16002_005E,B16002_005M,B16002_006E,B16002_006M,B16002_007E,B16002_007M,B16002_008E,B16002_008M,B16002_009E,B16002_009M,B16002_010E,B16002_010M,B16002_011E,B16002_011M,B16002_012E,B16002_012M,B16002_013E,B16002_013M,B16002_014E,B16002_014M,NAME,B16002_001MA,B16002_001EA,B16002_002EA,B16002_002MA,B16002_003MA,B16002_003EA,B16002_004EA,B16002_004MA,B16002_005EA,B16002_005MA,B16002_006MA,B16002_006EA,B16002_007EA,B16002_007MA,B16002_008MA,B16002_008EA,B16002_009EA,B16002_009MA,B16002_010EA,B16002_010MA,B16002_011MA,B16002_011EA,B16002_012EA,B16002_012MA,B16002_013EA,B16002_013MA,B16002_014MA,B16002_014EA,state
0400000US01,1846390,11341,1743624,11058,58691,3082,14453,2231,44238,2929,20554,2244,2008,639,18546,2083,17587,1814,4320,1090,13267,1727,5934,1458,517,341,5417,1394,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,250185,2685,204194,3295,12693,1602,992,534,11701,1521,7471,1181,391,221,7080,1149,13201,1595,2129,585,11072,1633,12626,1092,1474,349,11152,1001,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2463008,12455,1786360,12987,481841,8321,78599,4233,403242,8485,70698,4222,6993,1250,63705,4120,58378,3419,11106,1714,47272,3641,65731,3489,10861,1490,54870,3153,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1144663,8300,1064228,7782,52692,2473,14022,1744,38670,2495,12575,1692,1068,584,11507,1596,13261,1612,4135,1084,9126,1227,1907,549,405,375,1502,466,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12896357,19487,7257996,25316,3323669,17349,673831,12686,2649838,20228,756093,12275,119160,5821,636933,12024,1400470,13510,385360,8690,1015110,11530,158129,7203,31559,3180,126570,6351,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2074735,7548,1698618,8227,245358,6175,39696,3119,205662,6039,66194,4423,6657,1298,59537,4035,46103,2919,11326,1627,34777,2782,18462,2151,4839,1290,13623,1998,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1343703,6712,1012185,6906,163238,4531,39523,3230,123715,4504,121367,4320,21043,2228,100324,4408,33790,2638,7872,1211,25918,2554,13123,2099,1594,659,11529,2039,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,352595,3920,302644,4003,25225,1651,5222,1168,20003,1865,12767,1390,1221,544,11546,1413,8972,1290,1591,560,7381,1276,2987,833,207,263,2780,819,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,281787,3030,226259,3803,26393,2193,6466,1628,19927,2152,17195,1795,942,467,16253,1850,5737,842,1111,407,4626,832,6203,1361,1210,614,4993,1256,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7463184,23147,5335946,25599,1504157,12875,400194,11017,1103963,13100,447595,11699,77366,4191,370229,10475,124733,4362,28171,2880,96562,3672,50753,4137,6441,1221,44312,3911,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3656407,14418,3147364,15360,266528,7774,67435,4133,199093,7477,119614,6520,13460,1998,106154,6146,85611,3696,22820,2294,62791,3368,37290,3924,5416,1264,31874,3720,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
