GEO_ID,B08505G_001E,B08505G_001M,B08505G_002E,B08505G_002M,B08505G_003E,B08505G_003M,B08505G_004E,B08505G_004M,B08505G_005E,B08505G_005M,B08505G_006E,B08505G_006M,B08505G_007E,B08505G_007M,NAME,B08505G_001MA,B08505G_001EA,B08505G_002MA,B08505G_002EA,B08505G_003EA,B08505G_003MA,B08505G_004EA,B08505G_004MA,B08505G_005MA,B08505G_005EA,B08505G_006EA,B08505G_006MA,B08505G_007MA,B08505G_007EA,state
0400000US01,25830,2841,20956,2604,3210,985,97,161,379,245,554,335,634,405,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,21162,2086,14395,1891,2698,771,998,563,1364,434,861,365,846,337,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,71607,5044,53179,4340,8457,1484,2227,827,2013,741,2078,842,3653,1169,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,19381,2602,14171,2122,3954,1391,178,183,608,376,263,193,207,185,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,608430,13967,436726,12352,66921,4998,35153,3240,18383,2118,18867,2229,32380,3118,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,72535,4862,52214,3813,8725,1929,3258,1018,3002,1085,1477,584,3859,1162,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,34390,3497,25703,2782,3875,1351,2209,735,1608,676,185,195,810,456,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,9413,1531,7175,1233,1224,751,186,162,327,259,0,189,501,428,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,25903,3007,10197,1627,2728,927,8797,1336,2312,1268,1217,525,652,446,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,178217,9377,134771,7495,21601,3338,4437,1479,3879,972,5636,1728,7893,1652,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,72147,6425,54618,5004,9765,2227,2228,814,2323,793,855,639,2358,800,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,142947,6891,99632,5261,21870,2713,7579,1549,4456,937,4419,1086,4991,1037,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,13838,2191,8920,1647,1910,741,224,245,952,661,498,458,1334,588,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,97615,5960,64878,4655,7893,1288,13233,1850,5538,1414,2729,883,3344,829,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,45090,4574,36862,4269,3305,889,749,374,2417,664,765,602,992,502,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,18549,2300,13733,1980,2633,955,780,371,822,327,87,81,494,318,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,29235,2798,22299,2447,4138,1059,658,528,789,422,643,399,708,339,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,26309,2840,20185,2384,2290,799,801,464,2115,680,407,396,511,417,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,28263,3404,22497,2998,3659,1195,314,268,761,371,489,319,543,322,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,8973,1401,6080,1159,1458,665,223,172,481,297,434,378,297,230,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,56101,4214,40064,3765,5350,1209,3034,886,2253,690,2249,1527,3151,1122,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,74247,5995,38201,3899,8768,1837,16269,2548,5933,1264,2216,810,2860,752,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
