GEO_ID,B14007G_001E,B14007G_001M,B14007G_002E,B14007G_002M,B14007G_003E,B14007G_003M,B14007G_004E,B14007G_004M,B14007G_005E,B14007G_005M,B14007G_006E,B14007G_006M,B14007G_007E,B14007G_007M,B14007G_008E,B14007G_008M,B14007G_009E,B14007G_009M,B14007G_010E,B14007G_010M,B14007G_011E,B14007G_011M,B14007G_012E,B14007G_012M,B14007G_013E,B14007G_013M,B14007G_014E,B14007G_014M,B14007G_015E,B14007G_015M,B14007G_016E,B14007G_016M,B14007G_017E,B14007G_017M,B14007G_018E,B14007G_018M,B14007G_019E,B14007G_019M,NAME,B14007G_001MA,B14007G_001EA,B14007G_002MA,B14007G_002EA,B14007G_003EA,B14007G_003MA,B14007G_004EA,B14007G_004MA,B14007G_005MA,B14007G_005EA,B14007G_006MA,B14007G_006EA,B14007G_007MA,B14007G_007EA,B14007G_008MA,B14007G_008EA,B14007G_009EA,B14007G_009MA,B14007G_010EA,B14007G_010MA,B14007G_011EA,B14007G_011MA,B14007G_012MA,B14007G_012EA,B14007G_013EA,B14007G_013MA,B14007G_014MA,B14007G_014EA,B14007G_015MA,B14007G_015EA,B14007G_016MA,B14007G_016EA,B14007G_017MA,B14007G_017EA,B14007G_018EA,B14007G_018MA,B14007G_019MA,B14007G_019EA,state
0400000US01,78673,6137,34521,4206,2943,1021,2000,722,1986,868,2135,822,942,365,2042,674,1714,694,1401,552,2080,785,1522,665,2512,849,2114,792,2008,629,2041,1147,5929,1263,1152,509,44152,3695,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,57537,4329,25609,2781,1434,672,1259,710,2182,753,2070,745,1242,442,1430,585,878,356,1508,564,1705,521,1258,517,1975,733,1733,546,725,416,1212,456,4098,1075,900,525,31928,2708,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,201109,10117,96825,7403,7450,1310,5225,1130,6387,1254,6664,1391,6277,1386,6184,1289,5750,1046,4623,1015,4519,1178,5297,1366,4213,1092,5312,1095,3946,864,5557,1278,17151,2149,2270,710,104284,6282,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,56833,5086,26191,3239,2392,927,985,409,1830,820,1991,819,1709,693,834,342,1959,708,1343,524,1677,643,1937,707,2112,790,783,497,1128,640,1671,673,3220,877,620,415,30642,3610,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1604003,28808,747913,16845,63308,4313,43849,3373,41038,3502,43264,3411,41643,3047,41212,3191,37816,3105,39021,3602,35049,2537,36548,3242,36606,3493,36760,2853,34811,2506,42913,2798,149147,6019,24928,2372,856090,18725,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,178308,9242,85139,6282,7828,1399,5348,1391,5421,1134,3959,873,4295,1075,4697,1203,4803,1031,4122,905,4250,951,5526,1279,3762,810,4755,1055,3434,778,4447,1114,14801,1963,3691,916,93169,5661,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,107408,7314,58093,4323,4180,1017,3779,1097,3318,1101,3568,834,3575,1168,3045,928,4339,1080,3997,1013,1588,518,3308,1016,2930,883,1820,592,3740,1052,2686,932,10490,2023,1730,670,49315,4808,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,25469,3603,13814,2695,1244,571,1222,592,694,481,933,567,613,376,769,565,706,440,1130,651,649,287,479,331,681,394,931,620,428,278,735,378,1749,748,851,809,11655,1653,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,19127,2360,6647,1512,894,413,545,417,265,163,330,202,267,235,86,102,135,143,209,186,105,129,293,263,362,279,140,135,113,145,260,186,1876,850,767,401,12480,2061,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,461923,19527,209692,12249,19808,3092,12131,1780,12947,2290,11798,2218,13311,2459,9832,1939,10985,1908,9802,1718,11844,2399,10837,2252,9801,1877,10498,2029,9833,1625,11013,1870,39028,4322,6224,1187,252231,11137,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
