GEO_ID,B10051_001E,B10051_001M,B10051_002E,B10051_002M,B10051_003E,B10051_003M,B10051_004E,B10051_004M,B10051_005E,B10051_005M,B10051_006E,B10051_006M,B10051_007E,B10051_007M,B10051_008E,B10051_008M,B10051_009E,B10051_009M,B10051_010E,B10051_010M,B10051_011E,B10051_011M,NAME,B10051_001EA,B10051_001MA,B10051_002EA,B10051_002MA,B10051_003EA,B10051_003MA,B10051_004EA,B10051_004MA,B10051_005MA,B10051_005EA,B10051_006MA,B10051_006EA,B10051_007EA,B10051_007MA,B10051_008EA,B10051_008MA,B10051_009EA,B10051_009MA,B10051_010EA,B10051_010MA,B10051_011MA,B10051_011EA,state
0400000US01,119371,6649,62047,4256,26599,2958,14111,2050,12488,2037,35448,2940,22846,2366,12602,1995,57324,4091,25561,2733,31763,3071,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,17763,1904,6295,991,1678,566,721,416,957,362,4617,858,3168,720,1449,392,11468,1836,5448,1390,6020,1327,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,175124,9059,67242,4923,20485,3121,10113,2041,10372,1802,46757,3766,30202,3148,16555,2500,107882,6361,49004,4149,58878,4792,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,68898,4882,39485,3301,18829,2417,10015,1640,8814,1596,20656,2607,14330,2071,6326,1559,29413,3002,16260,2341,13153,2126,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1157608,22220,271927,9133,61099,5254,23265,3218,37834,3450,210828,7364,124104,6574,86724,5169,885681,18505,366393,13153,519288,13854,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,104597,7678,35710,3994,12186,1994,5606,1392,6580,1408,23524,3176,16089,2629,7435,1585,68887,5863,33561,4132,35326,3714,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,60319,4853,18397,2697,7530,1637,3620,1171,3910,1123,10867,2264,7044,1833,3823,1111,41922,3942,15106,2516,26816,3031,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,21859,3025,8250,1490,3632,927,1992,698,1640,571,4618,1153,2383,692,2235,861,13609,2470,5656,1475,7953,1697,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,13296,2251,6272,1797,1729,705,750,490,979,553,4543,1642,3232,1187,1311,760,7024,1402,4274,1052,2750,909,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,479491,12874,145420,7761,51478,4084,23688,2588,27790,2823,93942,6779,58261,4819,35681,4234,334071,11882,129263,7501,204808,9393,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,268248,11460,112520,6913,39878,3889,21945,2650,17933,2605,72642,5241,52395,4368,20247,2362,155728,8067,69786,5881,85942,5991,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,54286,4088,9675,1593,2401,731,970,493,1431,501,7274,1338,3526,827,3748,1158,44611,3733,13893,2198,30718,3038,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,30159,3949,11132,2312,4161,1441,1426,941,2735,1117,6971,1569,4533,1197,2438,831,19027,2929,10015,2182,9012,1609,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,261565,9896,77097,5535,22799,2961,10809,2199,11990,1474,54298,4755,35857,4183,18441,2209,184468,7091,83683,5088,100785,5291,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
