GEO_ID,B17020I_001E,B17020I_001M,B17020I_002E,B17020I_002M,B17020I_003E,B17020I_003M,B17020I_004E,B17020I_004M,B17020I_005E,B17020I_005M,B17020I_006E,B17020I_006M,B17020I_007E,B17020I_007M,B17020I_008E,B17020I_008M,B17020I_009E,B17020I_009M,B17020I_010E,B17020I_010M,B17020I_011E,B17020I_011M,B17020I_012E,B17020I_012M,B17020I_013E,B17020I_013M,B17020I_014E,B17020I_014M,B17020I_015E,B17020I_015M,B17020I_016E,B17020I_016M,B17020I_017E,B17020I_017M,NAME,B17020I_001MA,B17020I_001EA,B17020I_002MA,B17020I_002EA,B17020I_003MA,B17020I_003EA,B17020I_004EA,B17020I_004MA,B17020I_005EA,B17020I_005MA,B17020I_006EA,B17020I_006MA,B17020I_007MA,B17020I_007EA,B17020I_008MA,B17020I_008EA,B17020I_009EA,B17020I_009MA,B17020I_010EA,B17020I_010MA,B17020I_011EA,B17020I_011MA,B17020I_012EA,B17020I_012MA,B17020I_013MA,B17020I_013EA,B17020I_014EA,B17020I_014MA,B17020I_015EA,B17020I_015MA,B17020I_016EA,B17020I_016MA,B17020I_017EA,B17020I_017MA,state
0400000US01,189127,2089,60432,6304,12909,2104,12335,1851,8538,2223,25478,3085,910,556,262,303,0,192,128695,6806,14637,2481,15271,2052,12172,1720,78418,5002,6406,1337,1695,699,96,107,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,49486,753,4601,1800,538,465,620,454,748,482,2408,851,287,262,0,149,0,149,44885,1957,5199,765,4300,795,5104,839,27437,1277,2622,548,223,232,0,149,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2047715,3308,538357,23021,81167,4525,89240,6037,71638,5976,259656,13078,27537,3030,6296,1243,2823,830,1509358,23062,137964,4906,152719,5418,162810,7074,891003,14012,123717,4149,28684,2102,12461,1514,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,204200,2263,67505,7484,13658,1970,12721,2648,8916,1915,29804,3461,1989,808,341,304,76,116,136695,7295,12470,2341,17675,2904,15491,2172,82063,3533,7654,1410,920,533,422,322,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14918784,7883,3137236,51609,468560,12024,462894,12668,397165,10772,1577924,29073,163314,7408,50233,3227,17146,2203,11781548,51274,1072791,14560,1126637,15065,1132946,13860,7182819,29306,943904,11007,226997,5132,95454,4482,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1139312,2558,220646,14876,32905,3885,36428,3804,27462,2888,106756,7827,11736,2073,3808,863,1551,619,918666,14903,90193,4028,105843,4938,94325,4395,537192,8643,70670,3399,15035,1334,5408,893,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,540349,1685,134730,9763,19854,2453,20731,2477,16867,2280,65666,5593,8591,1634,2630,718,391,424,405619,10132,35428,2536,40272,3033,38454,2955,257499,6282,26702,2381,5362,998,1902,580,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,83669,535,24795,4564,4396,1111,4406,1333,2674,1171,12166,2538,812,547,199,198,142,195,58874,4521,5965,1001,5715,1225,6823,1540,35661,2582,3833,835,461,323,416,380,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,68460,866,7921,2690,434,578,723,551,744,537,4971,1633,830,621,0,200,219,232,60539,2598,7349,667,4740,709,3448,795,40811,1539,3165,959,574,436,452,379,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4889573,4343,1005587,34707,125559,8173,115227,7354,100151,7754,498989,19507,109012,6331,41031,3460,15618,2227,3883986,35800,276131,8743,284592,10067,306776,8403,2402265,19783,423934,8814,138348,4729,51940,3622,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
