GEO_ID,B13004_001E,B13004_001M,B13004_002E,B13004_002M,B13004_003E,B13004_003M,B13004_004E,B13004_004M,B13004_005E,B13004_005M,B13004_006E,B13004_006M,B13004_007E,B13004_007M,B13004_008E,B13004_008M,B13004_009E,B13004_009M,B13004_010E,B13004_010M,B13004_011E,B13004_011M,NAME,B13004_001EA,B13004_001MA,B13004_002EA,B13004_002MA,B13004_003EA,B13004_003MA,B13004_004MA,B13004_004EA,B13004_005MA,B13004_005EA,B13004_006EA,B13004_006MA,B13004_007EA,B13004_007MA,B13004_008EA,B13004_008MA,B13004_009MA,B13004_009EA,B13004_010MA,B13004_010EA,B13004_011EA,B13004_011MA,state
0400000US01,1126692,5725,59119,4329,33138,2802,25981,3056,5137,1451,20844,2889,1067573,6744,464710,8020,602863,9402,55258,4065,547605,9908,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,168773,1876,10762,1570,7284,1318,3478,931,946,526,2532,722,158011,2428,71280,2959,86731,3303,13226,1867,73505,3391,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1545935,3690,85445,4848,53695,3698,31750,3542,11397,2240,20353,2860,1460490,6599,599323,9735,861167,9784,132263,6444,728904,10435,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,669193,4561,41586,3916,25717,2661,15869,2681,6084,1290,9785,2228,627607,5831,304172,6946,323435,8190,38728,3555,284707,8035,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9494707,10121,475389,12067,316180,8704,159209,7566,50586,3944,108623,5980,9019318,15629,3843384,21568,5175934,20610,617152,11970,4558782,22232,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1292302,4716,65392,4691,48720,3656,16672,2289,5005,1316,11667,1903,1226910,6836,575023,9370,651887,8791,105837,4866,546050,9191,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,808653,3436,34362,3389,22601,2295,11761,2021,3727,1062,8034,1638,774291,4900,321724,7168,452567,8005,53846,3971,398721,7959,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,211349,1842,9571,1556,6510,1148,3061,992,1208,474,1853,807,201778,2447,81334,3474,120444,4262,17438,2127,103006,4635,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,189170,1816,8465,1464,4381,926,4084,1051,590,344,3494,966,180705,2336,49905,2901,130800,3222,16189,1924,114611,3177,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4484666,8410,207209,8516,122476,5716,84733,5442,24242,2468,60491,4603,4277457,11796,1730867,17475,2546590,18831,313110,9990,2233480,21879,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
