GEO_ID,B27022_001E,B27022_001M,B27022_002E,B27022_002M,B27022_003E,B27022_003M,B27022_004E,B27022_004M,B27022_005E,B27022_005M,B27022_006E,B27022_006M,B27022_007E,B27022_007M,B27022_008E,B27022_008M,B27022_009E,B27022_009M,B27022_010E,B27022_010M,B27022_011E,B27022_011M,B27022_012E,B27022_012M,B27022_013E,B27022_013M,B27022_014E,B27022_014M,B27022_015E,B27022_015M,NAME,B27022_001MA,B27022_001EA,B27022_002MA,B27022_002EA,B27022_003EA,B27022_003MA,B27022_004EA,B27022_004MA,B27022_005EA,B27022_005MA,B27022_006EA,B27022_006MA,B27022_007MA,B27022_007EA,B27022_008MA,B27022_008EA,B27022_009EA,B27022_009MA,B27022_010EA,B27022_010MA,B27022_011EA,B27022_011MA,B27022_012MA,B27022_012EA,B27022_013MA,B27022_013EA,B27022_014EA,B27022_014MA,B27022_015EA,B27022_015MA,state
0400000US20,284285,4924,147296,3646,60869,3744,54107,3509,6762,2040,86427,3577,65629,3230,20798,2372,136989,2981,61079,3310,55990,3225,5089,944,75910,3529,62785,3550,13125,1747,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,410820,5939,205160,3848,64929,3289,60238,3235,4691,1124,140231,4422,119599,4054,20632,2664,205660,4438,85803,4034,80581,4010,5222,1148,119857,5021,107210,4434,12647,2108,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,450154,6682,221862,4976,75202,4093,64590,4280,10612,1917,146660,4948,96827,4574,49833,4331,228292,5141,96692,4278,85394,4382,11298,1936,131600,6322,100048,5685,31552,3288,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,108942,3953,55285,2338,20296,2109,18686,1967,1610,647,34989,2527,27499,2398,7490,1632,53657,2545,23823,2514,22364,2543,1459,632,29834,2575,24793,2111,5041,1392,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,557253,6582,276741,4621,115332,4410,105678,4309,9654,1549,161409,5446,135200,5185,26209,3011,280512,4185,134787,4814,127801,4720,6986,1443,145725,5936,128541,5933,17184,2250,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,705650,7511,349894,5091,165643,5494,161344,5487,4299,1209,184251,5133,168717,5206,15534,1973,355756,5286,189367,6189,184128,6017,5239,1152,166389,6667,156238,6383,10151,2370,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,966617,6649,489649,4677,195488,5423,183060,5007,12428,1710,294161,6264,242482,6068,51679,4049,476968,4788,221696,5657,206624,5545,15072,2119,255272,5523,228250,5443,27022,2561,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,493075,5705,247877,3939,94466,4034,89549,3765,4917,1340,153411,4304,132362,4561,21049,3047,245198,3605,109632,4961,104540,5001,5092,911,135566,3687,125585,3446,9981,1537,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,294346,6683,145047,4498,51949,4086,42708,3536,9241,1504,93098,4756,60967,4393,32131,3257,149299,4045,64491,3838,52473,3531,12018,1956,84808,4573,60352,3804,24456,2635,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,578424,8135,287930,5548,107826,5397,96520,5029,11306,1928,180104,6161,132056,5643,48048,3544,290494,4502,126536,5148,114287,4879,12249,1854,163958,5867,128551,5778,35407,3592,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
