GEO_ID,C17001_001E,C17001_001M,C17001_002E,C17001_002M,C17001_003E,C17001_003M,C17001_004E,C17001_004M,C17001_005E,C17001_005M,C17001_006E,C17001_006M,C17001_007E,C17001_007M,C17001_008E,C17001_008M,C17001_009E,C17001_009M,C17001_010E,C17001_010M,C17001_011E,C17001_011M,C17001_012E,C17001_012M,C17001_013E,C17001_013M,C17001_014E,C17001_014M,C17001_015E,C17001_015M,C17001_016E,C17001_016M,C17001_017E,C17001_017M,C17001_018E,C17001_018M,C17001_019E,C17001_019M,NAME,C17001_001MA,C17001_001EA,C17001_002EA,C17001_002MA,C17001_003EA,C17001_003MA,C17001_004MA,C17001_004EA,C17001_005MA,C17001_005EA,C17001_006MA,C17001_006EA,C17001_007EA,C17001_007MA,C17001_008EA,C17001_008MA,C17001_009EA,C17001_009MA,C17001_010MA,C17001_010EA,C17001_011MA,C17001_011EA,C17001_012EA,C17001_012MA,C17001_013EA,C17001_013MA,C17001_014EA,C17001_014MA,C17001_015MA,C17001_015EA,C17001_016MA,C17001_016EA,C17001_017MA,C17001_017EA,C17001_018EA,C17001_018MA,C17001_019EA,C17001_019MA,state
0400000US44,1016343,626,141035,9670,62131,5050,19565,2829,36340,3312,6226,1366,78904,5936,21001,2974,47345,3988,10558,1682,875308,9611,430603,5904,87714,2967,278002,3932,64887,1547,444705,5595,80985,2723,282570,4068,81150,1589,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,4750144,3538,790715,22651,345502,13127,133841,6981,187473,9218,24188,2236,445213,13304,122338,6504,275049,9333,47826,3447,3959429,22711,1949183,12163,416781,6348,1210812,9953,321590,2340,2010246,15921,394178,8734,1233085,9971,382983,4095,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,829644,1156,114071,7467,50410,4496,18608,2482,27643,3010,4159,1267,63661,4410,18639,1879,38547,3128,6475,937,715573,7505,365907,4748,87804,2652,223342,3397,54761,1046,349666,4737,80295,2220,206697,3480,62674,1609,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,6440381,3291,1077900,30450,483282,16272,182600,7864,266940,9858,33742,2811,594618,17687,172575,8577,358519,11046,63524,3052,5362481,30455,2638972,17096,563939,8386,1669215,11184,405818,3415,2723509,19150,550766,9720,1687543,11871,485200,3440,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,26846203,6615,4255517,65900,1900782,33299,836449,21168,942431,18357,121902,5302,2354735,39687,800859,19423,1353436,24710,200440,6213,22590686,66191,11311736,36997,2791943,22150,7244080,20726,1275713,5727,11278950,38744,2694294,20666,7047286,24445,1537370,6802,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,2947861,2168,331854,15217,152901,8599,61482,5150,85159,5237,6260,1134,178953,9075,54512,4683,109915,5853,14526,1699,2616007,15587,1323914,8325,401030,5452,788444,5213,134440,1530,1292093,9656,383689,5142,759628,6552,148776,2012,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,600659,867,61314,5009,27316,3128,7235,1820,18048,2144,2033,532,33998,2935,8234,1407,20789,1869,4975,884,539345,5221,267515,3456,52578,1976,168300,2286,46637,737,271830,2868,48666,1670,170386,2024,52778,1016,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,8131328,3187,909346,25335,395736,13671,139203,6986,228834,9900,27699,2511,513610,14811,133626,8114,323290,9119,56694,3513,7221982,25890,3569071,14998,802007,8144,2279690,10666,487374,3398,3652911,15240,767379,7420,2295083,10148,590449,4209,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,7036725,3798,857801,23751,394995,13343,128781,7694,238322,8833,27892,2488,462806,13521,117295,6991,297826,8554,47685,3394,6178924,24138,3113080,14425,680722,8297,1992561,9439,439797,2848,3065844,13816,657183,7202,1907946,8935,500715,3504,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1793096,1902,321583,14177,141783,7566,46506,4141,86255,5309,9022,1411,179800,8265,47018,3876,113847,5650,18935,2141,1471513,14171,737052,8132,141178,4718,455842,5639,140032,1659,734461,7871,136860,3919,437826,5518,159775,2419,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,5620223,2582,677964,19332,305493,9946,105250,6097,178295,5941,21948,1473,372471,11977,102188,6166,230251,6886,40032,2388,4942259,19741,2477969,10578,545094,6642,1560691,6311,372184,2138,2464290,12648,515497,6939,1510239,7492,438554,2804,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,572319,727,63425,7239,27535,3997,10169,2356,15466,2582,1900,598,35890,4069,7985,1993,23380,2772,4525,972,508894,7286,259010,4645,59370,3024,163257,2877,36383,933,249884,4668,59719,3006,152569,3467,37596,1145,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,3443611,865,1586285,22921,725433,13476,223893,6776,401813,8905,99727,3486,860852,12883,204233,6405,502456,8393,154163,4613,1857326,22783,912980,13339,154505,6570,590095,8820,168380,3468,944346,13244,151664,6731,595859,8519,196823,4615,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
