B23026_032E,B23026_032M,B23026_033E,B23026_033M,B23026_034E,B23026_034M,B23026_035E,B23026_035M,B23026_036E,B23026_036M,B23026_037E,B23026_037M,B23026_038E,B23026_038M,B23026_039E,B23026_039M,B23026_040E,B23026_040M,B23026_041E,B23026_041M,B23026_042E,B23026_042M,B23026_043E,B23026_043M,B23026_044E,B23026_044M,B23026_045E,B23026_045M,B23026_046E,B23026_046M,B23026_047E,B23026_047M,B23026_048E,B23026_048M,B23026_049E,B23026_049M,GEO_ID,B23026_001E,B23026_001M,B23026_002E,B23026_002M,B23026_003E,B23026_003M,B23026_004E,B23026_004M,B23026_005E,B23026_005M,B23026_006E,B23026_006M,B23026_007E,B23026_007M,B23026_008E,B23026_008M,B23026_009E,B23026_009M,B23026_010E,B23026_010M,B23026_011E,B23026_011M,B23026_012E,B23026_012M,B23026_013E,B23026_013M,B23026_014E,B23026_014M,B23026_015E,B23026_015M,B23026_016E,B23026_016M,B23026_017E,B23026_017M,B23026_018E,B23026_018M,B23026_019E,B23026_019M,B23026_020E,B23026_020M,B23026_021E,B23026_021M,B23026_022E,B23026_022M,B23026_023E,B23026_023M,B23026_024E,B23026_024M,B23026_025E,B23026_025M,B23026_026E,B23026_026M,B23026_027E,B23026_027M,B23026_028E,B23026_028M,B23026_029E,B23026_029M,B23026_030E,B23026_030M,B23026_031E,B23026_031M,B23026_032MA,B23026_032EA,B23026_033EA,B23026_033MA,B23026_034EA,B23026_034MA,B23026_035MA,B23026_035EA,B23026_036MA,B23026_036EA,B23026_037MA,B23026_037EA,B23026_038EA,B23026_038MA,B23026_039EA,B23026_039MA,B23026_040MA,B23026_040EA,B23026_041MA,B23026_041EA,B23026_042MA,B23026_042EA,B23026_043MA,B23026_043EA,B23026_044EA,B23026_044MA,B23026_045MA,B23026_045EA,B23026_046MA,B23026_046EA,B23026_047MA,B23026_047EA,B23026_048MA,B23026_048EA,B23026_049EA,B23026_049MA,NAME,B23026_001MA,B23026_001EA,B23026_002MA,B23026_002EA,B23026_003MA,B23026_003EA,B23026_004MA,B23026_004EA,B23026_005EA,B23026_005MA,B23026_006MA,B23026_006EA,B23026_007MA,B23026_007EA,B23026_008MA,B23026_008EA,B23026_009MA,B23026_009EA,B23026_010EA,B23026_010MA,B23026_011MA,B23026_011EA,B23026_012MA,B23026_012EA,B23026_013MA,B23026_013EA,B23026_014MA,B23026_014EA,B23026_015MA,B23026_015EA,B23026_016EA,B23026_016MA,B23026_017MA,B23026_017EA,B23026_018MA,B23026_018EA,B23026_019MA,B23026_019EA,B23026_020MA,B23026_020EA,B23026_021MA,B23026_021EA,B23026_022EA,B23026_022MA,B23026_023EA,B23026_023MA,B23026_024EA,B23026_024MA,B23026_025MA,B23026_025EA,B23026_026MA,B23026_026EA,B23026_027EA,B23026_027MA,B23026_028EA,B23026_028MA,B23026_029EA,B23026_029MA,B23026_030MA,B23026_030EA,B23026_031MA,B23026_031EA,state
644,403,714,351,933,492,12394,1473,7346,1192,262,188,1659,591,1138,473,476,285,1513,419,5485,949,1664,595,201,205,320,242,441,241,1029,700,1830,545,218186,2442,0400000US28,440961,1797,189986,1439,44028,3080,26063,2244,20777,1915,69,84,792,434,860,403,1326,542,2239,782,13024,1722,7376,1171,110,158,1106,541,2012,677,800,312,1620,599,4941,959,1473,586,116,133,420,321,591,316,589,315,1752,527,145958,3266,250975,1265,32789,2280,14910,1643,11931,1435,101,119,587,404,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
1989,590,2440,592,2257,717,30591,2068,17461,1657,976,329,3501,763,3699,817,2095,618,2859,595,18128,1836,6657,1041,560,316,1122,417,2245,637,1950,541,5594,953,445848,3749,0400000US29,950948,2196,416051,1614,99018,3481,53917,2925,43884,2714,914,434,1625,526,2674,594,2217,573,2603,649,31490,2364,14339,1919,1691,551,3669,927,3820,703,3258,685,4713,923,13611,1782,4191,889,757,372,1228,488,1347,510,1932,524,4156,928,317033,3396,534897,1819,89049,3518,40330,2373,30140,2305,1365,437,2139,574,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
401,243,493,286,397,256,6172,983,3545,740,163,157,680,397,740,322,488,275,556,258,3642,662,1537,464,214,185,185,136,288,193,454,203,964,337,77338,1586,0400000US30,178931,1106,85187,625,25920,1649,14604,1506,10244,1173,322,203,741,335,500,236,1229,480,1568,503,7148,980,2368,525,423,243,854,408,968,358,1163,391,1372,486,4168,648,1030,360,131,147,246,209,499,322,763,303,1499,453,59267,1794,93744,819,16406,1373,6592,983,4954,889,212,238,135,120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
759,303,622,293,845,334,14321,1400,8214,1077,317,210,1271,543,1710,446,1234,425,1575,468,5734,680,1827,413,236,166,540,198,584,213,859,263,1688,429,120994,1792,0400000US31,278691,1481,123285,736,40835,1525,24272,1442,19938,1387,371,189,1137,375,604,249,838,266,1384,388,10688,1083,5161,771,600,278,1387,443,1032,351,1060,351,1448,451,5875,901,1224,400,203,154,392,258,531,286,842,342,2683,671,82450,1711,155406,1160,34412,2044,14357,1300,11351,1123,172,113,608,228,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
945,372,1428,468,1514,556,13721,1631,7207,1271,338,226,1256,448,2074,770,877,359,1969,665,5104,1081,1165,515,217,181,575,324,203,185,508,238,2436,674,184032,2085,0400000US32,422112,1166,199464,858,46848,2649,28444,2326,21817,2026,456,299,1053,422,1506,482,1285,467,2327,858,14082,1554,7302,1230,230,158,1057,407,1886,624,1535,617,2072,588,4322,990,668,335,201,138,267,188,499,275,568,357,2119,674,152616,2843,222648,877,38616,2082,19791,1781,13913,1441,656,368,1335,491,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
547,253,457,233,391,231,9362,1299,4795,1032,486,291,1426,610,1259,465,544,286,852,292,5092,835,1223,391,209,175,807,433,543,246,541,284,1769,533,94792,1628,0400000US33,218357,788,99408,655,30036,1793,16217,1526,12821,1414,241,223,652,320,617,300,958,429,928,323,9473,1175,4540,872,544,260,806,331,1435,389,850,351,1298,508,4346,863,1189,455,244,168,22,28,309,212,935,415,1647,509,69372,1853,118949,530,24157,1599,9703,1291,7775,1080,166,217,367,198,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
3389,791,2642,734,2736,753,48163,2859,26911,2178,2012,529,6461,1149,4502,795,4006,888,4271,780,21694,1739,6362,904,897,394,2902,730,3605,854,2370,584,5558,961,629734,4702,0400000US34,1342951,1627,573017,1165,166103,4786,103531,4187,84859,4029,1399,417,5299,1118,4297,913,3485,723,4192,911,43584,2696,21658,2110,1753,548,6058,1067,4975,887,4944,1046,4196,789,18988,2006,5740,1129,477,199,1728,519,2502,671,2894,880,5647,993,406914,4550,769934,1002,140200,4727,70343,3056,55752,3155,862,456,4962,769,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
482,301,400,227,650,304,9741,1269,5286,1101,206,171,1084,430,1197,383,1086,450,882,411,6715,1175,2712,838,254,190,485,243,416,220,796,360,2052,623,150240,2706,0400000US35,330594,1977,149741,1269,34345,2711,21444,2106,16373,1627,430,356,1061,559,1344,474,725,425,1511,553,8945,1506,4794,1088,190,203,594,322,912,363,1291,626,1164,441,3956,930,1121,407,91,106,216,196,155,150,325,226,2048,678,115396,3052,180853,1445,30613,2316,14157,1773,12109,1737,112,98,404,268,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
6742,1091,6986,1399,6010,905,97978,4187,53707,2812,3768,1042,11182,1505,12118,1465,7642,925,9561,1222,46230,2830,15269,1702,2140,660,5627,1086,5506,1165,4951,1006,12737,1495,1414538,6992,0400000US36,2962447,2420,1261783,1578,331647,6771,199495,6449,160949,5568,4511,959,8268,1304,10564,1654,6843,954,8360,1227,91711,3844,45754,3048,3754,975,12262,1512,11007,1141,8511,1192,10423,1282,40441,2321,9640,1248,1077,400,4866,827,5042,978,5550,947,14266,1657,930136,7048,1700664,1620,286126,6942,141918,5469,110816,4951,3235,880,8129,1312,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
3876,1057,3969,859,3718,801,50201,3249,26239,2097,1788,494,6005,1080,5958,1102,4699,959,5512,1212,22401,1782,6122,1095,1030,396,2321,606,2637,667,2953,699,7338,980,725701,5358,0400000US37,1515545,3900,658879,2458,157467,5270,86272,3849,65966,3586,1593,562,3367,754,4440,931,4881,827,6025,1061,51156,2909,24244,2345,2292,609,6540,1239,5846,1081,6111,1114,6123,1072,20039,1465,5050,835,993,427,1650,628,1818,470,3315,799,7213,1019,501412,5515,856666,2737,130965,4840,58363,3055,43368,2816,1158,505,2274,615,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
