GEO_ID,B27019_001E,B27019_001M,B27019_002E,B27019_002M,B27019_003E,B27019_003M,B27019_004E,B27019_004M,B27019_005E,B27019_005M,B27019_006E,B27019_006M,B27019_007E,B27019_007M,B27019_008E,B27019_008M,B27019_009E,B27019_009M,B27019_010E,B27019_010M,B27019_011E,B27019_011M,B27019_012E,B27019_012M,B27019_013E,B27019_013M,B27019_014E,B27019_014M,B27019_015E,B27019_015M,B27019_016E,B27019_016M,B27019_017E,B27019_017M,B27019_018E,B27019_018M,B27019_019E,B27019_019M,B27019_020E,B27019_020M,B27019_021E,B27019_021M,B27019_022E,B27019_022M,B27019_023E,B27019_023M,B27019_024E,B27019_024M,B27019_025E,B27019_025M,B27019_026E,B27019_026M,B27019_027E,B27019_027M,B27019_028E,B27019_028M,B27019_029E,B27019_029M,B27019_030E,B27019_030M,B27019_031E,B27019_031M,B27019_032E,B27019_032M,B27019_033E,B27019_033M,B27019_034E,B27019_034M,B27019_035E,B27019_035M,B27019_036E,B27019_036M,B27019_037E,B27019_037M,B27019_038E,B27019_038M,B27019_039E,B27019_039M,B27019_040E,B27019_040M,B27019_041E,B27019_041M,B27019_042E,B27019_042M,B27019_043E,B27019_043M,NAME,B27019_001EA,B27019_001MA,B27019_002MA,B27019_002EA,B27019_003MA,B27019_003EA,B27019_004MA,B27019_004EA,B27019_005EA,B27019_005MA,B27019_006EA,B27019_006MA,B27019_007EA,B27019_007MA,B27019_008EA,B27019_008MA,B27019_009MA,B27019_009EA,B27019_010EA,B27019_010MA,B27019_011MA,B27019_011EA,B27019_012MA,B27019_012EA,B27019_013EA,B27019_013MA,B27019_014EA,B27019_014MA,B27019_015MA,B27019_015EA,B27019_016MA,B27019_016EA,B27019_017MA,B27019_017EA,B27019_018EA,B27019_018MA,B27019_019EA,B27019_019MA,B27019_020MA,B27019_020EA,B27019_021MA,B27019_021EA,B27019_022MA,B27019_022EA,B27019_023EA,B27019_023MA,B27019_024EA,B27019_024MA,B27019_025MA,B27019_025EA,B27019_026MA,B27019_026EA,B27019_027MA,B27019_027EA,B27019_028MA,B27019_028EA,B27019_029EA,B27019_029MA,B27019_030EA,B27019_030MA,B27019_031MA,B27019_031EA,B27019_032MA,B27019_032EA,B27019_033MA,B27019_033EA,B27019_034EA,B27019_034MA,B27019_035MA,B27019_035EA,B27019_036MA,B27019_036EA,B27019_037MA,B27019_037EA,B27019_038MA,B27019_038EA,B27019_039MA,B27019_039EA,B27019_040EA,B27019_040MA,B27019_041EA,B27019_041MA,B27019_042MA,B27019_042EA,B27019_043MA,B27019_043EA,state
0400000US01,3215896,6437,2472622,7017,328726,12153,220507,8997,127245,6813,111721,5754,108219,7285,735356,13717,593688,11625,471299,10984,159660,7224,141668,7898,780675,13833,686908,13345,601454,12326,134397,4946,93767,6446,627865,13671,602785,13337,585960,13248,38488,3419,25080,2907,743274,2863,144174,4948,143473,4964,66796,3523,141435,4851,701,401,259570,5727,258994,5718,160267,5812,255405,5501,576,424,179347,4844,178958,4771,125749,4694,176152,4526,389,365,160183,5124,159664,5178,127225,4543,154230,5058,519,390,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,453441,2148,383355,2262,25291,2526,16775,2021,10095,1676,8142,1200,8516,1300,106997,4081,76612,3591,60929,3335,19950,2182,30385,2029,136973,4847,114043,4537,99869,4352,23214,2313,22930,2681,114094,4826,106825,4578,104367,4602,8152,1369,7269,1287,70086,1161,8592,1019,8425,1045,3227,671,8067,1032,167,157,16946,1586,16686,1601,9750,1351,16206,1579,260,162,23307,1779,23175,1756,15114,1781,22222,1704,132,119,21241,1794,21066,1820,16857,1619,20399,1828,175,129,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4446612,3112,3338725,3406,458852,13511,318228,10443,152705,7585,181549,9325,140624,7425,790246,14379,646227,13191,445128,12278,234106,9232,144019,7739,1151207,17078,1026112,15810,833058,14017,249431,9021,125095,5829,938420,13762,891390,13974,839197,14009,80370,5079,47030,4031,1107887,1814,149308,5109,143588,5218,53054,3334,140390,5209,5720,1493,294444,6675,290838,6319,158653,5977,284539,6139,3606,1206,354149,7326,352822,7299,214122,6050,345407,7022,1327,609,309986,7872,308602,7806,201330,6419,296566,7284,1384,580,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1940640,4741,1479417,4900,187877,6430,139757,5955,72327,5080,75819,4096,48120,3796,490744,9563,412956,9125,298396,7884,140609,6112,77788,6509,459220,8486,408749,8868,325103,8578,110463,5451,50471,3563,341576,7164,325021,7439,306388,7462,28797,2884,16555,2032,461223,1744,90667,3804,88580,3638,40066,2746,87770,3598,2087,869,165936,4662,165380,4624,95168,3838,162976,4788,556,351,117601,4526,117421,4526,78454,3839,115901,4432,180,164,87019,4199,86733,4160,64695,3766,83539,4308,286,236,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,25699506,7034,20604875,7238,3496857,28268,2558002,25503,1275837,19291,1374716,22962,938855,18104,4214028,31621,3557587,30006,2407164,26448,1291122,22062,656441,15541,6074143,39699,5520051,36425,4374981,33140,1386738,21026,554092,14493,6819847,34851,6508934,34449,6060954,32235,592412,15209,310913,9975,5094631,3307,1040298,12573,1005673,13232,268136,7637,979603,13129,34625,4058,1099321,13277,1089161,13165,534006,10296,1055254,12907,10160,1768,1408789,13985,1401989,13689,834256,11513,1347821,13091,6800,1409,1546223,14546,1535813,14675,986749,13467,1438251,14137,10410,1977,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3601492,4695,2905395,5529,240489,8824,152516,6720,84478,4778,75118,5310,87973,5876,598454,11125,502649,10953,380164,10447,144044,5594,95805,6384,893277,13365,809714,13153,664423,12267,186452,7269,83563,5119,1173175,12572,1120819,13517,1059837,13954,91607,4529,52356,4605,696097,2574,72380,3957,69614,3972,30433,2631,66798,3868,2766,1102,170283,6151,169705,6142,103306,4610,165306,6285,578,283,198517,5496,197710,5455,123996,4812,192024,5670,807,461,254917,5549,254037,5562,170125,4769,243055,5523,880,462,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2430157,2333,1886745,2774,148094,6302,113048,5735,52241,4069,65320,4715,35046,4519,487506,10961,431134,10436,317139,8831,131415,6546,56372,5158,482110,8876,450913,8708,369894,8499,97613,5228,31197,3652,769035,11495,743483,11817,709257,11194,45297,3953,25552,2804,543412,1341,83470,3660,82545,3615,33791,2691,80616,3470,925,427,171902,5021,170780,5130,106539,4383,165591,5096,1122,561,113872,4261,113458,4289,74868,4047,109425,4001,414,272,174168,5002,173019,5010,125802,4367,161665,4997,1149,708,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,640406,1626,483656,1813,48151,3792,36682,3268,19530,2623,19209,2179,11469,2210,134470,5387,119615,5423,85093,4777,41500,3370,14855,2859,141830,5370,133623,5186,110723,4768,29240,2926,8207,1500,159205,5837,154068,5949,148538,5863,9005,1534,5137,1424,156750,724,20614,2187,20208,2240,9418,1265,19846,2252,406,370,55183,2891,53688,2905,36204,2429,52790,2901,1495,799,39149,2237,39149,2237,28942,2290,37710,2292,0,190,41804,2490,41649,2498,32119,2288,40414,2548,155,179,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,464501,927,390824,1412,32837,3419,27417,3047,9925,1972,19178,2638,5420,1652,63114,3850,58397,3577,26043,2522,35436,3080,4717,1258,59491,3727,56680,3420,36921,3036,23152,2348,2811,1002,235382,4754,229623,5029,220646,4858,12807,1866,5759,1313,73677,900,13398,1848,13008,1733,6174,1191,12341,1662,390,611,16391,1552,16391,1552,10264,1272,15445,1545,0,200,13344,1470,13302,1465,7990,1064,12596,1427,42,69,30544,1438,30416,1461,25036,1444,27597,1445,128,154,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14137206,8868,10258625,10346,1110244,20860,686017,15895,419087,11599,308098,12164,424227,13932,2898250,32611,2160522,28099,1686181,23439,580388,14250,737728,20056,3237170,31419,2717831,28821,2348743,30031,512673,14837,519339,16491,3012961,32423,2744560,32298,2621479,32124,211724,9117,268401,12189,3878581,4401,603887,12497,583316,12646,184545,6537,570011,12499,20571,3218,1210209,17335,1195407,16952,615071,11172,1168429,16484,14802,2881,1016849,15023,1008831,15166,585978,12350,981865,15864,8018,1859,1047636,15338,1038525,15593,666849,11236,997336,15517,9111,2016,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
