GEO_ID,C17001B_001E,C17001B_001M,C17001B_002E,C17001B_002M,C17001B_003E,C17001B_003M,C17001B_004E,C17001B_004M,C17001B_005E,C17001B_005M,C17001B_006E,C17001B_006M,C17001B_007E,C17001B_007M,C17001B_008E,C17001B_008M,C17001B_009E,C17001B_009M,C17001B_010E,C17001B_010M,C17001B_011E,C17001B_011M,C17001B_012E,C17001B_012M,C17001B_013E,C17001B_013M,C17001B_014E,C17001B_014M,C17001B_015E,C17001B_015M,C17001B_016E,C17001B_016M,C17001B_017E,C17001B_017M,C17001B_018E,C17001B_018M,C17001B_019E,C17001B_019M,NAME,C17001B_001EA,C17001B_001MA,C17001B_002EA,C17001B_002MA,C17001B_003MA,C17001B_003EA,C17001B_004MA,C17001B_004EA,C17001B_005EA,C17001B_005MA,C17001B_006EA,C17001B_006MA,C17001B_007EA,C17001B_007MA,C17001B_008MA,C17001B_008EA,C17001B_009MA,C17001B_009EA,C17001B_010MA,C17001B_010EA,C17001B_011EA,C17001B_011MA,C17001B_012EA,C17001B_012MA,C17001B_013EA,C17001B_013MA,C17001B_014MA,C17001B_014EA,C17001B_015MA,C17001B_015EA,C17001B_016EA,C17001B_016MA,C17001B_017EA,C17001B_017MA,C17001B_018EA,C17001B_018MA,C17001B_019MA,C17001B_019EA,state
0400000US01,1256969,6859,380442,15189,159343,7230,72600,5224,78644,4162,8099,1210,221099,10480,71385,4860,130607,6452,19107,1658,876527,15643,415766,7977,94107,5554,274850,4981,46809,1802,460761,9943,92382,4490,303549,6337,64830,1728,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,24253,1896,3990,1518,2041,868,457,365,1584,679,0,149,1949,1046,672,540,1277,624,0,149,20263,2339,11886,1373,2655,836,8730,899,501,267,8377,1279,2703,948,5220,925,454,305,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,286531,6696,68787,6646,32890,3765,11633,2411,19721,2569,1536,637,35897,4197,12190,2425,21591,2696,2116,645,217744,8452,109896,4695,27417,2805,73275,3348,9204,754,107848,5417,27387,3116,69433,3621,11028,991,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,447110,5439,151379,10465,65970,5888,29574,3805,33531,3186,2865,689,85409,6217,29519,3002,50383,4155,5507,885,295731,10235,141624,5745,35524,3553,91538,3482,14562,1168,154107,6598,31378,2890,102778,4412,19951,1079,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2180545,14942,490218,15643,221070,8914,72551,5731,136016,6461,12503,1395,269148,11294,77906,5423,169594,7094,21648,2183,1690327,18484,833962,10417,171041,6614,563304,7854,99617,1995,856365,12295,163462,5119,563813,8540,129090,3227,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,214866,6151,42788,6286,18781,3003,7929,1981,10242,1814,610,302,24007,4074,8441,2469,13367,2093,2199,863,172078,6909,92299,3744,19737,2271,64977,2718,7585,827,79779,4368,20077,2527,52028,2334,7674,1055,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,362625,6636,74231,7719,30271,4131,13313,2769,15408,2369,1550,533,43960,5238,12598,2399,28056,3668,3306,806,288394,9358,139603,5345,34481,2917,92650,3486,12472,809,148791,5443,31810,2449,97897,4171,19084,906,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,195197,3529,39338,6404,16645,3314,8411,2207,7500,1762,734,456,22693,3926,7247,1565,13758,2863,1688,544,155859,6960,73848,3378,17042,2151,48740,2118,8066,536,82011,4445,17111,2074,53844,3101,11056,591,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,305616,3095,81216,7166,34534,3867,11624,2045,19783,2625,3127,824,46682,4405,14833,2376,26871,2613,4978,1016,224400,7883,103659,4254,21497,2076,69355,2960,12807,931,120741,4855,19317,2422,79468,3166,21956,1083,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3160342,16291,794933,26882,347879,13888,151598,9030,175151,8899,21130,2410,447054,15966,152531,8677,256599,9865,37924,3197,2365409,25836,1130060,15446,278860,9060,737815,10711,113385,3157,1235349,15850,270341,7848,807995,10866,157013,3474,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
