GEO_ID,B01002I_001E,B01002I_001M,B01002I_002E,B01002I_002M,B01002I_003E,B01002I_003M,NAME,B01002I_001MA,B01002I_001EA,B01002I_002EA,B01002I_002MA,B01002I_003EA,B01002I_003MA,state
0400000US01,25.1,1.0,27.0,1.8,23.3,1.6,Alabama,null,null,null,null,null,null,01
0400000US02,25.0,0.8,24.7,1.0,25.4,0.9,Alaska,null,null,null,null,null,null,02
0400000US04,27.1,0.2,26.6,0.2,27.7,0.2,Arizona,null,null,null,null,null,null,04
0400000US05,23.7,0.6,23.8,1.2,23.6,1.0,Arkansas,null,null,null,null,null,null,05
0400000US06,28.8,0.2,28.3,0.1,29.5,0.2,California,null,null,null,null,null,null,06
0400000US08,27.7,0.2,27.4,0.2,28.1,0.3,Colorado,null,null,null,null,null,null,08
0400000US09,28.9,0.3,27.8,0.4,29.7,0.2,Connecticut,null,null,null,null,null,null,09
0400000US10,26.5,0.7,26.5,1.3,26.4,0.7,Delaware,null,null,null,null,null,null,10
0400000US11,31.2,0.3,30.9,0.5,31.5,0.2,District of Columbia,null,null,null,null,null,null,11
0400000US12,35.2,0.1,33.7,0.1,36.7,0.1,Florida,null,null,null,null,null,null,12
0400000US13,26.2,0.3,26.3,0.5,25.9,0.5,Georgia,null,null,null,null,null,null,13
0400000US15,25.1,0.3,24.8,0.4,25.4,0.4,Hawaii,null,null,null,null,null,null,15
0400000US16,23.5,0.6,24.0,1.1,23.2,0.9,Idaho,null,null,null,null,null,null,16
0400000US17,28.2,0.2,28.4,0.2,27.9,0.2,Illinois,null,null,null,null,null,null,17
0400000US18,24.2,0.5,24.6,0.5,23.8,0.5,Indiana,null,null,null,null,null,null,18
0400000US19,22.8,0.7,23.1,0.8,22.4,1.1,Iowa,null,null,null,null,null,null,19
0400000US20,24.0,0.5,23.8,0.4,24.4,0.6,Kansas,null,null,null,null,null,null,20
0400000US21,23.8,1.2,25.7,1.3,21.7,1.1,Kentucky,null,null,null,null,null,null,21
0400000US22,29.8,0.6,30.3,0.8,29.1,1.1,Louisiana,null,null,null,null,null,null,22
0400000US23,23.4,1.9,21.7,2.8,25.2,2.8,Maine,null,null,null,null,null,null,23
0400000US24,28.7,0.2,28.6,0.4,28.7,0.4,Maryland,null,null,null,null,null,null,24
0400000US25,27.4,0.2,26.5,0.3,28.6,0.3,Massachusetts,null,null,null,null,null,null,25
0400000US26,25.0,0.3,24.9,0.5,25.1,0.4,Michigan,null,null,null,null,null,null,26
0400000US27,24.1,0.5,24.1,0.6,24.2,0.6,Minnesota,null,null,null,null,null,null,27
0400000US28,26.7,1.2,28.2,1.3,25.2,1.7,Mississippi,null,null,null,null,null,null,28
0400000US29,24.9,0.6,25.0,0.9,24.9,1.0,Missouri,null,null,null,null,null,null,29
0400000US30,24.9,2.0,25.1,3.0,24.5,3.0,Montana,null,null,null,null,null,null,30
0400000US31,23.0,0.5,23.3,0.7,22.7,1.1,Nebraska,null,null,null,null,null,null,31
0400000US32,27.7,0.2,27.6,0.3,27.8,0.3,Nevada,null,null,null,null,null,null,32
0400000US33,26.4,1.6,24.8,2.6,28.0,1.8,New Hampshire,null,null,null,null,null,null,33
0400000US34,31.5,0.1,30.6,0.1,32.6,0.3,New Jersey,null,null,null,null,null,null,34
0400000US35,31.3,0.2,30.3,0.2,32.6,0.3,New Mexico,null,null,null,null,null,null,35
0400000US36,31.7,0.2,30.4,0.2,32.9,0.2,New York,null,null,null,null,null,null,36
0400000US37,24.6,0.3,24.8,0.4,24.4,0.5,North Carolina,null,null,null,null,null,null,37
0400000US38,24.2,2.0,27.4,1.6,21.9,3.4,North Dakota,null,null,null,null,null,null,38
0400000US39,25.8,0.3,25.2,0.5,26.5,0.6,Ohio,null,null,null,null,null,null,39
0400000US40,23.3,0.3,23.6,0.4,23.0,0.5,Oklahoma,null,null,null,null,null,null,40
0400000US41,25.2,0.3,25.5,0.5,24.7,0.7,Oregon,null,null,null,null,null,null,41
0400000US42,26.1,0.2,25.6,0.3,26.7,0.3,Pennsylvania,null,null,null,null,null,null,42
0400000US44,26.4,0.4,25.6,0.5,28.3,0.4,Rhode Island,null,null,null,null,null,null,44
0400000US45,26.4,0.5,27.2,0.7,25.4,1.1,South Carolina,null,null,null,null,null,null,45
0400000US46,23.2,1.6,22.9,1.7,23.9,3.8,South Dakota,null,null,null,null,null,null,46
0400000US47,24.7,0.5,25.4,0.6,23.8,0.9,Tennessee,null,null,null,null,null,null,47
0400000US48,28.2,0.1,27.7,0.1,28.9,0.1,Texas,null,null,null,null,null,null,48
0400000US49,24.5,0.2,24.7,0.4,24.4,0.4,Utah,null,null,null,null,null,null,49
0400000US50,26.4,2.5,21.9,5.0,32.7,3.5,Vermont,null,null,null,null,null,null,50
0400000US51,28.2,0.3,28.1,0.5,28.3,0.4,Virginia,null,null,null,null,null,null,51
0400000US53,24.6,0.2,24.8,0.3,24.4,0.3,Washington,null,null,null,null,null,null,53
0400000US54,28.8,3.1,29.2,4.8,28.3,4.8,West Virginia,null,null,null,null,null,null,54
0400000US55,24.6,0.4,24.8,0.6,24.2,0.8,Wisconsin,null,null,null,null,null,null,55
0400000US56,26.4,1.6,27.0,3.4,26.4,2.8,Wyoming,null,null,null,null,null,null,56
0400000US72,40.0,0.2,37.9,0.3,41.9,0.2,Puerto Rico,null,null,null,null,null,null,72
