GEO_ID,C23002A_001E,C23002A_001M,C23002A_002E,C23002A_002M,C23002A_003E,C23002A_003M,C23002A_004E,C23002A_004M,C23002A_005E,C23002A_005M,C23002A_006E,C23002A_006M,C23002A_007E,C23002A_007M,C23002A_008E,C23002A_008M,C23002A_009E,C23002A_009M,C23002A_010E,C23002A_010M,C23002A_011E,C23002A_011M,C23002A_012E,C23002A_012M,C23002A_013E,C23002A_013M,C23002A_014E,C23002A_014M,C23002A_015E,C23002A_015M,C23002A_016E,C23002A_016M,C23002A_017E,C23002A_017M,C23002A_018E,C23002A_018M,C23002A_019E,C23002A_019M,C23002A_020E,C23002A_020M,C23002A_021E,C23002A_021M,C23002A_022E,C23002A_022M,C23002A_023E,C23002A_023M,C23002A_024E,C23002A_024M,C23002A_025E,C23002A_025M,C23002A_026E,C23002A_026M,C23002A_027E,C23002A_027M,NAME,C23002A_001EA,C23002A_001MA,C23002A_002EA,C23002A_002MA,C23002A_003EA,C23002A_003MA,C23002A_004EA,C23002A_004MA,C23002A_005EA,C23002A_005MA,C23002A_006MA,C23002A_006EA,C23002A_007MA,C23002A_007EA,C23002A_008EA,C23002A_008MA,C23002A_009EA,C23002A_009MA,C23002A_010MA,C23002A_010EA,C23002A_011MA,C23002A_011EA,C23002A_012MA,C23002A_012EA,C23002A_013MA,C23002A_013EA,C23002A_014EA,C23002A_014MA,C23002A_015EA,C23002A_015MA,C23002A_016EA,C23002A_016MA,C23002A_017MA,C23002A_017EA,C23002A_018MA,C23002A_018EA,C23002A_019MA,C23002A_019EA,C23002A_020EA,C23002A_020MA,C23002A_021EA,C23002A_021MA,C23002A_022MA,C23002A_022EA,C23002A_023MA,C23002A_023EA,C23002A_024MA,C23002A_024EA,C23002A_025EA,C23002A_025MA,C23002A_026EA,C23002A_026MA,C23002A_027EA,C23002A_027MA,state
0400000US13,4900725,11172,2408561,7674,1980336,7766,1557679,10985,29334,2153,1528345,11004,1448151,10153,80194,5300,422657,8976,428225,1312,95308,4249,91438,4179,3870,1050,332917,4189,2492164,6290,1957123,6372,1294917,11667,3752,1091,1291165,11720,1221034,11335,70131,4701,662206,11333,535041,1578,73866,3852,71858,3821,2008,592,461175,4038,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,319110,2708,177881,1764,144912,1735,123139,2875,27986,2014,95153,3117,91339,3040,3814,1030,21773,2519,32969,366,9887,1225,9486,1153,401,237,23082,1237,141229,1721,109533,1689,73125,2378,2188,559,70937,2458,65981,2528,4956,1137,36408,2591,31696,401,5577,914,5152,938,425,302,26119,968,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1173069,4376,581388,3075,471462,3002,368328,5459,2836,754,365492,5542,347312,4868,18180,2439,103134,4741,109926,785,22422,1983,21904,1942,518,328,87504,1967,591681,3190,468001,3125,319108,5900,1657,1260,317451,5985,300114,6041,17337,2705,148893,5531,123680,700,16754,2126,16319,2128,435,246,106926,2187,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,7511561,16603,3676100,8886,3023235,8423,2488203,11225,11425,1764,2476778,11514,2338899,12676,137879,5725,535032,9431,652865,1723,146469,4529,141795,4562,4674,988,506396,4565,3835461,10030,2995976,9745,2184423,13053,2141,840,2182282,12953,2072318,12825,109964,5279,811553,13008,839485,2145,119179,3823,115517,3798,3662,726,720306,4101,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,4460401,6867,2177881,5071,1788848,5102,1431175,8249,2050,703,1429125,8227,1355406,8626,73719,4003,357673,7673,389033,1015,82120,3347,79991,3373,2129,691,306913,3453,2282520,4123,1784922,3981,1265579,11221,143,143,1265436,11249,1199723,11188,65713,4020,519343,11147,497598,1152,60956,3050,59721,3011,1235,493,436642,3182,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2272143,4966,1113726,3674,897963,3620,750117,6029,1081,428,749036,6125,720414,6529,28622,2685,147846,5200,215763,608,51810,2577,50716,2587,1094,398,163953,2545,1158417,3120,885991,3001,688608,6486,127,128,688481,6465,663569,6819,24912,2793,197383,6258,272426,547,39078,2293,38205,2317,873,349,233348,2439,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1952789,6066,962131,3987,786746,4097,648118,5428,14480,1811,633638,5613,605181,6377,28457,2372,138628,5092,175385,743,45524,2389,44635,2369,889,421,129861,2418,990658,3598,770786,3350,568883,6548,1013,599,567870,6523,544512,6734,23358,2492,201903,6635,219872,834,32970,1882,32410,1877,560,261,186902,2041,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3126276,3778,1516390,2504,1239697,2487,911794,7831,9170,1090,902624,7705,842320,8909,60304,3848,327903,7550,276693,552,50664,2611,49630,2667,1034,354,226029,2625,1609886,2823,1260031,2646,817239,7165,509,375,816730,7167,769031,7340,47699,2896,442792,7316,349855,846,39775,2036,39264,2032,511,253,310080,2143,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2366219,5800,1160287,3772,946802,3869,735214,8217,9073,1624,726141,8383,683002,8827,43139,4420,211588,7149,213485,883,53144,2607,51721,2681,1423,504,160341,2758,1205932,3805,939145,3845,611644,7227,835,442,610809,7226,578055,7960,32754,3886,327501,7957,266787,975,35327,2682,34512,2678,815,435,231460,2762,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1053355,1877,508602,1201,397507,1175,309476,3919,1698,702,307778,3999,288189,4510,19589,2270,88031,3781,111095,213,25562,1834,24564,1802,998,416,85533,1869,544753,1550,410631,1534,299259,4988,60,78,299199,4997,286999,5281,12200,1522,111372,5113,134122,322,21641,1725,20916,1741,725,464,112481,1729,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,2802171,8454,1364673,4722,1105564,4596,915684,6354,17035,1636,898649,6571,857525,7459,41124,3296,189880,6343,259109,1071,69949,2963,67981,2909,1968,581,189160,2955,1437498,5080,1109712,5027,820091,6672,3990,894,816101,6722,783105,6779,32996,3403,289621,6032,327786,1174,53328,2491,51498,2435,1830,641,274458,2704,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,4495139,8970,2153748,5994,1750283,5850,1427347,6096,3865,875,1423482,6060,1340185,7465,83297,5023,322936,6655,403465,1199,108263,3546,104263,3581,4000,868,295202,3381,2341391,5368,1808795,5414,1380517,10625,342,253,1380175,10637,1313662,10514,66513,4171,428278,9742,532596,1623,92368,3730,89209,3548,3159,794,440228,3923,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,6398968,6683,3134491,4385,2524723,4184,1978397,10538,2671,834,1975726,10405,1856624,10337,119102,4597,546326,9157,609768,1044,108076,3285,104346,3254,3730,675,501692,3424,3264477,4089,2511919,4025,1749982,10168,450,314,1749532,10086,1657949,9869,91583,4540,761937,9572,752558,1003,84110,3604,81193,3532,2917,702,668448,3731,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,3750911,5966,1845997,3986,1503270,3978,1287916,5831,1200,452,1286716,5802,1235546,7138,51170,3403,215354,5025,342727,604,74351,2977,71620,2974,2731,655,268376,3126,1904914,3538,1484160,3296,1192276,6310,213,193,1192063,6314,1156348,6472,35715,2712,291884,5618,420754,708,64884,2484,63284,2392,1600,548,355870,2438,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1425515,3599,696390,2898,554714,2952,416441,5600,6298,1090,410143,5422,387903,5196,22240,2650,138273,5814,141676,629,28552,2305,28177,2313,375,206,113124,2414,729125,2863,550185,2717,343809,5881,1703,840,342106,5626,318845,5383,23261,2901,206376,6214,178940,757,21554,1853,20939,1869,615,390,157386,2036,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4062048,6192,1980064,4140,1600099,4138,1270180,7153,10927,1595,1259253,7277,1196267,8620,62986,4116,329919,6851,379965,776,74983,3132,72702,3129,2281,684,304982,3247,2081984,3767,1604178,3612,1146301,9362,1856,828,1144445,9513,1095614,10243,48831,3191,457877,9263,477806,941,65984,3157,64206,3036,1778,548,411822,3341,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
