B17022_073E,B17022_073M,B17022_074E,B17022_074M,B17022_075E,B17022_075M,B17022_076E,B17022_076M,B17022_077E,B17022_077M,B17022_078E,B17022_078M,B17022_079E,B17022_079M,B17022_080E,B17022_080M,B17022_081E,B17022_081M,GEO_ID,B17022_001E,B17022_001M,B17022_002E,B17022_002M,B17022_003E,B17022_003M,B17022_004E,B17022_004M,B17022_005E,B17022_005M,B17022_006E,B17022_006M,B17022_007E,B17022_007M,B17022_008E,B17022_008M,B17022_009E,B17022_009M,B17022_010E,B17022_010M,B17022_011E,B17022_011M,B17022_012E,B17022_012M,B17022_013E,B17022_013M,B17022_014E,B17022_014M,B17022_015E,B17022_015M,B17022_016E,B17022_016M,B17022_017E,B17022_017M,B17022_018E,B17022_018M,B17022_019E,B17022_019M,B17022_020E,B17022_020M,B17022_021E,B17022_021M,B17022_022E,B17022_022M,B17022_023E,B17022_023M,B17022_024E,B17022_024M,B17022_025E,B17022_025M,B17022_026E,B17022_026M,B17022_027E,B17022_027M,B17022_028E,B17022_028M,B17022_029E,B17022_029M,B17022_030E,B17022_030M,B17022_031E,B17022_031M,B17022_032E,B17022_032M,B17022_033E,B17022_033M,B17022_034E,B17022_034M,B17022_035E,B17022_035M,B17022_036E,B17022_036M,B17022_037E,B17022_037M,B17022_038E,B17022_038M,B17022_039E,B17022_039M,B17022_040E,B17022_040M,B17022_041E,B17022_041M,B17022_042E,B17022_042M,B17022_043E,B17022_043M,B17022_044E,B17022_044M,B17022_045E,B17022_045M,B17022_046E,B17022_046M,B17022_047E,B17022_047M,B17022_048E,B17022_048M,B17022_049E,B17022_049M,B17022_050E,B17022_050M,B17022_051E,B17022_051M,B17022_052E,B17022_052M,B17022_053E,B17022_053M,B17022_054E,B17022_054M,B17022_055E,B17022_055M,B17022_056E,B17022_056M,B17022_057E,B17022_057M,B17022_058E,B17022_058M,B17022_059E,B17022_059M,B17022_060E,B17022_060M,B17022_061E,B17022_061M,B17022_062E,B17022_062M,B17022_063E,B17022_063M,B17022_064E,B17022_064M,B17022_065E,B17022_065M,B17022_066E,B17022_066M,B17022_067E,B17022_067M,B17022_068E,B17022_068M,B17022_069E,B17022_069M,B17022_070E,B17022_070M,B17022_071E,B17022_071M,B17022_072E,B17022_072M,B17022_073EA,B17022_073MA,B17022_074EA,B17022_074MA,B17022_075MA,B17022_075EA,B17022_076MA,B17022_076EA,B17022_077EA,B17022_077MA,B17022_078EA,B17022_078MA,B17022_079EA,B17022_079MA,B17022_080MA,B17022_080EA,B17022_081MA,B17022_081EA,NAME,B17022_001EA,B17022_001MA,B17022_002EA,B17022_002MA,B17022_003EA,B17022_003MA,B17022_004MA,B17022_004EA,B17022_005EA,B17022_005MA,B17022_006EA,B17022_006MA,B17022_007EA,B17022_007MA,B17022_008EA,B17022_008MA,B17022_009EA,B17022_009MA,B17022_010MA,B17022_010EA,B17022_011EA,B17022_011MA,B17022_012EA,B17022_012MA,B17022_013EA,B17022_013MA,B17022_014EA,B17022_014MA,B17022_015MA,B17022_015EA,B17022_016EA,B17022_016MA,B17022_017EA,B17022_017MA,B17022_018EA,B17022_018MA,B17022_019EA,B17022_019MA,B17022_020MA,B17022_020EA,B17022_021MA,B17022_021EA,B17022_022EA,B17022_022MA,B17022_023EA,B17022_023MA,B17022_024EA,B17022_024MA,B17022_025MA,B17022_025EA,B17022_026MA,B17022_026EA,B17022_027EA,B17022_027MA,B17022_028EA,B17022_028MA,B17022_029EA,B17022_029MA,B17022_030MA,B17022_030EA,B17022_031MA,B17022_031EA,B17022_032MA,B17022_032EA,B17022_033MA,B17022_033EA,B17022_034MA,B17022_034EA,B17022_035EA,B17022_035MA,B17022_036EA,B17022_036MA,B17022_037MA,B17022_037EA,B17022_038MA,B17022_038EA,B17022_039MA,B17022_039EA,B17022_040EA,B17022_040MA,B17022_041EA,B17022_041MA,B17022_042EA,B17022_042MA,B17022_043MA,B17022_043EA,B17022_044MA,B17022_044EA,B17022_045EA,B17022_045MA,B17022_046EA,B17022_046MA,B17022_047EA,B17022_047MA,B17022_048MA,B17022_048EA,B17022_049MA,B17022_049EA,B17022_050EA,B17022_050MA,B17022_051EA,B17022_051MA,B17022_052EA,B17022_052MA,B17022_053EA,B17022_053MA,B17022_054MA,B17022_054EA,B17022_055EA,B17022_055MA,B17022_056EA,B17022_056MA,B17022_057EA,B17022_057MA,B17022_058EA,B17022_058MA,B17022_059MA,B17022_059EA,B17022_060EA,B17022_060MA,B17022_061EA,B17022_061MA,B17022_062EA,B17022_062MA,B17022_063EA,B17022_063MA,B17022_064EA,B17022_064MA,B17022_065MA,B17022_065EA,B17022_066EA,B17022_066MA,B17022_067EA,B17022_067MA,B17022_068EA,B17022_068MA,B17022_069EA,B17022_069MA,B17022_070MA,B17022_070EA,B17022_071EA,B17022_071MA,B17022_072EA,B17022_072MA,state
1528,693,14306,1874,24184,2292,105848,5657,49847,4372,8877,1885,3820,1016,37150,3585,56001,3073,0400000US01,1213540,13821,231067,7398,81387,4097,47167,3094,8051,1294,14097,1782,25019,2455,34220,2902,149680,5643,21851,2707,15282,2287,4185,1382,2794,1019,8303,1446,6569,1254,127829,4967,106148,5108,16901,2300,26422,2618,62825,3892,21681,1726,38989,3142,21395,2369,10085,1747,1010,536,2786,973,6289,1328,11310,1801,17594,1893,4491,866,2991,793,843,477,383,288,1765,695,1500,555,13103,1578,8749,1348,1349,592,918,456,6482,1259,4354,790,80801,4667,48085,3311,23274,2449,4703,1416,5428,1244,13143,1771,24811,2396,32716,2938,7869,1712,4095,1124,1339,751,378,261,2378,824,3774,1255,24847,2453,14011,1832,2545,873,1722,603,9744,1356,10836,1613,862683,12487,712807,10197,257377,7069,47508,3704,38059,3004,171810,5615,455430,8518,149876,6777,44028,3537,19844,2580,4010,1132,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
639,404,4322,1002,3396,698,16754,1955,10418,1690,1470,700,1001,391,7947,1502,6336,1171,0400000US02,163800,3113,16851,1739,5662,859,4264,792,572,251,2560,733,1132,312,1398,403,11189,1598,3305,794,2938,774,719,371,427,124,1792,659,367,199,7884,1399,7115,1333,1417,727,1855,610,3843,964,769,305,3974,964,1534,468,1043,420,84,55,561,299,398,271,491,298,2440,820,866,574,771,563,166,259,396,468,209,168,95,74,1574,582,1425,577,76,88,322,326,1027,471,149,135,7145,1216,3886,645,2242,490,748,280,580,244,914,365,1644,476,3259,887,1128,434,771,366,76,52,70,56,625,346,357,187,2131,814,1563,733,717,614,212,130,634,412,568,383,135830,2888,109266,2715,46338,2877,10811,1422,10031,1434,25496,2248,62928,2454,26564,2295,9810,1193,6414,1074,1453,574,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
4875,1016,28453,2976,42941,3527,140164,5310,70149,3952,11249,1709,6971,1371,51929,3299,70015,3704,0400000US04,1598414,13914,277629,7704,122814,5418,80180,4214,12156,1548,27477,2637,40547,3422,42634,3403,154815,6091,33485,2797,25097,2389,5931,1309,6429,1198,12737,1675,8388,1450,121330,5352,103439,5370,16372,2218,32116,2798,54951,3595,17891,1517,56152,3520,29853,2578,18434,2064,3377,1027,6461,1498,8596,1484,11419,1526,26299,2392,7067,1280,5445,1235,1412,586,1239,517,2794,989,1622,683,19232,1985,13335,1892,2240,1007,3241,839,7854,1575,5897,984,98967,4910,58820,4130,30791,3401,4988,1211,9824,1606,15979,2413,28029,2610,40147,3396,13229,1932,9073,1722,2422,878,1953,860,4698,1148,4156,932,26918,2590,19244,2397,3082,1118,3033,977,13129,2027,7674,1241,1165666,12770,942055,10789,333336,8094,62398,3396,62011,3648,208927,6160,608719,8631,223611,7705,83447,5148,40506,3872,7178,1633,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
1390,717,9076,1936,13379,2132,55794,4131,25003,3035,2912,971,2572,817,19519,2574,30791,2820,0400000US05,761494,10038,150108,6273,64202,4088,37943,3169,5960,1346,12936,2112,19047,2459,26259,2540,85906,4590,14355,1948,10186,1764,2967,1146,1703,655,5516,1395,4169,932,71551,4493,57670,3818,12963,2181,12173,1806,32534,2940,13881,2094,32063,2915,20220,2391,9709,1502,2175,613,2400,797,5134,1208,10511,1659,11843,1633,3391,935,2502,842,444,386,464,304,1594,638,889,390,8452,1355,5659,1186,920,569,1004,450,3735,922,2793,771,55426,4182,34780,2695,17488,2211,3456,920,4500,1122,9532,1754,17292,1888,20646,2644,6370,1483,4293,1200,1290,645,760,501,2243,897,2077,750,14276,2289,10020,1953,1769,659,861,363,7390,1791,4256,955,523897,7769,442095,7868,159079,5632,28542,2979,24748,2353,105789,4634,283016,6587,81802,4539,26008,2991,12629,2103,2163,721,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
26985,2848,155548,6245,277488,9183,895532,13926,401226,8653,54246,3551,43424,3184,303556,8007,494306,11156,0400000US06,8835906,26617,1463664,17726,702002,11436,471760,9743,55445,3282,165900,6926,250415,6786,230242,7307,761662,12742,173454,7385,128328,7095,23865,2680,37048,3577,67415,5300,45126,3300,588208,11484,476163,11019,66321,4440,133138,5444,276704,8454,112045,5239,295804,8420,172974,6180,112687,5077,15469,2110,32202,2779,65016,4127,60287,3560,122830,5753,32872,3047,21479,2599,3066,961,5444,1256,12969,2048,11393,1653,89958,4903,58075,3844,7195,1417,10655,1853,40225,2946,31883,2974,529526,11540,319003,9371,204670,7169,26519,2712,56103,3637,122048,5197,114333,5359,210523,7316,67169,4309,43321,3454,8656,1677,7848,1585,26817,2874,23848,2883,143354,6338,90547,4955,12954,2131,16945,1891,60648,3944,52807,3244,6546912,28059,5148314,24554,2222205,18153,426735,9292,390011,9914,1405459,17077,2926109,19718,1398598,19903,503066,11678,225578,7530,43045,3531,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
2172,656,28047,2601,29540,2369,110352,5515,56269,4037,8650,1414,3416,986,44203,3483,54083,3445,0400000US08,1331861,11075,150081,5748,70435,3963,44062,3371,5791,1471,17249,2094,21022,2284,26373,2420,79646,4017,15030,1951,12240,1855,2943,1127,2500,922,6797,1318,2790,812,64616,4018,56002,3774,11934,1937,12475,1799,31593,2758,8614,1489,31061,2274,18360,1895,12842,1786,1792,728,4292,1116,6758,1448,5518,1032,12701,1441,3261,851,2191,741,544,471,423,334,1224,576,1070,610,9440,1233,7155,1146,920,537,1440,429,4795,1064,2285,734,65389,3794,40905,3136,24981,2621,4882,1046,7565,1630,12534,1969,15924,1428,24484,2674,8095,1829,5914,1558,1520,732,985,562,3409,1109,2181,819,16389,2104,12839,1955,2835,931,1554,798,8450,1539,3550,685,1085330,11352,908340,9717,377888,7096,75306,3603,70034,3958,232548,6217,530452,8629,176990,6940,66638,4112,37098,3158,6879,1285,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
1906,751,12777,1890,24482,2749,98157,4589,47471,3372,4918,1125,3242,853,39311,3053,50686,3705,0400000US09,876188,9056,90568,4629,28000,2288,16128,1904,1820,743,4916,1183,9392,1509,11872,1771,62568,3872,9905,1793,6614,1453,2130,852,1282,689,3202,982,3291,981,52663,3467,43453,3210,5986,1297,10541,1685,26926,2657,9210,1728,17048,1924,7647,1263,3880,813,960,571,1473,567,1447,520,3767,1014,9401,1597,1807,681,1356,607,86,104,57,93,1213,614,451,296,7594,1407,5280,1259,495,262,1353,702,3432,948,2314,831,33398,3001,17699,2198,10025,1561,1139,525,2841,1143,6045,969,7674,1287,15699,2164,3520,1126,2364,972,1026,749,167,271,1171,581,1156,589,12179,1703,8508,1422,1596,651,1428,648,5484,1204,3671,835,735174,8228,594243,8348,230191,6352,38728,2698,35598,2864,155865,4604,364052,6959,140931,5887,42774,3587,18292,2104,3609,1056,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
615,351,4269,1230,6008,1138,26397,2501,12871,1860,1881,766,1340,599,9650,1564,13526,1730,0400000US10,235385,4062,28935,2526,10244,1386,5543,1102,1197,738,1815,709,2531,737,4701,960,18691,2230,3264,1056,2480,909,276,178,922,729,1282,635,784,513,15427,2041,13523,1882,1551,677,3608,1077,8364,1673,1904,588,7118,1489,2932,920,1271,616,88,148,248,219,935,528,1661,655,4186,1119,450,275,343,253,0,190,97,104,246,242,107,127,3736,1114,2923,904,252,182,924,523,1747,650,813,640,10070,1473,5947,1105,3077,849,197,191,1027,477,1853,702,2870,712,4123,1013,897,406,289,200,32,44,37,62,220,184,608,360,3226,913,2197,752,208,168,125,142,1864,709,1029,433,189262,4562,151293,4565,53396,2802,9331,1352,9523,1748,34542,2450,97897,3552,37969,3086,11572,1696,5564,1322,680,268,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
108,135,3130,956,4430,989,20455,2014,9846,1478,2237,724,1153,543,6456,1218,10609,1634,0400000US11,125178,3853,23471,2413,3998,1117,2347,978,243,320,414,377,1690,857,1651,584,19473,2198,1938,907,1203,754,77,95,248,242,878,709,735,430,17535,2143,14429,2050,1251,576,4075,1004,9103,1700,3106,804,2902,903,1092,567,661,467,132,176,205,203,324,311,431,266,1810,711,336,263,176,203,0,200,0,200,176,203,160,159,1474,688,1195,644,148,175,565,463,482,351,279,233,5177,1245,1768,617,1028,501,52,88,467,369,509,348,740,309,3409,961,386,311,301,273,0,200,70,119,231,239,85,145,3023,921,2107,757,0,200,652,504,1455,596,916,523,93628,3543,64999,3161,26082,2568,9417,1401,4678,951,11987,1920,38917,2463,28629,2540,8174,1520,3744,1038,506,355,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
8540,1562,63188,5015,124183,6080,472345,11050,205479,7501,28712,3083,17028,2675,159739,6212,266866,8318,0400000US12,4806611,27227,804351,15615,345050,9659,177767,6990,25751,2523,56513,4627,95503,6036,167283,6825,459301,11463,90657,5191,63534,4868,16228,2300,14552,2305,32754,3302,27123,3143,368644,10097,294294,9520,45268,3662,73604,5090,175422,7217,74350,4842,172066,7319,93840,4994,46805,4087,7584,1618,12119,2018,27102,2999,47035,3570,78226,5371,19281,2640,12452,2171,2735,1126,2051,732,7666,1758,6829,1609,58945,4490,40143,3664,5957,1392,5902,1342,28284,3353,18802,2250,325720,9970,189251,6694,91428,5016,14658,1955,19666,2504,57104,4130,97823,4319,136469,6701,34229,3275,21691,2818,6006,1622,2781,997,12904,2237,12538,2032,102240,5459,65327,4667,10493,1699,7633,1527,47201,3839,36913,2993,3504474,28363,2816635,24521,894407,13013,170945,5706,139852,6809,583610,9815,1922228,21312,687839,13528,215494,8759,91311,5801,19583,2401,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
