GEO_ID,C15010A_001E,C15010A_001M,C15010A_002E,C15010A_002M,C15010A_003E,C15010A_003M,C15010A_004E,C15010A_004M,C15010A_005E,C15010A_005M,C15010A_006E,C15010A_006M,NAME,C15010A_001EA,C15010A_001MA,C15010A_002EA,C15010A_002MA,C15010A_003MA,C15010A_003EA,C15010A_004MA,C15010A_004EA,C15010A_005EA,C15010A_005MA,C15010A_006EA,C15010A_006MA,state
0400000US01,624622,11804,182528,6464,62732,4592,144270,5917,109052,4716,126040,5683,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,118915,4338,44677,3182,10343,1623,18339,2364,17016,1759,28540,2519,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1066299,14068,341527,7335,98532,5634,230227,8250,163286,5665,232727,6833,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,369216,7645,104925,5003,35733,3443,81204,4078,73825,3888,73529,4174,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5410574,29810,2089726,19736,373783,9005,965137,14217,404911,10367,1577017,17104,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1302883,12876,494549,11082,108793,4854,255174,7063,138581,5474,305786,7864,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,803896,11592,279277,6238,67526,3595,157780,6684,93410,3949,205903,7808,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,149660,5005,49422,3755,15630,2009,32703,2882,22197,2107,29708,2495,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,181641,2580,89564,3661,7682,1445,18779,2135,5187,1016,60429,3058,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3391679,30573,1052050,17190,319567,10107,829451,17686,512692,11924,677919,12095,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1361747,17573,417427,10228,120726,4831,326704,9197,202006,5900,294884,8740,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,119495,4727,46924,2929,10214,1602,17571,2005,14718,1686,30068,2208,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
