GEO_ID,B13014_001E,B13014_001M,B13014_002E,B13014_002M,B13014_003E,B13014_003M,B13014_004E,B13014_004M,B13014_005E,B13014_005M,B13014_006E,B13014_006M,B13014_007E,B13014_007M,B13014_008E,B13014_008M,B13014_009E,B13014_009M,B13014_010E,B13014_010M,B13014_011E,B13014_011M,B13014_012E,B13014_012M,B13014_013E,B13014_013M,B13014_014E,B13014_014M,B13014_015E,B13014_015M,B13014_016E,B13014_016M,B13014_017E,B13014_017M,B13014_018E,B13014_018M,B13014_019E,B13014_019M,B13014_020E,B13014_020M,B13014_021E,B13014_021M,B13014_022E,B13014_022M,B13014_023E,B13014_023M,B13014_024E,B13014_024M,B13014_025E,B13014_025M,B13014_026E,B13014_026M,B13014_027E,B13014_027M,NAME,B13014_001EA,B13014_001MA,B13014_002EA,B13014_002MA,B13014_003EA,B13014_003MA,B13014_004MA,B13014_004EA,B13014_005MA,B13014_005EA,B13014_006EA,B13014_006MA,B13014_007EA,B13014_007MA,B13014_008EA,B13014_008MA,B13014_009MA,B13014_009EA,B13014_010MA,B13014_010EA,B13014_011MA,B13014_011EA,B13014_012EA,B13014_012MA,B13014_013EA,B13014_013MA,B13014_014MA,B13014_014EA,B13014_015MA,B13014_015EA,B13014_016MA,B13014_016EA,B13014_017EA,B13014_017MA,B13014_018EA,B13014_018MA,B13014_019EA,B13014_019MA,B13014_020MA,B13014_020EA,B13014_021MA,B13014_021EA,B13014_022MA,B13014_022EA,B13014_023EA,B13014_023MA,B13014_024EA,B13014_024MA,B13014_025MA,B13014_025EA,B13014_026MA,B13014_026EA,B13014_027MA,B13014_027EA,state
0400000US01,1158297,4650,59374,4335,33227,2784,3370,1077,5083,1177,11514,1701,9112,1728,4148,1039,26147,3099,5082,1335,8318,1750,11260,2312,1035,583,452,444,1098923,5812,465780,7926,46326,3274,112542,5648,156156,5468,97989,5095,52767,3574,633143,9151,163261,6126,146401,6405,225495,7763,69026,4533,28960,2670,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,173560,1820,11144,1545,7602,1298,190,139,1932,586,2483,753,1965,820,1032,433,3542,929,865,395,1687,586,848,474,142,130,0,149,162416,2382,72329,2957,4538,1191,15194,1726,28605,2305,15394,1617,8598,1353,90087,3302,21362,1648,22538,2125,30037,3112,10828,1676,5322,1304,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1575353,3411,85798,4845,53783,3708,6918,1337,8779,1855,19168,2463,13642,1588,5276,1012,32015,3535,8148,1700,10135,1996,11539,1992,1641,495,552,338,1489555,6208,601218,9695,84692,4803,120148,5644,203237,6827,126694,4397,66447,3974,888337,9356,228089,5807,191805,7139,319454,7231,109040,4549,39949,2807,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,686648,3987,41817,3941,25765,2660,2792,939,5525,1225,9290,1755,4963,1153,3195,1048,16052,2690,4105,1770,5769,1150,5680,1493,498,450,0,190,644831,5500,305130,7050,30140,3290,83024,3619,102190,4930,59729,3446,30047,2807,339701,8189,84933,3034,79924,4599,126959,5450,34137,2517,13748,1917,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9677065,8920,478813,12151,316729,8660,37877,3080,56571,3858,88710,4220,81005,4912,52566,3226,162084,7694,38311,3195,48817,4240,59575,4107,11427,1865,3954,936,9198252,15412,3854341,21437,633974,10745,730631,14114,1070096,17078,884305,13815,535335,10242,5343911,20932,1277784,11715,1007787,14566,1862185,19039,877218,13655,318937,8768,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1318722,3956,65555,4672,48776,3641,4432,1116,8552,1689,12140,1777,15292,2135,8360,1388,16779,2280,3660,902,5550,1273,6057,1679,1021,544,491,401,1253167,6428,576669,9175,49094,3542,93759,5193,168808,5962,169193,5403,95815,4643,676498,8959,146803,4648,123769,6534,222866,7337,135525,5508,47535,3694,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,843839,2928,34705,3375,22771,2328,775,517,3321,844,5322,1284,6641,1407,6712,1319,11934,2014,2194,755,3821,1095,4540,1175,991,570,388,269,809134,4436,322514,7110,16601,2427,58022,3523,82249,3992,92042,4188,73600,3693,486620,7769,101823,3580,104008,5402,155816,6632,85482,4340,39491,3395,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,219252,1579,9736,1627,6553,1152,707,477,842,499,1456,522,1906,625,1642,613,3183,1021,288,251,1178,673,1088,483,510,301,119,150,209516,2296,81442,3471,7394,1346,16587,2053,23219,2443,18976,2105,15266,1750,128074,4027,27525,1913,30607,2979,43884,3049,17805,2148,8253,1447,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,205216,1191,8575,1449,4381,926,95,166,129,164,110,107,1079,406,2968,762,4194,1047,774,504,1520,634,1405,617,162,114,333,248,196641,1871,50001,2901,3562,1128,5250,1208,5038,1048,13332,1870,22819,1949,146640,3051,13059,1535,27014,2363,33963,2609,36386,2916,36218,2902,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4566243,7157,208713,8469,122569,5720,12198,1950,28624,3417,34186,3551,30273,2953,17288,2585,86144,5362,17429,2466,30286,3378,30279,3209,6056,1353,2094,801,4357530,11166,1735334,17452,143995,6710,409536,10523,570629,14128,399663,11279,211511,7603,2622196,18778,586448,10356,598658,13380,911731,17815,384667,11698,140692,6595,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
