GEO_ID,B16006_001E,B16006_001M,B16006_002E,B16006_002M,B16006_003E,B16006_003M,B16006_004E,B16006_004M,B16006_005E,B16006_005M,B16006_006E,B16006_006M,B16006_007E,B16006_007M,B16006_008E,B16006_008M,NAME,B16006_001EA,B16006_001MA,B16006_002EA,B16006_002MA,B16006_003EA,B16006_003MA,B16006_004EA,B16006_004MA,B16006_005MA,B16006_005EA,B16006_006EA,B16006_006MA,B16006_007EA,B16006_007MA,B16006_008EA,B16006_008MA,state
0400000US01,170790,2648,49260,5331,121072,4525,57812,4699,26120,3297,28443,3178,8697,2475,458,350,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,46754,405,25284,2601,21123,2689,15555,2415,3677,922,1603,722,288,230,347,380,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1912870,-555555555,657561,16292,1247196,16739,819365,14684,163539,6616,149592,7029,114700,7618,8113,2779,Arizona,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,184556,2322,57984,6002,125909,5435,62121,5210,26565,3741,24200,3059,13023,2860,663,477,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,13869916,1222,3520738,42560,10293653,43212,5966762,42048,1676015,25847,1672439,22151,978437,18696,55525,5589,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1060425,1071,488435,14120,567450,13984,348446,10383,94721,5915,84963,5815,39320,4228,4540,1354,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,505771,638,126661,6939,375518,6928,227591,6510,73446,5319,52370,4348,22111,3756,3592,1242,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,76716,-555555555,19522,2786,56944,2772,35365,2670,8758,1553,9371,1517,3450,1080,250,263,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,63847,-555555555,15864,3118,47761,3142,26259,2932,9852,2431,9425,1977,2225,1075,222,223,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4625817,1672,800926,24056,3803636,24263,2111960,25205,676824,18311,610105,15852,404747,14160,21255,3332,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
