GEO_ID,B11010_001E,B11010_001M,B11010_002E,B11010_002M,B11010_003E,B11010_003M,B11010_004E,B11010_004M,B11010_005E,B11010_005M,B11010_006E,B11010_006M,B11010_007E,B11010_007M,B11010_008E,B11010_008M,B11010_009E,B11010_009M,B11010_010E,B11010_010M,B11010_011E,B11010_011M,B11010_012E,B11010_012M,B11010_013E,B11010_013M,B11010_014E,B11010_014M,B11010_015E,B11010_015M,NAME,B11010_001MA,B11010_001EA,B11010_002EA,B11010_002MA,B11010_003MA,B11010_003EA,B11010_004EA,B11010_004MA,B11010_005EA,B11010_005MA,B11010_006EA,B11010_006MA,B11010_007EA,B11010_007MA,B11010_008MA,B11010_008EA,B11010_009MA,B11010_009EA,B11010_010EA,B11010_010MA,B11010_011EA,B11010_011MA,B11010_012EA,B11010_012MA,B11010_013MA,B11010_013EA,B11010_014MA,B11010_014EA,B11010_015EA,B11010_015MA,state
0400000US01,632850,11633,286161,6932,241499,6337,179149,6018,62350,2836,44662,3682,41435,3589,3227,864,346689,8594,311173,7970,161429,6083,149744,4353,35516,3328,32058,3100,3458,879,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,86385,3614,50242,2778,37744,3065,31165,2686,6579,1270,12498,1657,11716,1621,782,363,36143,2373,29019,2179,19450,1901,9569,918,7124,1267,6235,1221,889,370,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,864594,12728,423708,8772,320690,8161,232074,6964,88616,3803,103018,4795,90919,4478,12099,1281,440886,7922,358648,7169,189719,6416,168929,4587,82238,4948,69824,4367,12414,1602,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,383169,8477,177545,6443,143237,5749,102435,5196,40802,2839,34308,2835,31711,2766,2597,734,205624,5458,181671,5614,89639,4704,92032,3681,23953,2003,20433,1886,3520,917,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4060451,23969,1919426,17429,1387206,17271,1010377,14467,376829,8936,532220,11071,474542,10629,57678,3252,2141025,17765,1712560,15582,918863,13812,793697,10602,428465,9083,364958,9140,63507,3634,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,742874,10127,370368,7408,271232,7276,210250,6287,60982,3163,99136,5295,92526,5112,6610,1229,372506,8750,293525,7545,171548,5932,121977,3826,78981,4269,72098,3949,6883,1208,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,467515,8897,209025,6667,163367,6187,117799,5307,45568,3023,45658,3390,40636,3263,5022,931,258490,6114,219034,6495,111799,6008,107235,3842,39456,3247,34000,2950,5456,898,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,117210,4664,52874,3389,39498,2900,27737,2667,11761,1382,13376,1672,12210,1662,1166,430,64336,2852,54326,2695,27491,2263,26835,1815,10010,1438,8699,1269,1311,521,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,156609,4612,73949,3199,53327,3257,43804,3008,9523,1062,20622,2130,20041,2092,581,286,82660,3395,65020,3433,45694,3208,19326,1637,17640,1922,16736,1887,904,450,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2656573,24612,1209071,17629,929908,15763,625144,13313,304764,8962,279163,8279,236492,7520,42671,3204,1447502,18348,1223773,16370,590084,11567,633689,11161,223729,8297,185865,7717,37864,3125,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
