GEO_ID,C27001F_001E,C27001F_001M,C27001F_002E,C27001F_002M,C27001F_003E,C27001F_003M,C27001F_004E,C27001F_004M,C27001F_005E,C27001F_005M,C27001F_006E,C27001F_006M,C27001F_007E,C27001F_007M,C27001F_008E,C27001F_008M,C27001F_009E,C27001F_009M,C27001F_010E,C27001F_010M,NAME,C27001F_001MA,C27001F_001EA,C27001F_002EA,C27001F_002MA,C27001F_003MA,C27001F_003EA,C27001F_004MA,C27001F_004EA,C27001F_005MA,C27001F_005EA,C27001F_006MA,C27001F_006EA,C27001F_007EA,C27001F_007MA,C27001F_008EA,C27001F_008MA,C27001F_009MA,C27001F_009EA,C27001F_010MA,C27001F_010EA,state
0400000US01,53310,6018,22233,3358,18371,3090,3862,1253,30262,3751,12616,2577,17646,3318,815,571,766,542,49,83,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,11566,3103,3434,1441,3237,1422,197,229,7777,2114,5749,1621,2028,1232,355,280,355,280,0,149,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,475789,21452,150655,9389,133108,8877,17547,3490,298033,13855,222863,11718,75170,6521,27101,2778,26196,2724,905,683,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,64714,6271,24695,3377,22656,3321,2039,822,37154,3927,22495,3190,14659,2456,2865,970,2501,919,364,400,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5238180,64177,1549594,26738,1481315,26627,68279,5948,3407241,40732,2664819,34719,742422,19343,281345,9281,268564,9143,12781,2478,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,208187,13054,62555,6388,56971,5987,5584,2103,132833,7598,93643,6332,39190,4839,12799,1746,12711,1746,88,144,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,175852,12967,51061,5478,49064,5449,1997,1226,117237,8364,82592,6943,34645,5379,7554,1393,7381,1393,173,217,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,19002,3819,5274,1579,4944,1545,330,342,12897,2674,9961,2324,2936,1324,831,422,648,405,183,299,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,34375,4103,9278,1760,8505,2010,773,764,23914,2888,18285,2975,5629,1722,1183,790,793,571,390,611,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,524760,23006,131313,9592,113549,8946,17764,4111,357546,15901,234562,13057,122984,9562,35901,4069,33905,3988,1996,967,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
