GEO_ID,C17018_001E,C17018_001M,C17018_002E,C17018_002M,C17018_003E,C17018_003M,C17018_004E,C17018_004M,C17018_005E,C17018_005M,C17018_006E,C17018_006M,C17018_007E,C17018_007M,C17018_008E,C17018_008M,C17018_009E,C17018_009M,C17018_010E,C17018_010M,C17018_011E,C17018_011M,NAME,C17018_001EA,C17018_001MA,C17018_002MA,C17018_002EA,C17018_003MA,C17018_003EA,C17018_004MA,C17018_004EA,C17018_005EA,C17018_005MA,C17018_006EA,C17018_006MA,C17018_007EA,C17018_007MA,C17018_008EA,C17018_008MA,C17018_009MA,C17018_009EA,C17018_010MA,C17018_010EA,C17018_011EA,C17018_011MA,state
0400000US01,1213540,13821,166755,6801,48536,4114,56133,4175,52495,3728,9591,1512,1046785,12834,96360,5155,277906,8111,344111,9214,328408,8651,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,163800,3113,11530,1402,2506,660,3869,680,4397,1025,758,329,152270,3239,7293,1194,36091,2374,57069,3047,51817,2544,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1598414,13914,199101,6307,69181,3775,57017,3525,55734,3697,17169,1994,1399313,13718,132033,5957,275205,7953,514958,10571,477117,8477,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,761494,10038,104557,5132,28078,2928,36202,3002,33339,3276,6938,1359,656937,9657,66817,3723,197883,5874,211889,6288,180348,5115,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8835906,26617,999318,15054,385366,9498,246724,7600,262998,7567,104230,5519,7836588,26834,1065478,15403,1355968,18211,2438148,23595,2976994,18441,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1331861,11075,101276,4462,24988,2440,28171,2844,32710,2988,15407,1951,1230585,10898,80600,4161,214561,6221,383616,8626,551808,9198,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,876188,9056,65154,3905,18512,2391,21449,2426,17318,1936,7875,1264,811034,9505,47896,3683,184102,6441,210812,6699,368224,7464,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,235385,4062,20424,2359,5482,1420,7766,1441,5795,1329,1381,550,214961,4577,15106,2138,53905,3137,65599,2892,80351,3296,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,125178,3853,17494,2145,5014,1325,6948,1076,4160,1077,1372,688,107684,3823,9163,1508,17341,1829,17145,2228,64035,3056,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4806611,27227,541342,12813,135956,6545,177396,7623,160358,7960,67632,4899,4265269,27423,346325,10481,1025428,15547,1377958,19866,1515558,19443,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2466415,18717,321564,10162,87646,5242,110939,6444,94859,5694,28120,2903,2144851,17728,196943,7297,506383,12178,647050,13288,794475,14118,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,309386,5548,21219,2256,4368,1012,5596,1011,7793,1514,3462,944,288167,5332,17091,1875,63214,3339,103509,4257,104353,3950,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,400347,7093,43746,3497,7189,1486,12519,1896,19992,2761,4046,924,356601,6930,24130,2442,79347,4051,135836,5577,117288,4551,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3099463,16945,304063,7705,71776,4119,104807,4865,98631,4285,28849,2518,2795400,17541,235806,7204,626918,11877,860969,11927,1071707,11900,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1633695,12071,166356,6469,42405,4058,56353,3861,55035,3609,12563,1843,1467339,11736,115176,4243,439144,8173,456887,8376,456132,8613,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,796799,8505,61086,3406,12073,1539,20403,2078,23016,2254,5594,1157,735713,8038,42206,2537,198552,5010,258700,5891,236255,5630,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,720780,8954,60794,3634,12365,1808,20007,2098,23179,2448,5243,829,659986,8919,45317,2746,140421,4586,218828,5364,255420,6016,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1131839,10422,158373,6094,43658,3488,54753,4133,49307,3585,10655,1840,973466,9634,93470,3683,297007,7216,298672,8253,284317,7006,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
