GEO_ID,B20017D_001E,B20017D_001M,B20017D_002E,B20017D_002M,B20017D_003E,B20017D_003M,B20017D_004E,B20017D_004M,B20017D_005E,B20017D_005M,B20017D_006E,B20017D_006M,B20017D_007E,B20017D_007M,NAME,B20017D_001EA,B20017D_001MA,B20017D_002MA,B20017D_002EA,B20017D_003MA,B20017D_003EA,B20017D_004EA,B20017D_004MA,B20017D_005MA,B20017D_005EA,B20017D_006EA,B20017D_006MA,B20017D_007MA,B20017D_007EA,state
0400000US01,31284,8391,42354,8579,52068,8488,12220,4566,23317,2623,41272,6069,10350,3223,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,26456,2496,30330,5038,37185,8454,12219,2916,25042,2942,29754,3071,10838,1914,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,34280,2607,41704,3005,61487,3072,12848,3483,27337,2812,40715,2232,11625,1209,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,30845,3179,41192,5425,50698,4475,13196,2642,23427,3336,30011,2718,6478,4592,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,41175,248,47287,739,61998,493,13922,688,36324,488,52118,396,13172,615,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,31163,1258,37524,3457,60416,7572,11750,1196,26381,2757,39136,3608,11153,1407,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,44667,4515,56517,7194,71011,7644,13728,2481,33978,3806,56247,9931,13322,3236,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,57397,10972,66422,7630,76657,6933,11302,10808,50797,9690,71049,6989,13187,2811,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,55321,9560,70524,18519,86063,15611,10694,5825,51709,2784,81094,12120,7482,5225,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,30761,744,35716,1740,49941,2781,13482,2137,26761,1175,40066,2461,11623,594,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,32002,1399,44864,5197,56455,7508,11297,1417,24102,1403,37330,3745,11400,708,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,34553,1359,37152,1121,46007,1612,12127,1072,31712,510,38871,1547,12010,771,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
