GEO_ID,C25074_001E,C25074_001M,C25074_002E,C25074_002M,C25074_003E,C25074_003M,C25074_004E,C25074_004M,C25074_005E,C25074_005M,C25074_006E,C25074_006M,C25074_007E,C25074_007M,C25074_008E,C25074_008M,C25074_009E,C25074_009M,C25074_010E,C25074_010M,C25074_011E,C25074_011M,C25074_012E,C25074_012M,C25074_013E,C25074_013M,C25074_014E,C25074_014M,C25074_015E,C25074_015M,C25074_016E,C25074_016M,C25074_017E,C25074_017M,C25074_018E,C25074_018M,C25074_019E,C25074_019M,C25074_020E,C25074_020M,C25074_021E,C25074_021M,C25074_022E,C25074_022M,C25074_023E,C25074_023M,C25074_024E,C25074_024M,C25074_025E,C25074_025M,NAME,C25074_001EA,C25074_001MA,C25074_002MA,C25074_002EA,C25074_003MA,C25074_003EA,C25074_004MA,C25074_004EA,C25074_005EA,C25074_005MA,C25074_006EA,C25074_006MA,C25074_007MA,C25074_007EA,C25074_008MA,C25074_008EA,C25074_009MA,C25074_009EA,C25074_010EA,C25074_010MA,C25074_011EA,C25074_011MA,C25074_012MA,C25074_012EA,C25074_013MA,C25074_013EA,C25074_014MA,C25074_014EA,C25074_015MA,C25074_015EA,C25074_016EA,C25074_016MA,C25074_017MA,C25074_017EA,C25074_018MA,C25074_018EA,C25074_019MA,C25074_019EA,C25074_020MA,C25074_020EA,C25074_021EA,C25074_021MA,C25074_022MA,C25074_022EA,C25074_023MA,C25074_023EA,C25074_024MA,C25074_024EA,C25074_025MA,C25074_025EA,state
0400000US01,592795,11428,109680,5128,6431,1225,68757,3581,34492,3029,125191,6261,15820,2413,94976,5276,14395,1864,129883,5639,47826,3410,68746,4672,13311,1703,82370,5299,58409,4594,15868,2248,8093,1433,81022,4504,68255,3910,4329,845,8438,1547,64649,4549,59707,4479,705,429,4237,1014,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,90263,3323,5864,1194,156,114,4734,1157,974,339,10955,1510,1318,621,8701,1312,936,426,14752,1701,2203,597,11200,1626,1349,467,13193,1552,4471,974,7666,1428,1056,392,17431,2236,10836,1737,5662,1282,933,285,28068,2493,24449,2238,1639,694,1980,520,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,938180,12431,114827,6175,4128,1077,70064,4167,40635,3976,139646,6194,8752,1563,122028,5908,8866,1342,201865,6697,45151,3541,146448,6282,10266,1349,149994,5865,86954,4961,57734,3726,5306,1197,165144,6398,139333,6113,21089,2365,4722,966,166704,7487,157474,7164,3993,1157,5237,1388,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,398663,8123,67805,4187,4270,1039,44275,3617,19260,2439,77620,4346,9836,1265,60565,4464,7219,1479,101353,4789,40544,3525,51275,3498,9534,1547,58281,3917,45602,3425,8503,1517,4176,897,51628,3450,45567,3127,1564,748,4497,1263,41976,3602,37428,3369,496,379,4052,1061,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5985534,26745,509410,11000,12659,1861,352290,9152,144461,6072,835824,13370,75276,4094,724773,12662,35775,3256,1072773,15840,113939,5318,924101,14379,34733,2806,845547,13677,253462,7755,568377,11536,23708,2031,1022900,18335,572485,11527,420507,12604,29908,3264,1699080,18611,1485644,18166,176898,6741,36538,3003,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,752117,9473,73794,4165,5233,1095,50164,3600,18397,2151,91614,4735,9276,1627,78799,4384,3539,820,149252,6295,27611,3044,116522,5121,5119,1022,126006,5843,52876,4203,70449,4228,2681,659,142550,6215,100780,5217,38195,3350,3575,873,168901,5824,157853,5382,6568,1377,4480,1094,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,454668,8901,56637,3537,4323,989,38832,3305,13482,2106,70383,4941,11901,2058,55790,4144,2692,718,81119,4717,11677,1659,65272,4248,4170,1131,72221,3998,28741,2831,41023,3449,2457,788,77576,4754,57401,4208,17648,2113,2527,701,96732,4742,88378,4497,4832,1354,3522,779,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,102914,4301,10947,1747,434,322,7061,1577,3452,922,13376,2097,1825,612,10897,1953,654,396,21331,2207,2652,720,16066,1816,2613,965,16073,2066,6282,1107,8745,1568,1046,501,18458,2097,15146,1995,2427,692,885,505,22729,2333,21776,2222,49,80,904,628,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,169232,4150,21751,2388,2313,671,13791,1900,5647,1126,19476,1857,3189,728,15456,1788,831,482,23205,2678,4858,1016,17549,2326,798,457,18721,1733,5921,1228,12317,1582,483,329,24363,2514,12030,1611,11645,1929,688,390,61716,3260,54119,3039,6451,1223,1146,611,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2703113,22882,315793,9807,14073,1991,205873,7997,95847,5617,417742,10313,25189,2356,367747,10196,24806,2511,601208,13197,82163,4888,492651,11571,26394,2739,442636,11464,197203,7955,229298,7508,16135,1875,469972,13097,345004,10661,109146,6156,15822,1893,455762,12266,417911,11956,26330,2878,11521,1527,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1395241,15955,198070,7868,7267,1403,131274,6789,59529,3927,223565,7594,21064,2388,185389,6599,17112,2298,299812,9360,63343,4551,222003,8732,14466,1891,216709,7355,137333,5905,72056,5078,7320,1579,232166,8495,198276,7914,24207,2996,9683,1596,224919,8601,212946,8384,3930,1000,8043,1720,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,193501,4944,15238,1595,1305,474,9913,1380,4020,1049,18250,2107,1995,716,14707,1834,1548,580,27457,2483,3240,812,22597,2247,1620,569,27478,2692,5005,1010,20952,2434,1521,477,41120,3319,18577,2326,20793,2356,1750,513,63958,3179,47596,2871,12344,1890,4018,967,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,185463,6126,24368,2908,672,335,16490,2591,7206,1394,35374,3344,3246,887,30232,3318,1896,662,45245,3766,16275,2000,25272,3028,3698,1022,29260,2404,22041,2123,5783,1452,1436,616,29334,3217,26450,2953,1105,650,1779,645,21882,2335,20023,2381,32,55,1827,749,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1664882,16458,236151,7644,14371,1987,156562,5717,65218,4461,256568,7312,33873,2605,210416,7239,12279,2066,332255,9854,73518,3958,245392,8525,13345,1947,245313,8070,146798,6308,89539,4469,8976,1435,266658,6603,210657,6664,45806,3445,10195,1244,327937,9433,303964,9306,11526,1637,12447,1934,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,800263,10613,117125,4906,6194,1218,80940,4011,29991,2825,150493,5938,19560,1854,122603,5559,8330,1447,192712,6022,65955,3533,116561,5203,10196,1687,131502,5824,101330,5222,24017,2389,6155,1157,121076,5951,107428,5496,6486,1399,7162,1083,87355,4526,82796,4372,1040,448,3519,776,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,365769,7852,48277,3407,2359,642,36045,3212,9873,1523,69767,3583,11677,1452,53712,3649,4378,1181,82933,5286,36256,2555,42743,4025,3934,771,57580,3461,43842,2978,9990,1752,3748,918,60906,3717,53040,3618,3341,1183,4525,915,46306,3468,40761,3250,734,410,4811,926,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,373246,7105,49058,3330,2818,898,31504,2689,14736,2111,61780,4052,10452,1397,47447,3672,3881,816,80958,4429,30749,2488,46300,3231,3909,745,64991,3931,47092,3480,15004,2079,2895,718,63203,3872,55093,3621,4066,1048,4044,801,53256,3856,50126,3807,804,395,2326,562,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,577915,9596,98464,4817,8803,1252,64448,4892,25213,2680,112900,4815,15747,1832,84812,4361,12341,1689,129085,5567,53529,3850,65697,4326,9859,1436,89321,5539,66066,4741,15083,2415,8172,1706,86912,5462,76483,5242,4026,1091,6403,1378,61233,4652,56552,4501,794,324,3887,871,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
