GEO_ID,B14007_001E,B14007_001M,B14007_002E,B14007_002M,B14007_003E,B14007_003M,B14007_004E,B14007_004M,B14007_005E,B14007_005M,B14007_006E,B14007_006M,B14007_007E,B14007_007M,B14007_008E,B14007_008M,B14007_009E,B14007_009M,B14007_010E,B14007_010M,B14007_011E,B14007_011M,B14007_012E,B14007_012M,B14007_013E,B14007_013M,B14007_014E,B14007_014M,B14007_015E,B14007_015M,B14007_016E,B14007_016M,B14007_017E,B14007_017M,B14007_018E,B14007_018M,B14007_019E,B14007_019M,NAME,B14007_001MA,B14007_001EA,B14007_002EA,B14007_002MA,B14007_003EA,B14007_003MA,B14007_004EA,B14007_004MA,B14007_005EA,B14007_005MA,B14007_006MA,B14007_006EA,B14007_007MA,B14007_007EA,B14007_008MA,B14007_008EA,B14007_009EA,B14007_009MA,B14007_010MA,B14007_010EA,B14007_011EA,B14007_011MA,B14007_012MA,B14007_012EA,B14007_013MA,B14007_013EA,B14007_014MA,B14007_014EA,B14007_015MA,B14007_015EA,B14007_016EA,B14007_016MA,B14007_017MA,B14007_017EA,B14007_018MA,B14007_018EA,B14007_019MA,B14007_019EA,state
0400000US01,4690508,4324,1191243,11259,65652,4386,65001,4354,62031,3702,65594,4248,65492,3915,58732,4339,59535,4118,62532,4180,63718,3828,59834,3616,67681,3717,64545,3756,62596,3630,66040,3621,256395,8098,45865,3640,3499265,11110,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,705529,1597,189880,4176,10764,1273,10324,1443,9634,1267,10303,1488,8731,1299,8617,1130,9844,1384,9507,1233,9091,1402,9866,974,11176,1420,10445,1346,8375,1414,11809,1598,40523,3107,10871,1381,515649,4349,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6574211,4651,1739821,13025,80763,3981,85834,4363,85505,4989,97314,4988,99352,4574,93563,4367,86830,4334,94315,4639,90345,4684,88471,4859,90860,4973,91372,4067,90276,4542,98889,4896,391963,9611,74169,4309,4834390,12979,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2865367,3720,742104,8337,47574,3800,40767,2496,37159,2937,40673,3386,42045,3102,39675,3020,40043,2744,38572,2930,39964,3156,36758,2986,40817,3582,34026,2490,35667,2584,41816,3447,158985,5941,27563,2837,2123263,8212,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37667270,13424,10484707,27485,596985,11219,524787,12014,474059,11446,487754,9423,511221,9739,511539,10695,506840,11654,511073,11758,497752,11068,505774,11151,503295,9828,526144,11261,524211,11206,610128,12641,2678820,24953,514325,10359,27182563,27681,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5257168,5530,1395429,11846,86298,4762,68968,3196,73401,4300,73465,4253,72120,3881,71691,3315,68458,4055,72119,3289,69446,4037,71050,4506,69930,3869,72521,4223,63474,3623,73743,3509,311546,7881,77199,4566,3861739,10925,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3482076,3642,913807,7465,56539,3715,40645,3346,39472,3531,40610,3355,45322,3003,42223,2957,48048,3263,47686,2743,41072,3398,42443,3007,50860,3846,47238,3235,47130,3379,54390,3203,215467,6373,54662,3781,2568269,7354,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,914137,2037,233348,4638,13741,1751,11358,1578,10103,1683,12696,1999,8501,1258,11156,1486,10359,1652,13845,1927,11850,1766,11810,1829,11958,1712,13030,1667,10832,1465,11667,1894,55844,3893,14598,2128,680789,4780,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,645020,2047,166940,4461,14587,1794,6855,1110,6367,1166,6235,1063,6160,1072,5479,1166,4178,852,4233,943,6058,1395,5844,1350,6261,1313,5657,1080,5008,1102,7679,1516,51175,2777,25164,2897,478080,4298,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19624613,9472,4706933,21984,288921,8979,223408,7774,225229,8374,226600,8125,243262,8958,231433,8324,225108,8319,218619,8368,226292,8629,241443,7843,245349,9092,231452,8429,246750,8001,261180,8403,1133705,19667,238182,10612,14917680,22684,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
