GEO_ID,B15002I_001E,B15002I_001M,B15002I_002E,B15002I_002M,B15002I_003E,B15002I_003M,B15002I_004E,B15002I_004M,B15002I_005E,B15002I_005M,B15002I_006E,B15002I_006M,B15002I_007E,B15002I_007M,B15002I_008E,B15002I_008M,B15002I_009E,B15002I_009M,B15002I_010E,B15002I_010M,B15002I_011E,B15002I_011M,B15002I_012E,B15002I_012M,B15002I_013E,B15002I_013M,B15002I_014E,B15002I_014M,B15002I_015E,B15002I_015M,B15002I_016E,B15002I_016M,B15002I_017E,B15002I_017M,B15002I_018E,B15002I_018M,B15002I_019E,B15002I_019M,NAME,B15002I_001EA,B15002I_001MA,B15002I_002EA,B15002I_002MA,B15002I_003EA,B15002I_003MA,B15002I_004EA,B15002I_004MA,B15002I_005MA,B15002I_005EA,B15002I_006EA,B15002I_006MA,B15002I_007EA,B15002I_007MA,B15002I_008EA,B15002I_008MA,B15002I_009EA,B15002I_009MA,B15002I_010EA,B15002I_010MA,B15002I_011MA,B15002I_011EA,B15002I_012EA,B15002I_012MA,B15002I_013EA,B15002I_013MA,B15002I_014EA,B15002I_014MA,B15002I_015EA,B15002I_015MA,B15002I_016MA,B15002I_016EA,B15002I_017EA,B15002I_017MA,B15002I_018EA,B15002I_018MA,B15002I_019EA,B15002I_019MA,state
0400000US01,96774,3198,53999,3203,14922,2564,10223,2451,13289,1849,1878,827,6267,1438,1828,786,3904,1259,1688,555,42775,2089,9908,1696,6177,1358,9361,1465,2129,1112,6034,1279,2299,801,4407,1188,2460,939,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,25926,1001,13080,975,883,582,804,429,2261,717,1071,513,3778,1002,1930,1057,1386,648,967,586,12846,739,576,469,797,617,2254,779,377,315,4683,1020,1779,757,1695,789,685,350,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1122913,1595,555194,1081,99496,4958,93045,5295,126887,5648,32956,3075,115167,5798,31588,3470,38877,3147,17178,2140,567719,1085,102004,4100,82156,4531,124975,5126,25423,2917,125146,5269,38377,2892,48820,3903,20818,2247,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,99470,2752,52809,1844,13894,1920,10707,1936,13651,2117,3342,1140,6258,1428,569,328,3114,1106,1274,590,46661,2174,13549,1776,6677,1336,9903,1485,2705,841,7067,1571,1460,684,4259,1218,1041,416,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8573223,1999,4266003,1635,1002271,15256,679164,15984,1016120,14433,134118,5455,759769,13405,208628,6976,342052,8662,123881,5522,4307220,1444,1014224,16049,595967,13416,959529,14134,104101,4022,817374,14309,261052,7577,392275,9837,162698,6370,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,633161,2109,320582,2054,49317,3863,51630,3587,79592,5004,20453,2329,59652,4040,18490,1959,27972,2564,13476,1595,312579,1319,46245,3555,43007,3979,68926,4520,17236,2077,65489,3728,23024,2725,33992,2764,14660,1838,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,310831,1248,151823,850,24097,3010,23482,2683,42946,4015,7669,1529,25880,2800,6998,1496,12119,1828,8632,1537,159008,989,22939,2373,19838,1925,37787,3105,9257,1378,27748,2583,12259,1984,17263,2173,11917,1788,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,44801,818,23504,564,5535,1161,4258,1023,6202,1345,1273,784,3287,992,682,474,1735,783,532,302,21297,616,4989,921,3497,1100,4350,1023,128,111,3323,848,1068,625,2336,904,1606,715,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,45602,-555555555,23356,-555555555,5396,1664,1944,896,2401,918,363,276,3163,1246,331,255,4613,1214,5145,1222,22246,-555555555,3645,1027,1829,681,3675,1459,172,234,2136,823,363,305,3916,922,6510,1245,District of Columbia,null,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3235668,4189,1559974,3225,203230,9325,161444,7728,409739,12531,60517,4684,258625,8395,130912,6917,225351,9037,110156,7129,1675694,3027,213599,8394,139996,7066,414142,11243,50197,3719,288918,9883,166408,6820,278326,9331,124108,6795,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
