GEO_ID,C08513_001E,C08513_001M,C08513_002E,C08513_002M,C08513_003E,C08513_003M,C08513_004E,C08513_004M,C08513_005E,C08513_005M,C08513_006E,C08513_006M,C08513_007E,C08513_007M,C08513_008E,C08513_008M,C08513_009E,C08513_009M,C08513_010E,C08513_010M,C08513_011E,C08513_011M,C08513_012E,C08513_012M,C08513_013E,C08513_013M,C08513_014E,C08513_014M,C08513_015E,C08513_015M,C08513_016E,C08513_016M,C08513_017E,C08513_017M,C08513_018E,C08513_018M,C08513_019E,C08513_019M,C08513_020E,C08513_020M,C08513_021E,C08513_021M,C08513_022E,C08513_022M,C08513_023E,C08513_023M,C08513_024E,C08513_024M,C08513_025E,C08513_025M,C08513_026E,C08513_026M,C08513_027E,C08513_027M,C08513_028E,C08513_028M,C08513_029E,C08513_029M,C08513_030E,C08513_030M,NAME,C08513_001MA,C08513_001EA,C08513_002MA,C08513_002EA,C08513_003MA,C08513_003EA,C08513_004EA,C08513_004MA,C08513_005EA,C08513_005MA,C08513_006MA,C08513_006EA,C08513_007MA,C08513_007EA,C08513_008MA,C08513_008EA,C08513_009EA,C08513_009MA,C08513_010MA,C08513_010EA,C08513_011MA,C08513_011EA,C08513_012MA,C08513_012EA,C08513_013MA,C08513_013EA,C08513_014EA,C08513_014MA,C08513_015EA,C08513_015MA,C08513_016EA,C08513_016MA,C08513_017MA,C08513_017EA,C08513_018MA,C08513_018EA,C08513_019EA,C08513_019MA,C08513_020EA,C08513_020MA,C08513_021MA,C08513_021EA,C08513_022MA,C08513_022EA,C08513_023MA,C08513_023EA,C08513_024EA,C08513_024MA,C08513_025EA,C08513_025MA,C08513_026EA,C08513_026MA,C08513_027EA,C08513_027MA,C08513_028MA,C08513_028EA,C08513_029MA,C08513_029EA,C08513_030EA,C08513_030MA,state
0400000US01,1964105,15947,1851442,16064,112663,5346,61887,4812,50776,3954,1677578,18087,1593202,18460,84376,5076,50346,3973,34030,3772,176571,8805,154376,7896,22195,3148,7999,2262,14196,2251,5882,1434,5393,1387,489,263,206,208,283,162,40317,3745,37354,3675,2963,1076,1596,676,1367,736,63757,4204,61117,4154,2640,809,1740,605,900,537,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,371382,5372,309136,4997,62246,3986,42419,3725,19827,2590,249521,5701,215065,5277,34456,3237,24747,2920,9709,1819,46229,3668,35543,3347,10686,1811,6715,1216,3971,1131,5676,1240,4848,1069,828,485,561,405,267,260,53861,3148,40179,2653,13682,1579,8874,1377,4808,1009,16095,2050,13501,1762,2594,915,1522,829,1072,365,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2872284,18674,2076659,18827,795625,13568,536338,12905,259287,10807,2214950,18622,1623619,16313,591331,11528,410954,10955,180377,7558,304761,9793,184948,7956,119813,7084,69617,5862,50196,4557,58998,4747,37293,3482,21705,3372,12318,2157,9387,2204,133894,6032,97221,5075,36673,3290,23895,2712,12778,2228,159681,5505,133578,5484,26103,2802,19554,2392,6549,1360,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1249200,11927,1153687,11145,95513,4247,46891,3670,48622,3741,1034815,13127,966697,12687,68118,3697,36549,3317,31569,2993,133098,6612,112353,6462,20745,2343,7236,1384,13509,2041,5537,1325,4930,1199,607,497,369,429,238,241,37380,3531,33730,3354,3650,1075,1548,599,2102,864,38370,2875,35977,2740,2393,939,1189,468,1204,770,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,17630992,45581,9648198,41476,7982794,41169,4617427,35359,3365367,29741,13031458,44167,7283209,40020,5748249,36711,3483459,32240,2264790,24813,1770645,23375,745173,12935,1025472,20562,483334,14140,542138,12985,923092,17850,444289,11703,478803,12912,240233,8694,238570,8628,935758,16903,519281,11638,416477,12210,222629,8193,193848,7629,970039,14583,656246,12620,313793,8993,187772,7501,126021,5664,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2731235,18274,2292880,17306,438355,10279,271622,8527,166733,6725,2089507,15608,1762606,15376,326901,9092,207229,7471,119672,5882,230890,9577,173586,7054,57304,5120,28586,3044,28718,3546,80556,5086,64455,4428,16101,2427,10342,1701,5759,1734,135378,5469,115403,5534,19975,2524,12427,1924,7548,1404,194904,7005,176830,6390,18074,2233,13038,1833,5036,1442,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1741224,12778,1350583,11829,390641,9376,248908,8597,141733,6592,1389816,14284,1107738,13650,282078,7991,186890,7639,95188,5508,136424,8492,87870,6342,48554,4727,24660,3281,23894,3283,60388,4654,35864,3698,24524,2743,13918,2136,10606,1723,69717,4494,47161,3477,22556,3068,14365,2123,8191,1749,84879,4806,71950,4347,12929,1753,9075,1458,3854,1264,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,440156,7251,381154,7079,59002,4055,40774,3679,18228,2371,359048,8389,312612,7912,46436,3778,32783,3477,13653,1942,36013,3538,28400,3359,7613,1633,4662,1266,2951,1055,9432,1593,8151,1588,1281,539,872,456,409,328,14785,1936,12418,1866,2367,917,1639,770,728,488,20878,2186,19573,2148,1305,438,818,393,487,258,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,839206,12936,620654,12070,218552,8669,147729,6881,70823,4478,350625,9708,258211,8505,92414,5360,62460,4599,29954,3050,73586,4271,48233,3165,25353,3319,15841,2635,9512,1769,319153,8187,239598,7333,79555,4853,54214,3990,25341,3034,74313,5118,58552,4924,15761,2058,11874,1901,3887,1193,21529,2463,16060,2166,5469,1467,3340,1099,2129,871,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8827805,36427,5999411,35812,2828394,30375,1696519,24534,1131875,23777,7042650,36939,4859472,33738,2183178,26922,1370480,22838,812698,17605,792524,18247,464488,11181,328036,14610,158141,9624,169895,10261,192889,8964,100050,6179,92839,6881,36410,3699,56429,5776,306435,10125,205136,8543,101299,6683,50719,5213,50580,4695,493307,15108,370265,11577,123042,8232,80769,5566,42273,4655,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
