GEO_ID,B25100_001E,B25100_001M,B25100_002E,B25100_002M,B25100_003E,B25100_003M,B25100_004E,B25100_004M,B25100_005E,B25100_005M,B25100_006E,B25100_006M,B25100_007E,B25100_007M,B25100_008E,B25100_008M,B25100_009E,B25100_009M,B25100_010E,B25100_010M,B25100_011E,B25100_011M,B25100_012E,B25100_012M,B25100_013E,B25100_013M,NAME,B25100_001EA,B25100_001MA,B25100_002MA,B25100_002EA,B25100_003MA,B25100_003EA,B25100_004MA,B25100_004EA,B25100_005MA,B25100_005EA,B25100_006MA,B25100_006EA,B25100_007MA,B25100_007EA,B25100_008MA,B25100_008EA,B25100_009MA,B25100_009EA,B25100_010MA,B25100_010EA,B25100_011MA,B25100_011EA,B25100_012MA,B25100_012EA,B25100_013MA,B25100_013EA,state
0400000US01,1253595,13117,712544,11099,321614,8947,177546,5554,82039,4865,125002,5804,6343,1409,541051,10124,224147,6909,88939,3676,59026,3622,158151,6188,10788,1612,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,159922,3409,104097,3504,29659,2024,30409,2489,20002,1698,23870,2167,157,150,55825,2421,22406,1840,9415,1440,5335,877,18534,1630,135,129,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1524828,12566,979425,13413,287315,6992,255705,8070,145567,5718,280361,8009,10477,1811,545403,8805,181438,6050,84453,3687,64725,3005,202630,5230,12157,1547,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,746000,10027,408732,8549,198805,6154,94996,4817,43444,2872,68771,4490,2716,885,337268,7752,146606,5471,55010,3108,37098,2720,93101,4314,5453,1146,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6910823,27840,4918415,27917,516575,9678,797758,12718,828196,13086,2748885,22635,27001,2463,1992408,17890,311268,7173,195817,5985,195259,5307,1263442,14772,26622,2207,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1322618,9565,953749,9215,194069,6060,255638,6446,178539,5333,323252,8108,2251,648,368869,6425,79066,3866,58081,3344,46545,2584,179968,4673,5209,1085,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,889035,8413,616925,8577,200909,5428,167363,5649,89641,3997,156355,4852,2657,976,272110,6303,66970,3784,47473,2735,32006,2158,122896,4544,2765,712,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,249681,4261,163216,4707,44894,2991,43659,2767,24738,2483,49386,3100,539,356,86465,3684,22032,1867,13729,1816,10504,1453,38608,2679,1592,654,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,112555,3556,85687,3563,11038,1462,16262,1684,17755,1740,40499,2824,133,137,26868,2013,4125,1026,3089,656,4070,895,15312,1553,272,188,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4760071,23483,2720156,19847,891014,17412,653111,13044,380820,10481,770076,13382,25135,3061,2039915,17473,653802,11466,329945,7948,234853,7682,776387,13193,44928,3156,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
