GEO_ID,B19001_001E,B19001_001M,B19001_002E,B19001_002M,B19001_003E,B19001_003M,B19001_004E,B19001_004M,B19001_005E,B19001_005M,B19001_006E,B19001_006M,B19001_007E,B19001_007M,B19001_008E,B19001_008M,B19001_009E,B19001_009M,B19001_010E,B19001_010M,B19001_011E,B19001_011M,B19001_012E,B19001_012M,B19001_013E,B19001_013M,B19001_014E,B19001_014M,B19001_015E,B19001_015M,B19001_016E,B19001_016M,B19001_017E,B19001_017M,NAME,B19001_001EA,B19001_001MA,B19001_002EA,B19001_002MA,B19001_003MA,B19001_003EA,B19001_004EA,B19001_004MA,B19001_005EA,B19001_005MA,B19001_006EA,B19001_006MA,B19001_007EA,B19001_007MA,B19001_008MA,B19001_008EA,B19001_009EA,B19001_009MA,B19001_010EA,B19001_010MA,B19001_011EA,B19001_011MA,B19001_012EA,B19001_012MA,B19001_013EA,B19001_013MA,B19001_014MA,B19001_014EA,B19001_015EA,B19001_015MA,B19001_016EA,B19001_016MA,B19001_017EA,B19001_017MA,state
0400000US01,1846390,11341,175030,6397,127716,5281,118330,6301,115843,4302,105015,5104,103419,5122,92640,4610,88450,4884,73254,4158,150846,6013,178506,5638,198404,8625,125913,5787,67847,3916,67117,3593,58060,3898,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,250185,2685,9842,1462,8052,1280,8962,1206,7948,1268,9594,1307,9312,1458,10653,1456,11326,1462,7661,1194,17831,1872,26416,2145,37646,3100,28571,2210,18408,1882,21191,1849,16772,1828,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2463008,12455,186362,7582,117941,5061,127312,5515,138715,5511,129829,5304,134024,6320,120831,5162,123438,6005,112579,6258,205224,6742,258631,7369,295729,8236,191438,6553,105972,5146,111497,4095,103486,4728,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1144663,8300,103788,4929,80765,4383,74574,4272,79082,3965,71857,3843,72241,4093,61504,3336,58489,4034,51970,3211,91200,4538,111498,5046,118687,4865,67737,3743,38338,3099,28889,2223,34044,2590,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12896357,19487,714835,11687,618011,12364,560177,10522,610409,13025,535174,12428,568347,11516,509526,11324,524715,10256,476840,10695,910215,17650,1208675,16041,1578811,16822,1189913,17649,779628,11087,963189,14118,1147892,12791,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2074735,7548,109740,4784,76242,4962,78078,4511,94793,5372,82041,4374,96000,4392,94658,4985,94464,4961,84216,4393,160123,6245,218560,7355,278937,7119,207223,6355,127008,4510,136241,4787,136411,4987,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1343703,6712,76091,3625,52141,3914,53716,3345,54382,3617,48458,3173,48603,3516,48005,3096,49889,3334,54238,3618,88952,4160,124132,4913,167378,5445,136495,4857,91735,4428,110764,4842,138724,4308,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,352595,3920,19146,2304,11772,1776,14735,1963,18128,1812,14881,1576,17395,2218,17887,1965,15329,1930,13379,1723,29418,2706,36908,2908,52486,3040,31945,2630,18796,2003,22193,2058,18197,1625,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,281787,3030,24290,2559,12308,1718,10691,1678,9907,1700,10814,1930,9265,1456,7393,1419,8972,1194,9720,1857,15656,2134,20760,2156,31240,2882,25997,2575,18986,1817,24445,2245,41343,2599,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7463184,23147,548613,10837,387849,10598,423590,11145,460310,10122,416306,9950,425260,10565,393918,9691,369770,8921,339181,8272,621336,12946,758970,15040,849139,14819,533357,9575,295708,8493,311201,9195,328676,7334,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
