GEO_ID,C18108_001E,C18108_001M,C18108_002E,C18108_002M,C18108_003E,C18108_003M,C18108_004E,C18108_004M,C18108_005E,C18108_005M,C18108_006E,C18108_006M,C18108_007E,C18108_007M,C18108_008E,C18108_008M,C18108_009E,C18108_009M,C18108_010E,C18108_010M,C18108_011E,C18108_011M,C18108_012E,C18108_012M,C18108_013E,C18108_013M,NAME,C18108_001MA,C18108_001EA,C18108_002MA,C18108_002EA,C18108_003EA,C18108_003MA,C18108_004EA,C18108_004MA,C18108_005EA,C18108_005MA,C18108_006MA,C18108_006EA,C18108_007MA,C18108_007EA,C18108_008MA,C18108_008EA,C18108_009EA,C18108_009MA,C18108_010EA,C18108_010MA,C18108_011MA,C18108_011EA,C18108_012MA,C18108_012EA,C18108_013MA,C18108_013EA,state
0400000US01,4781070,1376,1106716,3205,38966,3350,14627,2082,1053123,5314,2931080,4427,221951,7370,213634,7604,2495495,10004,743274,2863,137155,4938,170542,5351,435577,6228,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,713082,1787,185917,591,6506,1256,1437,613,177974,1417,457079,2180,25866,2144,21173,2513,410040,4138,70086,1161,12089,1437,15673,1404,42324,1928,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6719354,1844,1619393,860,41142,3889,17742,2180,1560509,4525,3992074,2837,232049,9321,186013,6976,3574012,11606,1107887,1814,182275,6100,204703,6108,720909,8324,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2924307,1290,703701,1621,29498,2885,10984,1662,663219,3718,1759383,2576,133659,5939,131118,5726,1494606,9076,461223,1744,82557,3546,112597,3914,266069,5050,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38649621,4947,9103139,2652,195310,7974,84453,5288,8823376,9290,24451851,6261,1090962,16005,927000,14943,22433889,22422,5094631,3307,757474,11513,1041695,12399,3295462,15716,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5367335,2710,1254800,1642,28478,2940,10852,1436,1215470,3814,3416438,4741,166452,6282,119779,5376,3130207,8627,696097,2574,111649,4433,116112,4750,468336,6000,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3537983,1086,761921,807,21133,2427,9453,1560,731335,2844,2232650,2041,106595,5204,84096,4618,2041959,7231,543412,1341,77378,3626,91035,4350,374999,5227,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,931203,797,203771,336,6703,1423,3017,1005,194051,1834,570682,1192,30134,2500,24766,2166,515782,3484,156750,724,25486,2266,23889,2010,107375,2455,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,660682,666,117415,217,3982,919,1006,467,112427,1106,469590,1182,27224,3051,18036,2108,424330,3696,73677,900,11140,1453,14322,1331,48215,1779,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19960169,3766,4093401,2676,135860,7714,44951,4286,3912590,9372,11988187,6314,625970,15038,560674,13650,10801543,21263,3878581,4401,611491,11514,689761,12553,2577329,15728,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,10024056,3586,2499334,2555,74551,4729,28054,3777,2396729,6500,6254418,5943,350000,10734,307996,10728,5596422,17869,1270304,3864,205979,6201,257690,7205,806635,8880,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1375062,2629,310995,495,6382,1268,1072,411,303541,1464,831201,2819,36272,2915,27554,2710,767375,3773,232866,722,32734,2395,44064,2867,156068,3627,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
