GEO_ID,C15002D_001E,C15002D_001M,C15002D_002E,C15002D_002M,C15002D_003E,C15002D_003M,C15002D_004E,C15002D_004M,C15002D_005E,C15002D_005M,C15002D_006E,C15002D_006M,C15002D_007E,C15002D_007M,C15002D_008E,C15002D_008M,C15002D_009E,C15002D_009M,C15002D_010E,C15002D_010M,C15002D_011E,C15002D_011M,NAME,C15002D_001MA,C15002D_001EA,C15002D_002MA,C15002D_002EA,C15002D_003EA,C15002D_003MA,C15002D_004MA,C15002D_004EA,C15002D_005MA,C15002D_005EA,C15002D_006MA,C15002D_006EA,C15002D_007MA,C15002D_007EA,C15002D_008MA,C15002D_008EA,C15002D_009MA,C15002D_009EA,C15002D_010MA,C15002D_010EA,C15002D_011MA,C15002D_011EA,state
0400000US01,40066,1720,18323,1225,2042,707,1355,465,3756,1160,11170,1159,21743,1319,3573,905,4472,1054,4378,1133,9320,1300,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,30790,995,13520,644,2495,715,4160,889,4366,803,2499,689,17270,746,3118,680,4010,751,5087,844,5055,944,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,151375,2980,68509,1850,8228,1452,8153,1612,11741,1650,40387,2272,82866,2084,10410,1563,12413,1776,18393,2004,41650,2422,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,27638,1835,13019,1090,1403,467,2256,815,1959,720,7401,967,14619,1363,2676,549,2898,834,2213,706,6832,1151,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4033232,11097,1846422,6716,199911,7298,260546,8027,425199,8259,960766,11253,2186810,6703,314627,7524,320107,8291,465411,10444,1086665,12254,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,109813,2615,48892,1684,5628,1061,8088,1327,8424,1399,26752,1932,60921,1682,10902,1503,10303,1507,10853,1472,28863,1870,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,106083,1737,50332,1310,4641,1121,6473,1489,5905,978,33313,2204,55751,1456,5647,1173,7649,1314,9550,1693,32905,2406,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,24681,1038,11689,912,799,466,914,486,1535,536,8441,1186,12992,434,1042,491,1873,587,1711,469,8366,822,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,19795,893,7972,609,410,222,304,236,1160,667,6098,754,11823,628,837,454,649,323,1008,422,9329,729,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,384019,5761,168974,3395,19058,2042,30548,2982,31116,2748,88252,4102,215045,3787,29566,2677,44673,4087,42312,3809,98494,4497,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,259293,3441,122275,2652,13415,1923,21125,2626,18935,2427,68800,3616,137018,2133,20780,2227,27006,2935,23107,2490,66125,3743,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
