GEO_ID,B24082_001E,B24082_001M,B24082_002E,B24082_002M,B24082_003E,B24082_003M,B24082_004E,B24082_004M,B24082_005E,B24082_005M,B24082_006E,B24082_006M,B24082_007E,B24082_007M,B24082_008E,B24082_008M,B24082_009E,B24082_009M,B24082_010E,B24082_010M,B24082_011E,B24082_011M,B24082_012E,B24082_012M,B24082_013E,B24082_013M,B24082_014E,B24082_014M,B24082_015E,B24082_015M,B24082_016E,B24082_016M,B24082_017E,B24082_017M,B24082_018E,B24082_018M,NAME,B24082_001EA,B24082_001MA,B24082_002MA,B24082_002EA,B24082_003MA,B24082_003EA,B24082_004MA,B24082_004EA,B24082_005EA,B24082_005MA,B24082_006EA,B24082_006MA,B24082_007EA,B24082_007MA,B24082_008MA,B24082_008EA,B24082_009EA,B24082_009MA,B24082_010MA,B24082_010EA,B24082_011MA,B24082_011EA,B24082_012EA,B24082_012MA,B24082_013EA,B24082_013MA,B24082_014MA,B24082_014EA,B24082_015MA,B24082_015EA,B24082_016EA,B24082_016MA,B24082_017EA,B24082_017MA,B24082_018EA,B24082_018MA,state
0400000US01,37165,452,36433,539,36119,567,50610,4482,39786,3534,38234,2349,46332,2280,74872,4661,26421,1126,25708,474,24070,610,23875,614,32838,4138,26253,1281,33594,4117,37237,1743,55520,4679,13797,3065,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,48144,3003,45092,4929,42353,4411,60201,9560,42214,4572,49701,4686,56442,8610,63985,7215,35215,6306,32088,1264,27973,1195,27492,1074,50929,5953,34898,4067,40344,5805,56019,4093,47274,8105,25061,6362,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,36370,405,35689,529,34700,1028,57423,6627,36904,2633,42212,1429,41813,1383,56688,3722,25352,1422,28519,613,26872,428,26672,429,36435,3518,34104,2929,31971,791,35191,1406,47036,3310,15882,924,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,32446,1123,32455,1405,32114,438,50852,1185,32097,3373,32107,1569,39052,2761,54471,7007,24159,4032,25020,523,22977,683,22906,694,28715,5763,29494,2191,29553,2552,34399,1884,48362,8995,15372,2729,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,40334,126,37801,479,36836,174,65768,2428,42822,1927,61254,559,60761,835,61617,585,30247,390,30516,124,27492,266,27225,154,41184,924,40147,574,40667,558,42842,2015,54358,2499,19782,674,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,42186,355,41660,414,41152,448,55401,6726,42385,3485,50045,1730,48492,2966,65738,3822,31874,1372,31153,255,30056,495,29599,798,38076,3680,36657,1374,37519,1645,38491,1919,53293,4416,17260,1283,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,50837,473,50921,537,50321,584,72472,7453,47323,3170,60584,2255,61549,2048,58813,3018,35808,1560,36272,568,33075,1174,32670,1041,38739,3248,42762,2322,46405,2800,57312,3857,52744,8718,19731,2592,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,41860,705,41336,778,40905,835,51190,4728,41871,6536,45516,3643,46383,4731,70680,11090,38003,6071,33126,2029,30585,839,30360,932,42271,14324,41264,3211,37441,6773,43933,2924,57721,5670,18180,5290,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,61276,1423,50827,2014,50288,3003,71273,30127,65633,6924,62480,15212,71096,6817,90725,2055,42195,13593,50477,961,37020,3174,36856,2995,50486,25576,51489,1188,58588,7076,51256,8580,85738,5156,36311,5868,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,33042,626,32078,170,31522,167,44635,3205,37154,1682,44235,1440,40882,878,61001,971,21786,487,26939,180,25594,222,25432,231,30658,976,32032,574,38281,848,37221,975,52128,2232,15587,458,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
