GEO_ID,B13002_001E,B13002_001M,B13002_002E,B13002_002M,B13002_003E,B13002_003M,B13002_004E,B13002_004M,B13002_005E,B13002_005M,B13002_006E,B13002_006M,B13002_007E,B13002_007M,B13002_008E,B13002_008M,B13002_009E,B13002_009M,B13002_010E,B13002_010M,B13002_011E,B13002_011M,B13002_012E,B13002_012M,B13002_013E,B13002_013M,B13002_014E,B13002_014M,B13002_015E,B13002_015M,B13002_016E,B13002_016M,B13002_017E,B13002_017M,B13002_018E,B13002_018M,B13002_019E,B13002_019M,NAME,B13002_001MA,B13002_001EA,B13002_002MA,B13002_002EA,B13002_003EA,B13002_003MA,B13002_004EA,B13002_004MA,B13002_005MA,B13002_005EA,B13002_006MA,B13002_006EA,B13002_007MA,B13002_007EA,B13002_008MA,B13002_008EA,B13002_009EA,B13002_009MA,B13002_010MA,B13002_010EA,B13002_011EA,B13002_011MA,B13002_012MA,B13002_012EA,B13002_013MA,B13002_013EA,B13002_014EA,B13002_014MA,B13002_015EA,B13002_015MA,B13002_016EA,B13002_016MA,B13002_017EA,B13002_017MA,B13002_018MA,B13002_018EA,B13002_019EA,B13002_019MA,state
0400000US01,1158297,4650,59374,4335,33227,2784,227,178,27334,2565,5666,1095,26147,3099,2584,763,20463,2465,3100,1530,1098923,5812,465780,7926,1856,621,150227,5857,313697,5785,633143,9151,161591,4181,285960,6228,185592,6319,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,173560,1820,11144,1545,7602,1298,18,30,6010,1136,1574,583,3542,929,508,342,2849,800,185,198,162416,2382,72329,2957,703,470,28490,2068,43136,2352,90087,3302,22339,1305,43239,1977,24509,2044,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1575353,3411,85798,4845,53783,3708,873,514,38835,3451,14075,2009,32015,3535,2933,980,25760,3239,3322,956,1489555,6208,601218,9695,2570,828,196135,5209,402513,7682,888337,9356,221118,2340,414340,5921,252879,8036,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,686648,3987,41817,3941,25765,2660,1213,529,19877,2594,4675,1188,16052,2690,1406,605,13414,1888,1232,1121,644831,5500,305130,7050,1466,794,106655,4577,197009,5331,339701,8189,90144,3325,155548,5339,94009,4165,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9677065,8920,478813,12151,316729,8660,2351,777,210151,7461,104227,5282,162084,7694,15161,2392,121439,6659,25484,2423,9198252,15412,3854341,21437,13139,1603,1181781,13880,2659421,15555,5343911,20932,1242851,4385,2714707,15712,1386353,14288,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1318722,3956,65555,4672,48776,3641,417,405,36930,3391,11429,1563,16779,2280,1851,677,12897,1896,2031,779,1253167,6428,576669,9175,1264,668,195360,6214,380045,6346,676498,8959,166641,3077,333231,6939,176626,5571,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,843839,2928,34705,3375,22771,2328,0,198,14990,1741,7781,1261,11934,2014,857,421,9005,1885,2072,808,809134,4436,322514,7110,760,415,81586,4116,240168,5719,486620,7769,120714,1741,232683,5337,133223,5727,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,219252,1579,9736,1627,6553,1152,29,52,4406,880,2118,713,3183,1021,499,443,2295,872,389,253,209516,2296,81442,3471,355,290,24903,2415,56184,2827,128074,4027,28938,952,62444,2431,36692,2828,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,205216,1191,8575,1449,4381,926,0,200,2117,608,2264,735,4194,1047,550,379,3022,796,622,442,196641,1871,50001,2901,53,67,18899,1888,31049,2192,146640,3051,19571,1595,88184,2526,38885,2077,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4566243,7157,208713,8469,122569,5720,1854,825,84889,4506,35826,3875,86144,5362,7369,1818,64951,4560,13824,2499,4357530,11166,1735334,17452,5843,1300,516971,12609,1212520,12718,2622196,18778,581149,6308,1245431,14452,795616,12027,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
