GEO_ID,C14007F_001E,C14007F_001M,C14007F_002E,C14007F_002M,C14007F_003E,C14007F_003M,C14007F_004E,C14007F_004M,C14007F_005E,C14007F_005M,C14007F_006E,C14007F_006M,C14007F_007E,C14007F_007M,NAME,C14007F_001MA,C14007F_001EA,C14007F_002MA,C14007F_002EA,C14007F_003MA,C14007F_003EA,C14007F_004EA,C14007F_004MA,C14007F_005MA,C14007F_005EA,C14007F_006MA,C14007F_006EA,C14007F_007MA,C14007F_007EA,state
0400000US01,51792,5914,20416,3330,2552,913,12338,2185,3678,1078,1848,908,31376,3656,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,11535,2825,2984,1442,413,387,1370,1039,376,394,825,598,8551,2077,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,459252,20248,147940,9413,12240,1826,67589,5402,39053,3972,29058,3703,311312,14547,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,61170,6080,22941,3235,2837,1274,10990,2003,5124,1265,3990,1325,38229,3982,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5048691,61860,1660260,27878,181608,8008,686751,16610,373332,10297,418569,10519,3388431,42424,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,200002,12308,61925,5719,6452,1150,31590,3963,12411,2110,11472,1594,138077,8085,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,171283,12363,52850,5576,5441,1428,24383,3306,12211,1977,10815,1917,118433,8145,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,18215,3791,5446,1631,431,401,2283,941,1449,777,1283,682,12769,2669,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,33369,3901,10320,1873,1325,904,4265,977,2245,686,2485,1216,23049,3030,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,505338,21655,144241,9087,16132,2793,57005,5195,32606,3688,38498,4756,361097,16089,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,266104,15518,92316,7381,13080,2232,45100,4599,20969,2973,13167,2514,173788,10457,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,10023,1818,2038,689,85,106,264,199,194,174,1495,588,7985,1604,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,35697,4522,10450,2031,1150,675,4955,1266,2392,825,1953,929,25247,3361,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,737965,23715,243668,10170,28090,3054,112012,5876,56016,4134,47550,3886,494297,16594,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,132547,9418,48497,4986,4750,1170,22415,2893,11831,2144,9501,1682,84050,6077,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,45253,5073,17123,2596,1949,626,7664,1741,4299,1228,3211,1293,28130,3491,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,64258,6037,22101,3143,3121,1116,9040,1622,4715,1059,5225,1241,42157,4088,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,35758,4257,13598,2295,2916,892,6772,1421,2312,830,1598,720,22160,2810,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,46825,5278,10602,2516,1517,895,4830,1392,1120,513,3135,1041,36223,4183,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,2863,1052,1682,864,0,163,387,302,523,425,772,497,1181,423,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,235604,11546,68558,5321,9025,1527,32377,3257,14402,1853,12754,2081,167046,8049,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
