GEO_ID,B25032G_001E,B25032G_001M,B25032G_002E,B25032G_002M,B25032G_003E,B25032G_003M,B25032G_004E,B25032G_004M,B25032G_005E,B25032G_005M,B25032G_006E,B25032G_006M,B25032G_007E,B25032G_007M,B25032G_008E,B25032G_008M,B25032G_009E,B25032G_009M,B25032G_010E,B25032G_010M,B25032G_011E,B25032G_011M,NAME,B25032G_001EA,B25032G_001MA,B25032G_002MA,B25032G_002EA,B25032G_003MA,B25032G_003EA,B25032G_004MA,B25032G_004EA,B25032G_005EA,B25032G_005MA,B25032G_006EA,B25032G_006MA,B25032G_007MA,B25032G_007EA,B25032G_008MA,B25032G_008EA,B25032G_009MA,B25032G_009EA,B25032G_010MA,B25032G_010EA,B25032G_011EA,B25032G_011MA,state
0400000US01,23592,2290,14987,1753,84,80,566,363,1153,697,1617,695,1168,589,504,299,751,395,2762,853,0,192,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,13146,1298,7302,1087,1456,546,672,356,945,357,1231,538,222,144,402,251,78,86,673,392,165,169,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,49645,3723,27984,2617,2379,559,381,192,1672,609,3877,1152,3747,848,2790,792,2713,881,3978,1080,124,177,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,16789,2315,9971,1733,372,207,609,416,1227,934,668,452,1092,534,400,275,536,366,1836,718,78,137,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,396677,8902,202686,6855,29184,2801,9742,1523,25992,2346,31945,2781,26557,2575,22430,2718,35603,3414,12275,2171,263,190,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,41962,3015,23020,2690,3750,1029,933,500,2095,798,1753,737,3873,1087,2794,865,2537,772,1153,425,54,89,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,23119,2658,8380,1408,1425,617,3160,1017,2167,668,2461,864,1575,762,1898,967,1850,840,203,335,0,198,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,6106,1197,2940,872,828,366,499,411,599,409,298,288,373,324,189,173,22,37,358,294,0,190,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,7086,1105,601,306,1775,674,0,200,366,214,673,510,789,428,449,219,2433,697,0,200,0,200,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,118853,6758,65884,4826,7364,1235,4107,1063,6034,1340,6822,1373,8091,1726,5337,1177,7298,1305,7784,1461,132,164,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,52346,3671,30515,3094,2866,898,1507,614,1697,598,4114,1255,3239,967,2279,1048,2477,810,3465,953,187,320,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,74120,3192,43816,2413,5835,994,1978,791,3312,901,4882,1000,4339,895,2800,802,7029,1255,129,120,0,182,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,10187,1799,6308,1236,347,374,266,248,402,313,277,330,523,416,796,548,26,44,1242,567,0,193,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,62159,3696,28787,2368,3920,839,3682,767,5104,974,6557,1339,3423,973,3101,1054,5618,1296,1814,652,153,167,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
