GEO_ID,B22002_001E,B22002_001M,B22002_002E,B22002_002M,B22002_003E,B22002_003M,B22002_004E,B22002_004M,B22002_005E,B22002_005M,B22002_006E,B22002_006M,B22002_007E,B22002_007M,B22002_008E,B22002_008M,B22002_009E,B22002_009M,B22002_010E,B22002_010M,B22002_011E,B22002_011M,B22002_012E,B22002_012M,B22002_013E,B22002_013M,B22002_014E,B22002_014M,B22002_015E,B22002_015M,B22002_016E,B22002_016M,B22002_017E,B22002_017M,B22002_018E,B22002_018M,B22002_019E,B22002_019M,B22002_020E,B22002_020M,B22002_021E,B22002_021M,B22002_022E,B22002_022M,B22002_023E,B22002_023M,B22002_024E,B22002_024M,B22002_025E,B22002_025M,B22002_026E,B22002_026M,B22002_027E,B22002_027M,NAME,B22002_001MA,B22002_001EA,B22002_002MA,B22002_002EA,B22002_003EA,B22002_003MA,B22002_004EA,B22002_004MA,B22002_005MA,B22002_005EA,B22002_006MA,B22002_006EA,B22002_007MA,B22002_007EA,B22002_008EA,B22002_008MA,B22002_009EA,B22002_009MA,B22002_010EA,B22002_010MA,B22002_011MA,B22002_011EA,B22002_012MA,B22002_012EA,B22002_013MA,B22002_013EA,B22002_014EA,B22002_014MA,B22002_015EA,B22002_015MA,B22002_016MA,B22002_016EA,B22002_017MA,B22002_017EA,B22002_018MA,B22002_018EA,B22002_019EA,B22002_019MA,B22002_020EA,B22002_020MA,B22002_021EA,B22002_021MA,B22002_022MA,B22002_022EA,B22002_023MA,B22002_023EA,B22002_024EA,B22002_024MA,B22002_025MA,B22002_025EA,B22002_026EA,B22002_026MA,B22002_027MA,B22002_027EA,state
0400000US01,1846390,11341,285429,9058,152464,6403,45097,3542,105427,5402,13824,2076,91603,4780,1940,820,132965,6522,19616,2004,29551,2845,6406,1433,23145,2356,83798,5203,1560961,12200,412621,8536,293896,7290,116341,5868,28953,2979,87388,5289,2384,764,1148340,11077,505065,8219,98547,4776,29056,2466,69491,3664,544728,10117,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,250185,2685,26915,2303,15749,1818,5704,977,9808,1562,2475,661,7333,1476,237,144,11166,1411,1403,391,2269,641,723,397,1546,506,7494,1036,223270,3426,70399,3546,48266,2909,21629,2285,8424,1165,13205,1750,504,235,152871,4390,64975,2560,9746,1501,3487,768,6259,1144,78150,3671,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2463008,12455,321127,7531,185032,6417,69081,3895,114083,5455,21811,2519,92272,4796,1868,801,136095,4783,23285,2319,31068,2423,10078,1643,20990,1883,81742,4102,2141881,12742,575876,11739,395644,9982,173376,7161,58724,4572,114652,5007,6856,1684,1566005,12455,665532,8810,126345,5785,46615,3690,79730,4021,774128,11866,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1144663,8300,156749,6143,82431,4989,26854,2497,53919,3728,7981,1426,45938,3738,1658,799,74318,3753,11882,1546,17976,2196,4090,1013,13886,1845,44460,3655,987914,8082,276342,6501,198853,6466,74451,3608,21835,2636,52616,3290,3038,951,711572,7790,323708,6947,53851,3301,16218,2066,37633,2737,334013,8200,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12896357,19487,1257012,16532,850053,14089,361565,9435,481360,11209,101301,5397,380059,9898,7128,1345,406959,9983,92704,4217,120072,5518,31726,2444,88346,4367,194183,6574,11639345,23365,3661415,24796,2661734,20715,972123,14763,320707,9098,651416,11555,27558,3000,7977930,26111,3226290,19967,920058,18255,322827,9699,597231,13899,3831582,24224,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2074735,7548,173729,6798,94755,4979,36002,2957,57902,4239,12604,2035,45298,3757,851,687,78974,4509,12973,1812,13273,2030,3897,913,9376,1756,52728,3545,1901006,9112,562569,9564,425359,7198,132818,5762,45441,3875,87377,4467,4392,1332,1338437,10389,563706,8766,89828,4306,31082,2672,58746,3543,684903,10688,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1343703,6712,169838,5982,67873,4071,17955,2199,49295,3418,6177,1497,43118,3094,623,387,101965,4985,12996,1685,22825,2597,7011,1434,15814,2225,66144,4315,1173865,6689,331918,7074,243540,7087,84708,4557,22729,2489,61979,3827,3670,1097,841947,9714,373098,7524,71771,4465,22089,2589,49682,3358,397078,8328,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,352595,3920,45905,2912,25195,2263,7387,1207,17507,2272,2144,739,15363,2086,301,201,20710,1991,3403,703,5562,1216,1411,537,4151,1033,11745,1583,306690,4582,80031,3411,56255,2619,22885,2308,6658,1369,16227,2044,891,484,226659,4574,103371,3775,19015,2009,5970,1170,13045,1545,104273,4504,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,281787,3030,43203,2879,21005,2213,3216,1046,17593,1965,1422,770,16171,1897,196,161,22198,2123,1959,651,5776,1165,974,374,4802,1079,14463,1772,238584,3971,42889,2671,27038,2401,15586,2079,4152,1269,11434,1652,265,204,195695,4629,39644,2548,14366,1828,4286,933,10080,1576,141685,4792,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7463184,23147,1112925,15882,540171,13311,196093,7661,338344,10018,61412,4931,276932,8536,5734,1355,572754,12265,115341,5744,144753,6555,39531,3472,105222,5496,312660,9150,6350259,23055,1493592,16539,1018048,13866,461775,12420,130041,7350,331734,10576,13769,1986,4856667,21245,2115294,21244,416963,9977,128677,5897,288286,9259,2324410,22414,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
