GEO_ID,B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M,B03002_013E,B03002_013M,B03002_014E,B03002_014M,B03002_015E,B03002_015M,B03002_016E,B03002_016M,B03002_017E,B03002_017M,B03002_018E,B03002_018M,B03002_019E,B03002_019M,B03002_020E,B03002_020M,B03002_021E,B03002_021M,NAME,B03002_001MA,B03002_001EA,B03002_002MA,B03002_002EA,B03002_003EA,B03002_003MA,B03002_004EA,B03002_004MA,B03002_005MA,B03002_005EA,B03002_006MA,B03002_006EA,B03002_007MA,B03002_007EA,B03002_008EA,B03002_008MA,B03002_009EA,B03002_009MA,B03002_010MA,B03002_010EA,B03002_011MA,B03002_011EA,B03002_012MA,B03002_012EA,B03002_013MA,B03002_013EA,B03002_014EA,B03002_014MA,B03002_015EA,B03002_015MA,B03002_016EA,B03002_016MA,B03002_017MA,B03002_017EA,B03002_018MA,B03002_018EA,B03002_019EA,B03002_019MA,B03002_020EA,B03002_020MA,B03002_021EA,B03002_021MA,state
0400000US01,4858979,-555555555,4666109,2261,3204076,917,1296681,5680,19069,2524,58918,2343,2566,1768,5590,2102,79209,6073,1159,671,78050,6042,192870,2261,125837,5725,6617,2020,1434,1659,475,368,1882,2318,48515,5710,8110,1950,5195,1566,2915,1203,Alabama,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,738432,-555555555,686607,-555555555,452472,1051,24739,1714,98300,2777,45753,2395,6341,1701,2201,1729,56801,4322,590,417,56211,4357,51825,-555555555,28842,3033,1437,805,2833,1897,1542,894,421,535,10266,2609,6484,2003,2581,1372,3903,1408,Alaska,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6828065,-555555555,4729654,-555555555,3802263,2149,282718,5805,276132,4377,210922,4689,9963,1106,6951,2049,140705,9467,3761,1204,136944,9223,2098411,-555555555,1483731,23686,17967,3492,32337,5946,6634,2180,1321,616,474680,21301,81741,6271,41490,4856,40251,4409,Arizona,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2978204,-555555555,2770461,2071,2174934,1792,466486,4815,18221,2374,41932,2461,7551,897,3826,1736,57511,5289,1879,1144,55632,5273,207743,2071,133113,6148,3069,1298,2576,1351,472,437,88,155,61716,6080,6709,1911,4270,1489,2439,1104,Arkansas,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,39144818,-555555555,23960273,-555555555,14815122,7888,2192844,12770,135866,6180,5476958,18924,143408,4915,87813,9185,1108262,25932,45126,6089,1063136,25240,15184545,-555555555,9009132,63463,84385,7985,146911,10689,71978,6554,14146,3705,5212484,62591,645509,20286,330556,13368,314953,15177,California,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5456574,-555555555,4292296,-555555555,3737243,4050,213389,5356,26239,2564,158584,4831,8499,1304,13900,4220,134442,7368,3841,1470,130601,7080,1164278,-555555555,870147,13863,11420,2371,22899,4303,4296,1861,637,517,195990,12515,58889,5690,27140,3308,31749,4241,Colorado,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3590886,-555555555,3037103,-555555555,2439796,2532,355469,5227,4235,1223,155610,2693,468,212,9375,2709,72150,5614,4391,1342,67759,5329,553783,-555555555,308147,12265,25102,3869,4658,1532,639,377,51,83,170732,12060,44454,4922,23634,3612,20820,2874,Connecticut,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,945934,-555555555,860628,-555555555,596375,969,200433,2909,2397,695,35950,1542,265,257,3242,1313,21966,3576,1056,720,20910,3467,85306,-555555555,58529,4579,3430,1035,724,689,164,185,69,120,15915,3598,6475,1791,2444,1049,4031,1554,Delaware,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,672228,-555555555,601099,-555555555,241855,788,312914,2187,959,436,25633,1023,367,382,2976,1511,16395,1999,1023,548,15372,1862,71129,-555555555,27288,3530,5917,2194,702,1129,311,315,108,183,31821,4041,4982,1518,2560,1171,2422,966,District of Columbia,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,20271272,-555555555,15308367,1011,11170487,5912,3145615,13813,33659,3564,534389,8822,9616,2152,57413,6689,357188,16431,24566,4588,332622,15707,4962905,1011,4186887,25974,135163,8814,13373,3017,9679,2373,2282,1446,470853,22114,144668,10392,63083,6566,81585,8702,Florida,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
