GEO_ID,C01001I_001E,C01001I_001M,C01001I_002E,C01001I_002M,C01001I_003E,C01001I_003M,C01001I_004E,C01001I_004M,C01001I_005E,C01001I_005M,C01001I_006E,C01001I_006M,C01001I_007E,C01001I_007M,C01001I_008E,C01001I_008M,C01001I_009E,C01001I_009M,NAME,C01001I_001MA,C01001I_001EA,C01001I_002EA,C01001I_002MA,C01001I_003EA,C01001I_003MA,C01001I_004EA,C01001I_004MA,C01001I_005MA,C01001I_005EA,C01001I_006MA,C01001I_006EA,C01001I_007MA,C01001I_007EA,C01001I_008EA,C01001I_008MA,C01001I_009EA,C01001I_009MA,state
0400000US01,192870,2261,102026,3664,38902,1942,60955,3170,2169,792,90844,3826,37433,2958,50066,2247,3345,892,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,51825,-555555555,26777,774,8468,685,17783,810,526,333,25048,773,8693,599,14985,679,1370,471,Alaska,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2098411,-555555555,1053382,970,358619,956,634826,467,59937,468,1045029,970,346216,955,623936,476,74877,443,Arizona,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,207743,2071,108721,2466,43658,2048,61791,1229,3272,731,99022,2006,38120,1866,56815,1379,4087,1101,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15184545,-555555555,7637642,2003,2411066,1702,4794831,977,431745,947,7546903,2002,2325477,1662,4650466,1048,570960,851,California,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1164278,-555555555,593700,2122,200825,1977,359764,1290,33111,799,570578,2124,192196,1919,338606,1178,39776,1093,Colorado,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,553783,-555555555,276489,962,88600,915,174878,587,13011,446,277294,962,85844,915,173995,625,17455,485,Connecticut,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,85306,-555555555,44559,636,15725,547,26632,341,2202,425,40747,636,14659,547,24189,273,1899,270,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,71129,-555555555,36592,319,9348,319,26116,697,1128,697,34537,318,8228,318,23966,-555555555,2343,-555555555,District of Columbia,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,*****,11
0400000US12,4962905,1011,2442736,2884,622102,2540,1583921,2206,236713,1686,2520169,2959,602471,2587,1584198,1989,333500,1831,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
