GEO_ID,B20004_001E,B20004_001M,B20004_002E,B20004_002M,B20004_003E,B20004_003M,B20004_004E,B20004_004M,B20004_005E,B20004_005M,B20004_006E,B20004_006M,B20004_007E,B20004_007M,B20004_008E,B20004_008M,B20004_009E,B20004_009M,B20004_010E,B20004_010M,B20004_011E,B20004_011M,B20004_012E,B20004_012M,B20004_013E,B20004_013M,B20004_014E,B20004_014M,B20004_015E,B20004_015M,B20004_016E,B20004_016M,B20004_017E,B20004_017M,B20004_018E,B20004_018M,NAME,B20004_001EA,B20004_001MA,B20004_002EA,B20004_002MA,B20004_003MA,B20004_003EA,B20004_004EA,B20004_004MA,B20004_005EA,B20004_005MA,B20004_006EA,B20004_006MA,B20004_007EA,B20004_007MA,B20004_008MA,B20004_008EA,B20004_009EA,B20004_009MA,B20004_010EA,B20004_010MA,B20004_011EA,B20004_011MA,B20004_012EA,B20004_012MA,B20004_013MA,B20004_013EA,B20004_014MA,B20004_014EA,B20004_015EA,B20004_015MA,B20004_016EA,B20004_016MA,B20004_017EA,B20004_017MA,B20004_018MA,B20004_018EA,state
0400000US01,32468,660,20732,713,27223,565,30878,450,46740,1008,56164,1060,40366,365,25122,961,33864,1989,40592,595,60321,1233,76121,2916,26849,524,14134,1061,20847,548,25396,552,39543,1806,50413,765,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,41968,694,21923,2102,33815,2823,41036,754,52885,4134,70590,3614,51160,745,26389,4168,41365,2288,50968,1304,64905,4481,77073,5282,34713,2557,16073,4237,25312,1623,31797,1025,42423,6879,64785,4675,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,35016,455,20377,374,27947,794,33632,800,49801,1542,60884,749,40163,350,22690,899,31563,504,40033,858,60684,876,77580,4262,30484,320,15639,725,23454,815,30015,541,40862,810,50530,828,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,30983,294,21608,759,26241,447,30020,787,42828,1580,55490,1807,35947,630,25422,937,31159,519,36451,1076,52803,4026,71766,2939,26448,492,16301,877,20966,446,25367,604,38758,1811,50082,2031,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37476,182,20880,143,29108,471,36161,200,57282,554,80442,346,42110,129,24014,343,32194,200,42159,213,67274,739,100017,2192,31960,128,16166,218,23233,392,30683,187,50053,570,66382,689,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,40229,276,25304,684,31280,351,35392,398,50196,609,63270,3095,46719,527,30123,1554,36628,652,41441,591,61150,803,82156,2192,32327,271,16633,948,25450,700,29651,944,40975,521,52012,633,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,46500,474,22595,1271,35288,514,40982,558,61071,913,77568,1988,53355,1957,28932,3518,41902,706,48484,2142,75348,3577,98411,3908,39554,1067,18348,1148,27322,1042,35862,714,49547,2246,66887,2117,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,40734,549,25297,2528,30752,796,36993,1455,52261,1679,65967,2368,45135,1663,28306,3462,37460,1794,41490,1075,61339,1390,77467,8304,35938,852,21795,1626,25000,2478,31528,1326,47232,2207,61040,1744,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,57512,2431,23604,3712,28467,2438,38881,3384,64142,3328,84682,3532,64754,3885,26203,2460,30241,2205,41206,3760,70920,2931,96219,3781,51981,1277,20998,2497,26594,1452,35878,5467,57796,4120,76357,2910,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,31662,132,19735,398,25474,241,31137,188,42714,836,57128,1008,35830,238,22216,449,29254,693,35610,387,51349,385,71555,875,28564,397,15978,411,21373,229,27766,500,38424,775,50339,397,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
