GEO_ID,B25118_001E,B25118_001M,B25118_002E,B25118_002M,B25118_003E,B25118_003M,B25118_004E,B25118_004M,B25118_005E,B25118_005M,B25118_006E,B25118_006M,B25118_007E,B25118_007M,B25118_008E,B25118_008M,B25118_009E,B25118_009M,B25118_010E,B25118_010M,B25118_011E,B25118_011M,B25118_012E,B25118_012M,B25118_013E,B25118_013M,B25118_014E,B25118_014M,B25118_015E,B25118_015M,B25118_016E,B25118_016M,B25118_017E,B25118_017M,B25118_018E,B25118_018M,B25118_019E,B25118_019M,B25118_020E,B25118_020M,B25118_021E,B25118_021M,B25118_022E,B25118_022M,B25118_023E,B25118_023M,B25118_024E,B25118_024M,B25118_025E,B25118_025M,NAME,B25118_001MA,B25118_001EA,B25118_002MA,B25118_002EA,B25118_003MA,B25118_003EA,B25118_004MA,B25118_004EA,B25118_005MA,B25118_005EA,B25118_006MA,B25118_006EA,B25118_007MA,B25118_007EA,B25118_008MA,B25118_008EA,B25118_009MA,B25118_009EA,B25118_010MA,B25118_010EA,B25118_011MA,B25118_011EA,B25118_012MA,B25118_012EA,B25118_013MA,B25118_013EA,B25118_014MA,B25118_014EA,B25118_015MA,B25118_015EA,B25118_016MA,B25118_016EA,B25118_017MA,B25118_017EA,B25118_018MA,B25118_018EA,B25118_019EA,B25118_019MA,B25118_020MA,B25118_020EA,B25118_021MA,B25118_021EA,B25118_022MA,B25118_022EA,B25118_023MA,B25118_023EA,B25118_024EA,B25118_024MA,B25118_025MA,B25118_025EA,state
0400000US01,1846390,11341,1253595,13117,32921,2856,32429,2789,60792,3644,60063,3656,64931,3701,129463,5360,171974,4674,248330,5778,164813,6682,172364,7152,115515,4644,592795,11428,50568,3123,59112,4221,66924,4067,58267,4641,50912,3523,78971,4503,82370,5299,81022,4504,33591,3600,21396,2366,9662,1549,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,250185,2685,159922,3409,1700,426,2278,671,3033,711,3026,550,3917,783,8185,1272,16447,1750,26816,2059,25255,2197,35769,2402,33496,2056,90263,3323,2747,760,3117,847,5019,1151,5936,1083,4031,914,10721,1588,13193,1552,17431,2236,12391,2039,11210,1586,4467,896,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2463008,12455,1524828,12566,40684,2821,30851,2533,46676,2659,58931,3233,64294,3840,136409,5631,206854,6499,298711,7752,215259,6963,235482,6279,190677,4686,938180,12431,59025,4415,55802,3913,71265,4141,68381,4552,74421,4350,127444,4436,149994,5865,165144,6398,80470,4848,61928,4610,24306,2623,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1144663,8300,746000,10027,17555,2352,18428,1729,38184,2504,39535,2828,39895,2645,81932,4145,113682,5058,151070,5280,95818,4284,92228,4184,57673,2899,398663,8123,28952,3118,38853,3330,42581,3333,35039,2879,39187,3363,62166,4031,58281,3917,51628,3450,22869,2609,13847,1903,5260,1377,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12896357,19487,6910823,27840,114983,4755,90442,3871,160403,5941,181961,5861,216153,6111,425004,9899,665534,11192,1095990,14744,942442,14279,1350861,14622,1667050,18504,5985534,26745,262767,8255,246643,8203,457608,10745,378216,9113,394256,11057,678517,11282,845547,13677,1022900,18335,636369,12879,618680,10872,444031,9509,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2074735,7548,1322618,9565,19838,1909,16108,1589,29326,2795,33380,2567,39262,2882,84320,4098,147332,5254,236133,7407,203158,6012,269200,6894,244561,5558,752117,9473,36091,3051,37703,3079,46916,3792,44698,3316,55531,4337,93721,5399,126006,5843,142550,6215,75779,4304,65031,3986,28091,2760,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1343703,6712,889035,8413,12052,1645,7402,1381,16125,1604,19349,1788,22856,2066,47468,3121,79911,4215,135508,4574,126183,4679,192457,6988,229724,5105,454668,8901,27175,2591,29462,2733,36016,3532,34367,2985,31526,2939,49593,4214,72221,3998,77576,4754,41195,3135,35773,3032,19764,2047,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,352595,3920,249681,4261,5564,1117,2635,716,5807,1008,7324,1261,10404,1469,18669,1747,30522,2516,47868,3067,40931,2904,43047,2811,36910,2481,102914,4301,6049,1400,4898,1262,5965,1379,7411,1527,7724,1363,13607,2095,16073,2066,18458,2097,11555,1589,7694,1553,3480,1003,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,281787,3030,112555,3556,1075,421,1464,514,1636,590,1887,857,2565,809,4216,922,7364,1263,12053,1462,11795,1315,21958,2200,46542,2563,169232,4150,10984,1777,10767,1732,10672,1567,8804,1420,7342,1459,15863,2243,18721,1733,24363,2514,19445,2635,23025,2200,19246,1961,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7463184,23147,4760071,23483,129487,6194,103333,5233,181622,6386,212075,6483,240462,7930,460206,10218,660233,11809,910334,14298,630942,13029,668157,12152,563220,9569,2703113,22882,153545,7212,162248,7745,206227,8346,211515,8086,219848,7819,381360,11017,442636,11464,469972,13097,218197,8027,160908,7224,76657,5205,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
