GEO_ID,B17001C_001E,B17001C_001M,B17001C_002E,B17001C_002M,B17001C_003E,B17001C_003M,B17001C_004E,B17001C_004M,B17001C_005E,B17001C_005M,B17001C_006E,B17001C_006M,B17001C_007E,B17001C_007M,B17001C_008E,B17001C_008M,B17001C_009E,B17001C_009M,B17001C_010E,B17001C_010M,B17001C_011E,B17001C_011M,B17001C_012E,B17001C_012M,B17001C_013E,B17001C_013M,B17001C_014E,B17001C_014M,B17001C_015E,B17001C_015M,B17001C_016E,B17001C_016M,B17001C_017E,B17001C_017M,B17001C_018E,B17001C_018M,B17001C_019E,B17001C_019M,B17001C_020E,B17001C_020M,B17001C_021E,B17001C_021M,B17001C_022E,B17001C_022M,B17001C_023E,B17001C_023M,B17001C_024E,B17001C_024M,B17001C_025E,B17001C_025M,B17001C_026E,B17001C_026M,B17001C_027E,B17001C_027M,B17001C_028E,B17001C_028M,B17001C_029E,B17001C_029M,B17001C_030E,B17001C_030M,B17001C_031E,B17001C_031M,B17001C_032E,B17001C_032M,B17001C_033E,B17001C_033M,B17001C_034E,B17001C_034M,B17001C_035E,B17001C_035M,B17001C_036E,B17001C_036M,B17001C_037E,B17001C_037M,B17001C_038E,B17001C_038M,B17001C_039E,B17001C_039M,B17001C_040E,B17001C_040M,B17001C_041E,B17001C_041M,B17001C_042E,B17001C_042M,B17001C_043E,B17001C_043M,B17001C_044E,B17001C_044M,B17001C_045E,B17001C_045M,B17001C_046E,B17001C_046M,B17001C_047E,B17001C_047M,B17001C_048E,B17001C_048M,B17001C_049E,B17001C_049M,B17001C_050E,B17001C_050M,B17001C_051E,B17001C_051M,B17001C_052E,B17001C_052M,B17001C_053E,B17001C_053M,B17001C_054E,B17001C_054M,B17001C_055E,B17001C_055M,B17001C_056E,B17001C_056M,B17001C_057E,B17001C_057M,B17001C_058E,B17001C_058M,B17001C_059E,B17001C_059M,NAME,B17001C_001EA,B17001C_001MA,B17001C_002MA,B17001C_002EA,B17001C_003EA,B17001C_003MA,B17001C_004EA,B17001C_004MA,B17001C_005MA,B17001C_005EA,B17001C_006MA,B17001C_006EA,B17001C_007EA,B17001C_007MA,B17001C_008EA,B17001C_008MA,B17001C_009EA,B17001C_009MA,B17001C_010MA,B17001C_010EA,B17001C_011EA,B17001C_011MA,B17001C_012MA,B17001C_012EA,B17001C_013MA,B17001C_013EA,B17001C_014EA,B17001C_014MA,B17001C_015EA,B17001C_015MA,B17001C_016EA,B17001C_016MA,B17001C_017MA,B17001C_017EA,B17001C_018EA,B17001C_018MA,B17001C_019MA,B17001C_019EA,B17001C_020MA,B17001C_020EA,B17001C_021MA,B17001C_021EA,B17001C_022EA,B17001C_022MA,B17001C_023EA,B17001C_023MA,B17001C_024MA,B17001C_024EA,B17001C_025MA,B17001C_025EA,B17001C_026EA,B17001C_026MA,B17001C_027MA,B17001C_027EA,B17001C_028MA,B17001C_028EA,B17001C_029EA,B17001C_029MA,B17001C_030MA,B17001C_030EA,B17001C_031MA,B17001C_031EA,B17001C_032MA,B17001C_032EA,B17001C_033EA,B17001C_033MA,B17001C_034EA,B17001C_034MA,B17001C_035MA,B17001C_035EA,B17001C_036MA,B17001C_036EA,B17001C_037EA,B17001C_037MA,B17001C_038MA,B17001C_038EA,B17001C_039MA,B17001C_039EA,B17001C_040EA,B17001C_040MA,B17001C_041MA,B17001C_041EA,B17001C_042EA,B17001C_042MA,B17001C_043MA,B17001C_043EA,B17001C_044EA,B17001C_044MA,B17001C_045EA,B17001C_045MA,B17001C_046MA,B17001C_046EA,B17001C_047EA,B17001C_047MA,B17001C_048EA,B17001C_048MA,B17001C_049MA,B17001C_049EA,B17001C_050MA,B17001C_050EA,B17001C_051EA,B17001C_051MA,B17001C_052EA,B17001C_052MA,B17001C_053EA,B17001C_053MA,B17001C_054MA,B17001C_054EA,B17001C_055EA,B17001C_055MA,B17001C_056EA,B17001C_056MA,B17001C_057MA,B17001C_057EA,B17001C_058EA,B17001C_058MA,B17001C_059EA,B17001C_059MA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,98645,3273,23839,2190,11463,1246,1986,556,285,84,1430,230,620,160,99,43,294,84,1635,452,1647,383,1171,396,1021,258,1036,297,161,86,78,41,12376,1262,1736,348,366,154,1666,359,559,135,123,63,393,172,1955,478,2075,614,1065,263,1241,285,936,257,147,82,114,72,74806,3014,37783,1987,2932,565,585,189,4261,741,1798,453,1035,523,1161,322,5045,1011,5173,617,3922,706,4584,716,4052,624,2161,288,1074,220,37023,2131,2504,547,531,253,3973,677,1687,450,554,199,1736,783,3209,417,5074,652,4855,682,4295,639,4520,652,2850,452,1235,217,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,301124,7614,107724,8224,50071,4303,6236,958,1196,449,8093,1879,2852,706,1327,420,1872,475,6151,1044,7302,1180,4684,774,4658,918,3315,678,1628,361,757,234,57653,4792,6001,1034,753,267,7196,1167,3483,889,1020,440,1849,675,7393,1089,8970,1235,5831,1025,6217,1078,4401,856,1954,394,2585,541,193400,8558,93548,4753,5799,1168,1282,602,9000,1222,3233,965,1286,360,3702,691,12927,1603,15022,1555,12920,1440,11795,1151,8531,1064,4791,573,3260,669,99852,4936,6524,1012,1198,446,9852,1564,3431,740,2016,599,2771,610,9823,1339,15163,1254,13532,1481,13582,1133,11209,912,7084,740,3667,604,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,20137,2904,4035,1704,1976,1063,145,184,171,179,420,472,18,45,0,190,113,188,205,230,182,227,64,89,366,248,49,68,131,222,112,143,2059,910,10,21,137,203,305,265,144,162,0,190,97,102,222,224,442,346,117,128,326,270,259,291,0,190,0,190,16102,2465,6657,1404,262,234,281,372,713,438,181,168,115,160,96,109,734,480,703,498,1122,530,1128,468,520,337,645,402,157,152,9445,1671,584,484,328,358,1023,321,865,613,371,306,191,170,548,384,1365,556,851,337,1285,501,846,453,652,373,536,513,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,275171,13027,62188,6778,28285,3921,4215,1355,624,541,3951,1024,1589,485,506,382,1252,551,3237,1061,2645,864,3150,827,2623,894,3233,755,954,364,306,228,33903,3693,3391,986,841,398,3575,889,1536,593,601,347,1219,496,3508,846,5311,1006,4166,899,3664,828,3833,781,1391,543,867,390,212983,11294,105785,6913,6782,1419,1578,696,7363,1386,2960,816,1544,874,3440,786,12679,1799,16441,2451,13686,1707,15021,2125,13008,1627,7278,1145,4005,893,107198,5833,4964,1088,1736,613,8605,1380,4093,965,1745,563,2163,699,11010,1633,14829,1786,12792,1736,15614,1895,15485,1784,9311,1374,4851,841,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,46979,4066,10119,2679,4239,1377,98,104,0,193,601,628,157,141,94,119,0,193,341,299,481,357,600,441,875,632,289,216,393,271,310,401,5880,1892,700,771,124,211,584,446,112,122,201,206,259,278,734,578,1251,672,498,322,457,328,628,282,308,211,24,44,36860,3685,18969,2235,659,441,177,187,1171,573,551,336,463,380,699,420,1530,738,3139,959,3344,1113,3043,782,2586,830,1175,514,432,241,17891,2371,697,409,496,353,974,391,534,306,0,193,578,505,1512,649,2196,594,3781,1146,2250,818,2472,585,1629,519,772,397,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,45476,5002,7364,2014,2589,1124,300,367,0,217,129,127,0,217,79,96,0,217,205,188,324,438,371,287,391,267,496,325,221,206,73,120,4775,1313,193,217,0,217,226,237,76,83,0,217,43,32,372,273,408,383,599,399,1398,682,580,312,693,441,187,181,38112,4397,18878,3073,746,470,150,216,1002,476,511,406,673,629,749,496,1261,477,1897,1068,2927,997,3465,1092,2744,773,1859,576,894,444,19234,2278,648,482,209,204,1191,433,748,417,535,373,481,292,1920,655,2178,637,3281,1010,2815,835,2552,731,1994,775,682,385,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
