GEO_ID,B18101F_001E,B18101F_001M,B18101F_002E,B18101F_002M,B18101F_003E,B18101F_003M,B18101F_004E,B18101F_004M,B18101F_005E,B18101F_005M,B18101F_006E,B18101F_006M,B18101F_007E,B18101F_007M,B18101F_008E,B18101F_008M,B18101F_009E,B18101F_009M,B18101F_010E,B18101F_010M,NAME,B18101F_001MA,B18101F_001EA,B18101F_002MA,B18101F_002EA,B18101F_003MA,B18101F_003EA,B18101F_004MA,B18101F_004EA,B18101F_005EA,B18101F_005MA,B18101F_006EA,B18101F_006MA,B18101F_007MA,B18101F_007EA,B18101F_008MA,B18101F_008EA,B18101F_009MA,B18101F_009EA,B18101F_010EA,B18101F_010MA,state
0400000US01,53310,6018,22233,3358,664,440,21569,3341,30262,3751,1741,913,28521,3476,815,571,245,241,570,538,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,11566,3103,3434,1441,13,25,3421,1433,7777,2114,716,617,7061,1888,355,280,63,128,292,247,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,475789,21452,150655,9389,6770,1407,143885,9175,298033,13855,27366,2925,270667,12661,27101,2778,11662,1982,15439,2107,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,64714,6271,24695,3377,560,394,24135,3324,37154,3927,2081,719,35073,3910,2865,970,816,494,2049,845,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5238180,64177,1549594,26738,41928,3460,1507666,25968,3407241,40732,228866,8468,3178375,38890,281345,9281,105893,5814,175452,6853,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,208187,13054,62555,6388,3190,1343,59365,6299,132833,7598,10731,1454,122102,7541,12799,1746,5541,1001,7258,1500,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,175852,12967,51061,5478,3479,1137,47582,5357,117237,8364,12639,2141,104598,8318,7554,1393,3520,916,4034,997,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,19002,3819,5274,1579,380,379,4894,1466,12897,2674,1267,672,11630,2578,831,422,258,313,573,401,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,34375,4103,9278,1760,529,369,8749,1815,23914,2888,1301,680,22613,2817,1183,790,195,314,988,727,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,524760,23006,131313,9592,5981,1715,125332,9552,357546,15901,28287,3286,329259,15508,35901,4069,11684,1775,24217,3295,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
