GEO_ID,B17010I_001E,B17010I_001M,B17010I_002E,B17010I_002M,B17010I_003E,B17010I_003M,B17010I_004E,B17010I_004M,B17010I_005E,B17010I_005M,B17010I_006E,B17010I_006M,B17010I_007E,B17010I_007M,B17010I_008E,B17010I_008M,B17010I_009E,B17010I_009M,B17010I_010E,B17010I_010M,B17010I_011E,B17010I_011M,B17010I_012E,B17010I_012M,B17010I_013E,B17010I_013M,B17010I_014E,B17010I_014M,B17010I_015E,B17010I_015M,B17010I_016E,B17010I_016M,B17010I_017E,B17010I_017M,B17010I_018E,B17010I_018M,B17010I_019E,B17010I_019M,B17010I_020E,B17010I_020M,B17010I_021E,B17010I_021M,B17010I_022E,B17010I_022M,B17010I_023E,B17010I_023M,B17010I_024E,B17010I_024M,B17010I_025E,B17010I_025M,B17010I_026E,B17010I_026M,B17010I_027E,B17010I_027M,B17010I_028E,B17010I_028M,B17010I_029E,B17010I_029M,B17010I_030E,B17010I_030M,B17010I_031E,B17010I_031M,B17010I_032E,B17010I_032M,B17010I_033E,B17010I_033M,B17010I_034E,B17010I_034M,B17010I_035E,B17010I_035M,B17010I_036E,B17010I_036M,B17010I_037E,B17010I_037M,B17010I_038E,B17010I_038M,B17010I_039E,B17010I_039M,B17010I_040E,B17010I_040M,B17010I_041E,B17010I_041M,NAME,B17010I_001EA,B17010I_001MA,B17010I_002MA,B17010I_002EA,B17010I_003EA,B17010I_003MA,B17010I_004MA,B17010I_004EA,B17010I_005EA,B17010I_005MA,B17010I_006EA,B17010I_006MA,B17010I_007MA,B17010I_007EA,B17010I_008EA,B17010I_008MA,B17010I_009EA,B17010I_009MA,B17010I_010MA,B17010I_010EA,B17010I_011EA,B17010I_011MA,B17010I_012EA,B17010I_012MA,B17010I_013EA,B17010I_013MA,B17010I_014EA,B17010I_014MA,B17010I_015MA,B17010I_015EA,B17010I_016EA,B17010I_016MA,B17010I_017EA,B17010I_017MA,B17010I_018EA,B17010I_018MA,B17010I_019EA,B17010I_019MA,B17010I_020EA,B17010I_020MA,B17010I_021MA,B17010I_021EA,B17010I_022EA,B17010I_022MA,B17010I_023EA,B17010I_023MA,B17010I_024EA,B17010I_024MA,B17010I_025EA,B17010I_025MA,B17010I_026MA,B17010I_026EA,B17010I_027EA,B17010I_027MA,B17010I_028MA,B17010I_028EA,B17010I_029EA,B17010I_029MA,B17010I_030EA,B17010I_030MA,B17010I_031EA,B17010I_031MA,B17010I_032MA,B17010I_032EA,B17010I_033MA,B17010I_033EA,B17010I_034EA,B17010I_034MA,B17010I_035EA,B17010I_035MA,B17010I_036EA,B17010I_036MA,B17010I_037MA,B17010I_037EA,B17010I_038MA,B17010I_038EA,B17010I_039MA,B17010I_039EA,B17010I_040MA,B17010I_040EA,B17010I_041MA,B17010I_041EA,state
0400000US01,32812,1867,8736,1293,4917,1005,4849,986,571,346,3017,909,1261,657,68,94,3819,1095,749,378,700,371,4,9,315,256,381,302,49,78,3070,978,3013,986,239,205,1331,769,1443,612,57,112,24076,1856,17258,1774,9986,1478,1498,551,3200,1031,5288,1180,7272,1393,6818,1429,2432,814,1441,666,562,421,247,267,632,440,991,489,4386,1227,3236,1121,319,284,359,274,2558,970,1150,523,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,421642,7177,101076,5004,39572,3344,32322,3073,3601,925,12572,2143,16149,2521,7250,1363,61504,4319,10536,1979,8525,1735,2263,799,3314,961,2948,1046,2011,847,50968,3815,46802,3649,6387,1287,17580,2175,22835,2502,4166,1165,320566,7182,208126,6804,123828,5532,19290,2734,31471,2711,73067,4360,84298,4739,112440,5023,44054,3835,27037,3093,4535,1333,6112,1144,16390,2132,17017,2162,68386,3838,44112,3282,7281,1477,9130,1734,27701,2595,24274,2529,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,42189,2762,11453,2179,5630,1690,4529,1352,74,93,2760,905,1695,906,1101,723,5823,1447,1074,518,1045,528,156,222,317,254,572,400,29,50,4749,1363,4230,1337,1028,665,1167,543,2035,937,519,499,30736,2609,24364,2492,15659,1878,2403,844,4019,1186,9237,1664,8705,1804,6372,1550,3574,1089,2367,887,435,309,620,504,1312,683,1207,590,2798,1010,2079,946,408,368,253,235,1418,805,719,431,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3002542,14595,565428,11197,241527,6883,197712,6502,16367,2169,79789,4368,101556,4797,43815,2923,323901,8930,64528,4741,54168,4618,9311,1909,19525,2323,25332,3270,10360,1991,259373,7590,226405,7190,28847,2459,78530,4301,119028,5472,32968,2533,2437114,14921,1671543,16026,1036822,13417,138792,5563,247378,7915,650652,10787,634721,9744,765571,14372,285091,8686,159628,6304,29088,2771,34190,2940,96350,5550,125463,6655,480480,10941,285416,8706,36418,3133,52761,3550,196237,7193,195064,7283,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,238455,4890,41463,3464,17082,2219,13113,1967,1085,596,5985,1302,6043,1260,3969,969,24381,2528,2788,902,2238,821,507,438,395,301,1336,626,550,433,21593,2314,19371,2215,3945,969,4631,1284,10795,1737,2222,913,196992,4925,140437,4291,86359,3922,10104,1591,23535,2566,52720,3587,54078,3431,56555,3368,22957,2451,15055,2245,3219,1013,2382,820,9454,1764,7902,1617,33598,2751,22353,2459,3834,946,2432,785,16087,2122,11245,1631,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,119031,3848,27917,3031,5908,1299,3784,1116,304,441,1155,590,2325,788,2124,721,22009,2636,3382,1013,2587,922,1097,706,770,506,720,498,795,509,18627,2282,16292,2261,1964,813,4626,984,9702,1804,2335,1007,91114,3715,55830,3451,31870,2913,5401,1481,6998,1374,19471,2220,23960,2284,35284,3032,10336,1950,5877,1346,1596,866,1084,652,3197,892,4459,1273,24948,2510,17032,2215,1576,745,2546,937,12910,2219,7916,1299,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,17747,1415,5036,1106,2168,784,1580,671,346,322,683,575,551,403,588,421,2868,771,336,236,167,163,38,66,129,150,0,190,169,182,2532,786,2480,792,335,298,978,388,1167,695,52,64,12711,1438,9616,1365,6486,1239,1116,666,1862,928,3508,1005,3130,869,3095,905,984,535,640,432,73,132,224,261,343,335,344,326,2111,743,1326,629,106,104,41,68,1179,597,785,464,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1069184,11740,187440,8368,80500,5883,53065,4745,6264,1483,19712,2944,27089,3450,27435,2887,106940,5797,20572,2532,15246,2094,3726,1005,4641,1338,6879,1515,5326,1181,86368,5798,72579,5355,8730,1629,19759,2725,44090,4803,13789,2066,881744,12339,605672,10489,295110,9064,51164,4090,52264,4754,191682,5927,310562,9355,276072,8312,90832,5486,44758,3817,11770,1906,7010,1327,25978,2812,46074,4274,185240,7954,99837,5096,14513,2099,12840,2122,72484,4738,85403,5461,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
