GEO_ID,C16001_001E,C16001_001M,C16001_002E,C16001_002M,C16001_003E,C16001_003M,C16001_004E,C16001_004M,C16001_005E,C16001_005M,C16001_006E,C16001_006M,C16001_007E,C16001_007M,C16001_008E,C16001_008M,C16001_009E,C16001_009M,C16001_010E,C16001_010M,C16001_011E,C16001_011M,C16001_012E,C16001_012M,C16001_013E,C16001_013M,NAME,C16001_001EA,C16001_001MA,C16001_002EA,C16001_002MA,C16001_003MA,C16001_003EA,C16001_004MA,C16001_004EA,C16001_005MA,C16001_005EA,C16001_006EA,C16001_006MA,C16001_007EA,C16001_007MA,C16001_008MA,C16001_008EA,C16001_009MA,C16001_009EA,C16001_010MA,C16001_010EA,C16001_011EA,C16001_011MA,C16001_012EA,C16001_012MA,C16001_013MA,C16001_013EA,state
0400000US01,4573857,3059,4340562,7794,149576,5012,8934,1935,7858,1371,2307,1069,16655,3345,7999,1995,8346,2143,7001,1760,4158,1413,9215,2351,11246,2989,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,683671,934,573242,5241,27069,3134,1402,603,3355,1117,7494,2070,2613,869,3462,1345,932,499,1573,978,20558,2906,11625,2776,30346,2278,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6398205,1329,4665381,19982,1317026,16421,19589,2943,22222,2472,25231,4522,59658,6636,12678,3043,32695,4577,24364,4199,22503,3486,40531,4647,156327,7862,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2789500,2398,2587171,6795,145118,5633,3224,919,4523,1103,2833,1175,11067,2070,1502,876,6438,2185,5093,1588,1526,639,17119,2210,3886,1273,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36637169,2615,20311365,52760,10646011,42599,135520,7368,136302,6726,230298,11825,1129592,27977,377532,15978,1206703,22802,534406,18234,832690,22458,712431,16977,384319,18185,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5123035,2020,4241887,16122,623404,14634,17905,2554,27344,2685,25329,3729,45386,5112,12691,3048,25283,4436,20283,3704,7503,1555,36881,4433,39139,4441,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3404358,998,2641970,12367,400805,7310,51177,5589,12248,2376,61563,6668,128943,7906,6939,1865,28494,3838,5402,1847,9178,2712,29219,4390,28420,4543,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,890489,219,773482,5383,64194,3332,4617,1852,4100,1328,2128,720,14557,2479,1581,757,6509,2074,1390,791,2667,926,8299,2128,6965,2238,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,628998,6,519448,6266,56171,3784,11034,2619,3121,986,4332,1382,11564,2170,965,359,5142,1060,766,726,1942,904,2668,918,11845,2460,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19172999,3447,13620187,42067,4091288,29066,562077,21098,79031,5947,97532,8551,308967,14326,22017,3596,67716,7073,57362,6729,65394,7128,88826,7382,112602,11440,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
