GEO_ID,B10053_001E,B10053_001M,B10053_002E,B10053_002M,B10053_003E,B10053_003M,B10053_004E,B10053_004M,B10053_005E,B10053_005M,B10053_006E,B10053_006M,B10053_007E,B10053_007M,B10053_008E,B10053_008M,B10053_009E,B10053_009M,B10053_010E,B10053_010M,B10053_011E,B10053_011M,NAME,B10053_001MA,B10053_001EA,B10053_002EA,B10053_002MA,B10053_003EA,B10053_003MA,B10053_004MA,B10053_004EA,B10053_005MA,B10053_005EA,B10053_006MA,B10053_006EA,B10053_007EA,B10053_007MA,B10053_008EA,B10053_008MA,B10053_009MA,B10053_009EA,B10053_010MA,B10053_010EA,B10053_011MA,B10053_011EA,state
0400000US01,119371,6649,114591,6220,61104,4224,36501,2998,24603,2823,53487,3741,4780,1372,943,565,456,350,487,346,3837,1286,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,17976,1926,14436,1821,5743,879,3422,739,2321,467,8693,1729,3540,1040,715,392,467,288,248,269,2825,903,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,175124,9059,118126,6501,50532,4033,30008,3367,20524,2258,67594,4508,56998,5210,16710,2717,10307,2136,6403,1557,40288,3979,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,68904,4883,64265,4606,38245,3286,23445,2555,14800,2081,26020,2646,4639,1281,1240,559,900,460,340,355,3399,1114,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1158073,22198,424741,11960,140337,6623,73257,4806,67080,4743,284404,9803,733332,18004,131983,6241,74333,6083,57650,4259,601349,15597,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,104702,7688,77057,6492,29953,3598,18136,2907,11817,1835,47104,4451,27645,3609,5757,1567,3559,1130,2198,794,21888,3197,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,60326,4853,43281,3634,14220,2065,8862,1806,5358,1144,29061,3128,17045,3089,4177,1314,1802,850,2375,1053,12868,2422,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,21859,3025,17951,2552,7125,1336,4105,1004,3020,838,10826,2074,3908,1386,1125,632,270,223,855,548,2783,1014,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,13296,2251,11221,1718,4993,1166,3206,916,1787,689,6228,1279,2075,1303,1279,1225,776,655,503,646,796,485,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,479491,12874,287776,9894,115350,6528,64795,4532,50555,4444,172426,8733,191715,8234,30070,3662,17154,2665,12916,1852,161645,7752,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,268304,11462,223527,10435,104161,6517,67976,5214,36185,3627,119366,7109,44777,4484,8359,1996,6364,1853,1995,668,36418,3705,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,54501,4090,32869,3047,6750,1150,2685,679,4065,987,26119,2872,21632,2191,3140,876,2026,667,1114,524,18492,2056,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,30159,3949,25984,3715,10576,2185,5463,1415,5113,1491,15408,2686,4175,1288,556,498,496,492,60,86,3619,1252,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,261565,9896,166524,7292,63379,4617,38692,3833,24687,2423,103145,4719,95041,6237,13718,2636,7974,1970,5744,1273,81323,5334,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,124433,6535,113790,6052,53480,3970,33569,2921,19911,2457,60310,4337,10643,1753,2867,940,1709,670,1158,686,7776,1704,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,40209,2539,35158,2519,15132,1687,8661,1285,6471,1208,20026,2166,5051,1159,1078,620,932,597,146,144,3973,1011,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
