GEO_ID,B15002G_001E,B15002G_001M,B15002G_002E,B15002G_002M,B15002G_003E,B15002G_003M,B15002G_004E,B15002G_004M,B15002G_005E,B15002G_005M,B15002G_006E,B15002G_006M,B15002G_007E,B15002G_007M,B15002G_008E,B15002G_008M,B15002G_009E,B15002G_009M,B15002G_010E,B15002G_010M,B15002G_011E,B15002G_011M,B15002G_012E,B15002G_012M,B15002G_013E,B15002G_013M,B15002G_014E,B15002G_014M,B15002G_015E,B15002G_015M,B15002G_016E,B15002G_016M,B15002G_017E,B15002G_017M,B15002G_018E,B15002G_018M,B15002G_019E,B15002G_019M,NAME,B15002G_001EA,B15002G_001MA,B15002G_002EA,B15002G_002MA,B15002G_003EA,B15002G_003MA,B15002G_004MA,B15002G_004EA,B15002G_005MA,B15002G_005EA,B15002G_006EA,B15002G_006MA,B15002G_007EA,B15002G_007MA,B15002G_008EA,B15002G_008MA,B15002G_009MA,B15002G_009EA,B15002G_010MA,B15002G_010EA,B15002G_011EA,B15002G_011MA,B15002G_012EA,B15002G_012MA,B15002G_013EA,B15002G_013MA,B15002G_014MA,B15002G_014EA,B15002G_015MA,B15002G_015EA,B15002G_016MA,B15002G_016EA,B15002G_017EA,B15002G_017MA,B15002G_018EA,B15002G_018MA,B15002G_019MA,B15002G_019EA,state
0400000US01,39035,3301,18562,2130,954,424,2451,951,1529,621,1456,515,6390,1277,1861,788,2656,683,1265,558,20473,2029,666,330,2531,771,2684,653,1889,722,4698,1187,2596,867,3178,935,2231,825,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,25030,2084,12584,1374,135,137,700,366,3506,813,1023,469,3703,858,1119,613,1998,645,400,252,12446,1353,162,175,701,315,2247,719,947,391,5013,1041,990,479,1523,539,863,442,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,88047,5410,43953,3312,1955,804,3957,1314,7635,1801,3083,840,11891,2031,4560,1135,6562,1217,4310,1044,44094,3375,1815,492,2845,944,6651,1351,1723,670,12575,1757,4671,1081,9785,1900,4029,1059,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,25857,3124,13025,1836,682,343,1423,572,2702,861,1232,679,2856,785,607,448,2208,834,1315,688,12832,2096,1005,542,1332,626,2932,824,933,458,2872,1237,828,371,1806,656,1124,585,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,779480,15728,377282,10143,18496,2158,28652,2566,63254,4316,15533,1923,101999,5251,30260,2558,79355,4793,39733,3145,402198,9513,23427,2445,24515,2248,58398,4624,9639,1619,111019,5064,36495,3050,91201,4816,47504,3432,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,80338,4684,40138,3506,1584,1070,2125,798,7015,1439,2234,789,9601,1758,3965,882,7688,1587,5926,1117,40200,2677,1123,556,1299,555,6210,1243,1877,616,10676,1459,4678,1113,9320,1412,5017,1075,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,42698,4122,21523,2728,1387,599,1880,936,4401,1217,1061,466,6024,1776,1447,642,3243,858,2080,679,21175,2581,1201,514,945,387,3592,1057,997,491,5408,1201,1810,752,4139,1095,3083,942,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,9375,1509,4682,1249,153,172,195,246,925,544,55,73,1332,543,77,78,1699,980,246,183,4693,981,71,114,54,80,471,297,377,287,1177,567,590,401,961,485,992,381,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,11920,2027,5061,1398,443,655,62,104,599,530,129,181,343,192,124,147,1473,587,1888,670,6859,1100,410,457,364,283,483,352,140,138,1067,596,286,219,1510,594,2599,641,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,224731,10304,110616,6859,8903,2456,8356,1568,20174,2894,5401,1438,23048,2972,10663,1937,21599,3126,12472,2495,114115,6361,5658,1342,6339,1141,21398,2715,4040,1099,27137,3257,14823,2178,21783,2688,12937,2180,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
