GEO_ID,B05014_001E,B05014_001M,B05014_002E,B05014_002M,B05014_003E,B05014_003M,B05014_004E,B05014_004M,B05014_005E,B05014_005M,B05014_006E,B05014_006M,B05014_007E,B05014_007M,B05014_008E,B05014_008M,B05014_009E,B05014_009M,B05014_010E,B05014_010M,B05014_011E,B05014_011M,B05014_012E,B05014_012M,B05014_013E,B05014_013M,B05014_014E,B05014_014M,B05014_015E,B05014_015M,B05014_016E,B05014_016M,B05014_017E,B05014_017M,B05014_018E,B05014_018M,B05014_019E,B05014_019M,NAME,B05014_001MA,B05014_001EA,B05014_002EA,B05014_002MA,B05014_003EA,B05014_003MA,B05014_004EA,B05014_004MA,B05014_005EA,B05014_005MA,B05014_006MA,B05014_006EA,B05014_007EA,B05014_007MA,B05014_008EA,B05014_008MA,B05014_009EA,B05014_009MA,B05014_010EA,B05014_010MA,B05014_011EA,B05014_011MA,B05014_012MA,B05014_012EA,B05014_013EA,B05014_013MA,B05014_014EA,B05014_014MA,B05014_015EA,B05014_015MA,B05014_016EA,B05014_016MA,B05014_017MA,B05014_017EA,B05014_018EA,B05014_018MA,B05014_019EA,B05014_019MA,state
0400000US01,169972,7267,88498,4580,3022,1198,7626,1607,16421,2334,23186,2980,16946,2051,11531,1597,6026,1059,3740,950,81474,4158,3912,1411,4612,1019,13098,2003,21453,2226,13362,1833,10853,1720,6588,985,7596,1267,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,58544,4089,26199,2457,596,443,1969,834,5291,1295,4620,1236,4640,860,4873,969,3037,720,1173,349,32345,2358,628,480,1811,683,5797,1042,6001,1085,6435,1210,6227,786,3228,711,2218,538,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,914400,15780,435981,11082,7155,1729,24004,2824,63248,4676,92296,5665,93633,5026,67117,3359,49800,3049,38728,2707,478419,7811,8163,1517,24963,2868,62804,4169,89755,4405,103085,4458,73378,3552,60910,3584,55361,3325,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,142841,5470,73166,3385,2351,868,5095,1383,13812,2027,19449,2417,15228,1911,9228,1644,5789,930,2214,677,69675,3512,1659,891,6343,1311,12042,1714,15293,1676,14148,1644,9907,1558,5444,995,4839,1128,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,10688336,47464,5155883,32949,72783,4568,224920,9545,639431,14101,1017960,14410,1158971,14819,956116,12878,619681,10310,466021,7387,5532453,26104,70730,4942,209935,7377,585010,11117,1023557,12839,1214999,12532,1018325,13396,730760,11061,679137,8445,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,537066,13583,266212,8012,5165,1140,17980,2074,46036,3745,66292,3755,59087,3715,36968,2384,19935,2530,14749,1659,270854,7516,6367,1306,18507,2121,37987,3678,64008,3550,57835,2869,35069,2515,26946,2203,24135,2159,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,519648,14163,254041,8257,5894,1586,16129,2160,40115,3719,52348,3806,50304,2784,38897,2399,28334,2730,22020,1863,265607,8265,4833,1070,16294,2357,32231,3628,50614,3526,52796,3462,44300,2908,30221,2347,34318,2791,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,87509,5462,42391,2968,1407,694,2258,833,6439,1196,11235,1464,6815,1220,6000,998,4077,888,4160,798,45118,3451,1304,571,2040,653,6878,1303,9527,1204,9459,1316,6592,1015,5282,998,4036,820,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,95117,5695,45632,3610,837,445,3123,973,9403,1765,10781,1794,9237,1508,6869,1283,3464,856,1918,773,49485,3460,938,770,1828,580,8981,1620,13517,2094,8680,1352,6094,1036,5188,939,4259,917,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4086240,42279,1935547,25929,37025,4208,106144,7306,246050,9294,337554,12634,377864,10628,351819,8222,239831,7383,239260,6628,2150693,23321,32708,4165,105340,6223,226318,9133,351069,9223,401575,7844,380849,7693,303912,9320,348922,7354,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
