B16005F_005E,B16005F_005M,B16005F_006E,B16005F_006M,B16005F_007E,B16005F_007M,B16005F_008E,B16005F_008M,B16005F_009E,B16005F_009M,B16005F_010E,B16005F_010M,B16005F_011E,B16005F_011M,GEO_ID,B16005F_001E,B16005F_001M,B16005F_002E,B16005F_002M,B16005F_003E,B16005F_003M,B16005F_004E,B16005F_004M,B16005F_005EA,B16005F_005MA,B16005F_006MA,B16005F_006EA,B16005F_007MA,B16005F_007EA,B16005F_008EA,B16005F_008MA,B16005F_009MA,B16005F_009EA,B16005F_010EA,B16005F_010MA,B16005F_011EA,B16005F_011MA,NAME,B16005F_001MA,B16005F_001EA,B16005F_002MA,B16005F_002EA,B16005F_003EA,B16005F_003MA,B16005F_004EA,B16005F_004MA,state
10739,2118,3007,924,27257,4307,1097,697,26160,4182,9629,2831,16531,2973,0400000US01,49311,5565,22054,3734,8308,2746,13746,2382,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,01
2635,917,1130,702,5050,2041,431,424,4619,2025,2235,1047,2384,1285,0400000US02,11206,2840,6156,1644,2391,1109,3765,1125,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,02
164056,9965,19715,2822,156884,10555,6325,1458,150559,10463,58066,6237,92493,7448,0400000US04,444381,20066,287497,14146,103726,8544,183771,10700,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,04
15759,3441,3153,1581,28678,3812,2005,986,26673,3693,6900,1721,19773,3142,0400000US05,58803,5767,30125,4104,11213,2716,18912,3296,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,05
1737084,32215,234012,9525,2136012,32607,76049,4821,2059963,32326,569372,16050,1490591,24367,0400000US06,4875037,59462,2739025,40391,767929,20006,1971096,35261,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,06
47723,5567,10632,2075,66932,5773,4197,1278,62735,5718,18326,2599,44409,4825,0400000US08,194738,11896,127806,9086,69451,6214,58355,6421,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,08
64424,6613,22667,2817,58230,6844,2078,839,56152,6737,15809,2930,40343,5820,0400000US09,166735,12133,108505,8397,21414,3061,87091,7664,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,09
4840,1709,1465,713,6925,2026,404,324,6521,2026,3187,1289,3334,1244,0400000US10,17589,3547,10664,2815,4359,1569,6305,1901,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,10
6966,2117,3587,1738,17062,3307,1721,993,15341,3372,5483,2075,9858,2470,0400000US11,31748,3539,14686,2728,4133,2057,10553,2166,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,11
152136,11779,32330,4592,235385,14721,20876,3445,214509,14552,75154,7458,139355,10960,0400000US12,490362,20827,254977,15056,70511,6014,184466,12728,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,12
