GEO_ID,B11002G_001E,B11002G_001M,B11002G_002E,B11002G_002M,B11002G_003E,B11002G_003M,B11002G_004E,B11002G_004M,B11002G_005E,B11002G_005M,B11002G_006E,B11002G_006M,B11002G_007E,B11002G_007M,B11002G_008E,B11002G_008M,B11002G_009E,B11002G_009M,B11002G_010E,B11002G_010M,B11002G_011E,B11002G_011M,B11002G_012E,B11002G_012M,NAME,B11002G_001EA,B11002G_001MA,B11002G_002MA,B11002G_002EA,B11002G_003EA,B11002G_003MA,B11002G_004EA,B11002G_004MA,B11002G_005EA,B11002G_005MA,B11002G_006MA,B11002G_006EA,B11002G_007EA,B11002G_007MA,B11002G_008EA,B11002G_008MA,B11002G_009MA,B11002G_009EA,B11002G_010EA,B11002G_010MA,B11002G_011MA,B11002G_011EA,B11002G_012EA,B11002G_012MA,state
0400000US01,57847,6332,45244,6106,31254,4818,30596,4725,658,447,3407,1765,3183,1620,224,275,10583,2827,10114,2764,469,383,12603,2455,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,38989,4352,31339,4206,18402,3784,18203,3728,199,240,4020,1777,3027,1240,993,683,8917,2597,8310,2435,607,351,7650,1794,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,129026,9878,101060,9209,60031,6351,59648,6357,383,315,10412,3170,9203,2842,1209,914,30617,4782,28270,4504,2347,724,27966,3351,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,40915,5298,33289,4927,20781,3516,20730,3515,51,88,3380,1875,3139,1767,241,202,9128,2482,8408,2287,720,518,7626,1759,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1148534,31712,932321,30947,638216,25429,628553,25060,9663,1580,78931,9658,69971,8604,8960,1963,215174,13161,196670,11811,18504,3000,216213,10436,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,110516,9341,85942,9081,59227,7050,57385,6819,1842,1518,7361,2672,5888,1990,1473,901,19354,4178,17481,3766,1873,770,24574,2859,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,64248,7514,52929,7034,29568,5307,28715,5333,853,619,7673,3365,6281,2768,1392,794,15688,3469,14693,3339,995,624,11319,2349,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,17335,3557,14238,3430,8903,2522,8807,2509,96,159,728,596,671,573,57,68,4607,2538,4219,2213,388,484,3097,1379,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,13827,2658,7456,2207,4327,1816,4296,1810,31,50,699,560,639,520,60,72,2430,1200,2376,1183,54,90,6371,1631,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,349768,23751,290420,22169,178853,14509,176586,14264,2267,894,32673,8064,28373,7354,4300,1803,78894,9802,72352,8939,6542,1743,59348,5677,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
