GEO_ID,B18107_001E,B18107_001M,B18107_002E,B18107_002M,B18107_003E,B18107_003M,B18107_004E,B18107_004M,B18107_005E,B18107_005M,B18107_006E,B18107_006M,B18107_007E,B18107_007M,B18107_008E,B18107_008M,B18107_009E,B18107_009M,B18107_010E,B18107_010M,B18107_011E,B18107_011M,B18107_012E,B18107_012M,B18107_013E,B18107_013M,B18107_014E,B18107_014M,B18107_015E,B18107_015M,B18107_016E,B18107_016M,B18107_017E,B18107_017M,B18107_018E,B18107_018M,B18107_019E,B18107_019M,B18107_020E,B18107_020M,B18107_021E,B18107_021M,B18107_022E,B18107_022M,B18107_023E,B18107_023M,B18107_024E,B18107_024M,B18107_025E,B18107_025M,B18107_026E,B18107_026M,B18107_027E,B18107_027M,NAME,B18107_001MA,B18107_001EA,B18107_002MA,B18107_002EA,B18107_003MA,B18107_003EA,B18107_004MA,B18107_004EA,B18107_005MA,B18107_005EA,B18107_006MA,B18107_006EA,B18107_007MA,B18107_007EA,B18107_008MA,B18107_008EA,B18107_009MA,B18107_009EA,B18107_010MA,B18107_010EA,B18107_011MA,B18107_011EA,B18107_012MA,B18107_012EA,B18107_013MA,B18107_013EA,B18107_014EA,B18107_014MA,B18107_015MA,B18107_015EA,B18107_016MA,B18107_016EA,B18107_017MA,B18107_017EA,B18107_018MA,B18107_018EA,B18107_019EA,B18107_019MA,B18107_020MA,B18107_020EA,B18107_021MA,B18107_021EA,B18107_022MA,B18107_022EA,B18107_023MA,B18107_023EA,B18107_024EA,B18107_024MA,B18107_025EA,B18107_025MA,B18107_026MA,B18107_026EA,B18107_027MA,B18107_027EA,state
0400000US01,3674354,3461,1734477,4591,518885,4413,19798,2211,499087,5083,892502,5313,55725,3138,836777,5490,206027,2088,17951,2079,188076,2507,117063,1405,23665,1953,93398,2249,1939877,3459,547326,3801,13017,2041,534309,4405,972367,3243,71370,4552,900997,5317,238860,1574,26717,2661,212143,2942,181324,1464,60792,2804,120532,3241,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,527165,1857,271463,2170,96857,2348,2666,809,94191,2350,139861,1544,5019,1304,134842,1905,24693,715,1286,480,23407,659,10052,395,3096,637,6956,682,255702,1236,86551,1456,2732,951,83819,1582,133810,1465,6589,1202,127221,2033,23098,936,2138,605,20960,883,12243,644,3709,716,8534,761,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5099961,2056,2469667,2876,771528,2848,19688,1956,751840,3467,1188220,3309,45086,3384,1143134,4769,304339,1328,15949,1702,288390,2229,205580,1133,34465,2696,171115,2696,2630294,2303,763044,1730,13570,2015,749474,2617,1269282,2172,60634,4062,1208648,4412,343709,1572,27043,2170,316666,2542,254259,1552,71811,3817,182448,3928,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2220606,2177,1063195,2789,321592,3307,8538,1517,313054,3406,535146,3521,32637,2800,502509,4175,129382,1249,11541,1550,117841,1567,77075,1211,15801,1412,61274,1792,1157411,3038,332781,3235,9450,1552,323331,3497,569864,3198,43847,2976,526017,4389,146791,1500,17157,1719,129634,2113,107975,1375,36307,2024,71668,2380,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,29546482,5416,14410048,6622,4844000,6381,111564,5674,4732436,8269,7304870,5385,262887,8241,7041983,9850,1371995,2913,98310,4705,1273685,5471,889183,2724,197257,5975,691926,5944,15136434,4585,4719036,4172,76544,4215,4642492,5843,7583945,4270,309793,8235,7274152,9832,1582231,3029,147520,5426,1434711,5695,1251222,3266,425260,6481,825962,7187,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4112535,3482,2034150,4325,671973,3625,14180,1954,657793,4327,1044002,3775,32756,2739,1011246,4421,206572,1413,9015,1180,197557,1887,111603,1171,18823,1695,92780,2057,2078385,3752,642120,2505,10126,1532,631994,3138,1058343,3500,37037,2545,1021306,4038,226357,1635,15459,1876,210898,2421,151565,1325,41300,2815,110265,3042,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2776062,1382,1329231,2357,390123,2151,7915,1533,382208,2388,701271,1896,22396,2591,678875,3344,144047,910,5567,855,138480,1133,93790,1204,16818,1764,76972,1914,1446831,1864,388641,1757,6753,1342,381888,2247,752615,1724,29488,2809,723127,3222,166694,1199,11774,1943,154920,2175,138881,1362,40124,2843,98757,2899,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,727432,849,343832,1021,101130,983,2688,821,98442,1191,172046,1128,7254,1449,164792,1713,44247,833,3013,755,41234,1138,26409,686,3878,831,22531,744,383600,871,106686,878,1785,733,104901,1199,190820,912,7191,1067,183629,1558,50696,677,3265,666,47431,981,35398,656,8842,1182,26556,1318,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,543267,667,251316,1028,104717,963,1241,701,103476,1167,117186,1147,4268,1134,112918,1619,18650,813,1327,436,17323,926,10763,545,2471,614,8292,740,291951,952,124398,661,1017,592,123381,903,123289,400,6118,1253,117171,1329,24893,562,2667,706,22226,920,19371,797,5575,929,13796,1066,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15866768,4364,7572063,5847,2111859,6845,51319,4297,2060540,8349,3714521,6619,156007,7690,3558514,10151,1004899,2441,53434,3336,951465,4411,740784,2603,124435,5504,616349,6041,8294705,5265,2137721,5050,36604,3696,2101117,5833,4024086,5272,187235,7726,3836851,9248,1162418,3467,83507,5723,1078911,6712,970480,3446,266273,8856,704207,9409,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,7524722,4418,3545548,4933,1125842,6378,26235,3404,1099607,6666,1868316,7105,77990,4532,1790326,7684,364782,3072,26035,2488,338747,3585,186608,2381,39222,2958,147386,2685,3979174,3534,1195511,4755,22582,2425,1172929,5059,2064749,5015,102461,6214,1962288,7766,433815,3290,36478,2542,397337,3793,285099,2639,90691,3980,194408,4333,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1064067,2623,517913,2751,157310,2569,2946,840,154364,2652,255357,1900,7674,1192,247683,2196,64389,669,3160,685,61229,973,40857,631,9718,1158,31139,1255,546154,1495,154416,1372,2749,909,151667,1719,264118,900,8150,1339,255968,1686,68949,555,5153,927,63796,1015,58671,769,18536,1826,40135,1941,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1200908,1938,589517,2428,180816,2356,6898,1688,173918,3034,296189,2804,12346,2115,283843,3573,70247,881,3933,1053,66314,1310,42265,948,6052,1076,36213,1460,611391,2480,182466,2222,6624,1663,175842,2709,302434,2452,14700,1960,287734,2691,74246,1228,5624,1098,68622,1503,52245,796,14130,1719,38115,1731,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,9723598,2714,4682134,4004,1468056,3751,33019,2664,1435037,4583,2444769,3896,90670,5045,2354099,6389,476420,1980,30799,2237,445621,2866,292889,1724,55609,3044,237280,3149,5041464,3657,1487138,3353,24428,2169,1462710,4102,2558614,3640,107234,4624,2451380,5496,549947,2026,47589,2887,502358,3465,445765,2585,129752,5286,316013,5250,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,4944261,3177,2386806,4310,739755,3341,22112,2546,717643,4166,1237078,3277,55776,3850,1181302,5152,257699,1769,16290,1902,241409,2661,152274,1447,25928,1877,126346,2407,2557455,3834,749464,3567,20125,2642,729339,4343,1288873,3679,71049,3684,1217824,5730,291240,1670,27491,2094,263749,2245,227878,2029,62087,2853,165791,3267,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
