GEO_ID,B12002H_001E,B12002H_001M,B12002H_002E,B12002H_002M,B12002H_003E,B12002H_003M,B12002H_004E,B12002H_004M,B12002H_005E,B12002H_005M,B12002H_006E,B12002H_006M,B12002H_007E,B12002H_007M,B12002H_008E,B12002H_008M,B12002H_009E,B12002H_009M,B12002H_010E,B12002H_010M,B12002H_011E,B12002H_011M,B12002H_012E,B12002H_012M,B12002H_013E,B12002H_013M,NAME,B12002H_001MA,B12002H_001EA,B12002H_002MA,B12002H_002EA,B12002H_003EA,B12002H_003MA,B12002H_004EA,B12002H_004MA,B12002H_005MA,B12002H_005EA,B12002H_006MA,B12002H_006EA,B12002H_007MA,B12002H_007EA,B12002H_008EA,B12002H_008MA,B12002H_009EA,B12002H_009MA,B12002H_010EA,B12002H_010MA,B12002H_011MA,B12002H_011EA,B12002H_012MA,B12002H_012EA,B12002H_013MA,B12002H_013EA,state
0400000US01,2679047,1381,1296414,1549,353978,7515,723063,9262,19611,2468,41622,3013,158140,5968,1382633,1459,284697,6874,719720,11169,30072,3342,160564,4554,187580,6663,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,375127,747,202547,580,67402,2865,107476,2845,2485,821,4346,1023,20838,2167,172580,508,43893,2429,92352,3073,2502,692,9854,1188,23979,2031,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3266986,1634,1604158,981,482346,6318,848576,8947,18318,1936,51365,3685,203553,6805,1662828,1215,377566,6588,821910,9827,21867,2470,174343,5674,267142,7456,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1805377,1153,880026,1048,226702,5808,496825,7915,13741,2205,29582,2618,113176,5338,925351,1225,177247,4786,487619,8026,17258,2078,109720,4189,133507,5334,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12873050,5672,6404360,2737,2170538,13949,3294915,17606,88347,5420,182177,5298,668383,12817,6468690,3652,1698041,15183,3091978,20328,111913,5802,635594,9658,931164,13475,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3150154,2794,1570603,2350,507007,7687,838744,9325,14449,2040,36067,2880,174336,6627,1579551,1256,389579,6529,834335,8008,18061,2370,107496,3540,230080,5059,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2096180,2056,1011814,1257,338472,6151,539644,7967,6146,1225,30499,2574,97053,4744,1084366,1351,293317,4882,532463,6716,9306,1665,110688,4615,138592,5880,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,512278,891,245983,411,77329,2954,129746,3676,2566,720,9095,1362,27247,2593,266295,597,68250,3310,129820,4400,4269,1305,29853,1974,34103,2716,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,218446,772,108958,257,58579,2308,42696,2584,877,406,1346,528,5460,1195,109488,721,56491,2246,39774,2146,934,585,3531,603,8758,1426,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9730954,4811,4738925,2930,1376413,11632,2488092,17863,75578,5880,185755,6923,613087,13267,4992029,3521,1086663,11279,2398371,20806,87499,5506,647157,12715,772339,13240,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
