GEO_ID,C17016_001E,C17016_001M,C17016_002E,C17016_002M,C17016_003E,C17016_003M,C17016_004E,C17016_004M,C17016_005E,C17016_005M,C17016_006E,C17016_006M,C17016_007E,C17016_007M,C17016_008E,C17016_008M,C17016_009E,C17016_009M,NAME,C17016_001EA,C17016_001MA,C17016_002EA,C17016_002MA,C17016_003EA,C17016_003MA,C17016_004MA,C17016_004EA,C17016_005EA,C17016_005MA,C17016_006EA,C17016_006MA,C17016_007EA,C17016_007MA,C17016_008MA,C17016_008EA,C17016_009MA,C17016_009EA,state
0400000US01,1213540,13821,166755,6801,28067,3042,50576,3776,88112,4877,1046785,12834,567253,9059,158422,6303,321110,7096,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,163800,3113,11530,1402,1451,525,5779,1080,4300,848,152270,3239,82926,3215,40074,2540,29270,1742,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1598414,13914,199101,6307,41668,3402,61231,3910,96202,4925,1399313,13718,724277,12411,240202,7039,434834,7896,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,761494,10038,104557,5132,16989,2174,33499,3097,54069,3544,656937,9657,356789,8077,101712,4130,198436,6010,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8835906,26617,999318,15054,187946,6723,328239,9525,483133,10447,7836588,26834,4295915,23842,1563582,20060,1977091,18498,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1331861,11075,101276,4462,17643,2309,39823,3241,43810,3245,1230585,10898,696067,11119,257272,7119,277246,6319,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,876188,9056,65154,3905,5691,1084,25986,2587,33477,2819,811034,9505,464813,8806,167737,6264,178484,5062,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,235385,4062,20424,2359,3498,1018,7466,1523,9460,1364,214961,4577,118247,4542,35653,2884,61061,2612,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,125178,3853,17494,2145,1914,785,4083,1028,11497,1910,107684,3823,67171,3411,18605,2286,21908,1920,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4806611,27227,541342,12813,97404,4830,168612,7154,275326,9686,4265269,27423,2189625,23361,709160,11700,1366484,15185,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
